date,nav_unit,nav_accumulated,nav_adjusted
2021-07-21,1.0,1.0,1.0
2021-07-23,0.9957,0.9957,0.9957
2021-07-30,0.9957,0.9957,0.9957
2021-08-06,0.9893,0.9893,0.9893
2021-08-13,0.9893,0.9893,0.9893
2021-08-20,0.9893,0.9893,0.9893
2021-08-27,0.9893,0.9893,0.9893
2021-09-03,0.9773,0.9773,0.9773
2021-09-10,0.9773,0.9773,0.9773
2021-09-17,0.9773,0.9773,0.9773
2021-09-24,0.9773,0.9773,0.9773
2021-09-30,0.9773,0.9773,0.9773
2021-10-08,0.9861,0.9861,0.9861
2021-10-15,0.9953,0.9953,0.9953
2021-10-22,0.9953,0.9953,0.9953
2021-10-29,0.9953,0.9953,0.9953
2021-11-05,0.9978,0.9978,0.9978
2021-11-12,0.9978,0.9978,0.9978
2021-11-19,0.9978,0.9978,0.9978
2021-11-26,0.9978,0.9978,0.9978
2021-12-03,1.0019,1.0019,1.0019
2021-12-10,1.0019,1.0019,1.0019
2021-12-17,1.0019,1.0019,1.0019
2021-12-24,1.0019,1.0019,1.0019
2021-12-31,1.0019,1.0019,1.0019
2022-01-07,0.9595,0.9595,0.9595
2022-01-14,0.9595,0.9595,0.9595
2022-01-21,0.9595,0.9595,0.9595
2022-01-28,0.9595,0.9595,0.9595
2022-02-11,0.9331,0.9331,0.9331
2022-02-18,0.9331,0.9331,0.9331
2022-02-25,0.9331,0.9331,0.9331
2022-03-04,0.8899,0.8899,0.8899
2022-03-11,0.8899,0.8899,0.8899
2022-03-18,0.8899,0.8899,0.8899
2022-03-25,0.8899,0.8899,0.8899
2022-04-01,0.9027,0.9027,0.9027
2022-04-08,0.8782,0.8782,0.8782
2022-04-15,0.8782,0.8782,0.8782
2022-04-22,0.8782,0.8782,0.8782
2022-04-29,0.8782,0.8782,0.8782
2022-05-06,0.8876,0.8876,0.8876
2022-05-13,0.8876,0.8876,0.8876
2022-05-20,0.8876,0.8876,0.8876
2022-05-27,0.8876,0.8876,0.8876
2022-06-02,0.9323,0.9323,0.9323
2022-06-10,0.9323,0.9323,0.9323
2022-06-17,0.9323,0.9323,0.9323
2022-06-24,0.9323,0.9323,0.9323
2022-07-01,0.932,0.932,0.932
2022-07-08,0.9077,0.9077,0.9077
