date,nav_unit,nav_accumulated,nav_adjusted
2021-08-27,1.0,1.0,1.0
2021-09-03,0.9965,0.9965,0.9965
2021-09-10,1.0025,1.0025,1.0025
2021-09-17,0.9884,0.9884,0.9884
2021-09-24,0.9779,0.9779,0.9779
2021-09-30,0.9757,0.9757,0.9757
2021-10-08,0.9755,0.9755,0.9755
2021-10-15,0.9872,0.9872,0.9872
2021-10-22,0.992,0.992,0.992
2021-10-29,0.9908,0.9908,0.9908
2021-11-05,0.9806,0.9806,0.9806
2021-11-12,0.9951,0.9951,0.9951
2021-11-19,0.9883,0.9883,0.9883
2021-11-26,0.9672,0.9672,0.9672
2021-12-03,0.9658,0.9658,0.9658
2021-12-10,0.9774,0.9774,0.9774
2021-12-17,0.9511,0.9511,0.9511
2021-12-24,0.9451,0.9451,0.9451
2021-12-31,0.948,0.948,0.948
2022-01-07,0.9121,0.9121,0.9121
2022-01-14,0.9219,0.9219,0.9219
2022-01-21,0.9204,0.9204,0.9204
2022-01-28,0.8913,0.8913,0.8913
2022-02-11,0.9,0.9,0.9
2022-02-18,0.8956,0.8956,0.8956
2022-02-25,0.8851,0.8851,0.8851
2022-03-04,0.8629,0.8629,0.8629
2022-03-11,0.8171,0.8171,0.8171
2022-03-18,0.8237,0.8237,0.8237
2022-03-25,0.8179,0.8179,0.8179
2022-04-01,0.8295,0.8295,0.8295
2022-04-08,0.8183,0.8183,0.8183
2022-04-15,0.803,0.803,0.803
2022-04-22,0.7711,0.7711,0.7711
2022-04-29,0.7929,0.7929,0.7929
2022-05-06,0.7656,0.7656,0.7656
2022-05-13,0.7788,0.7788,0.7788
2022-05-20,0.7919,0.7919,0.7919
2022-05-27,0.7916,0.7916,0.7916
2022-06-02,0.8087,0.8087,0.8087
2022-06-10,0.8257,0.8257,0.8257
2022-06-17,0.8156,0.8156,0.8156
2022-06-24,0.8379,0.8379,0.8379
2022-07-01,0.8469,0.8469,0.8469
2022-07-08,0.8455,0.8455,0.8455
2022-07-15,0.8137,0.8137,0.8137
2022-07-22,0.8234,0.8234,0.8234
2022-07-29,0.8162,0.8162,0.8162
2022-08-05,0.817,0.817,0.817
2022-08-12,0.8277,0.8277,0.8277
2022-08-19,0.824,0.824,0.824
