基金代码,基金名称,日期,单位净值,累计净值
SSJ285,聚鸣匠传11号,2021-09-15,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-17,1.0001,1.0001
SSJ285,聚鸣匠传11号,2021-09-24,1.0,1.0
SSJ285,聚鸣匠传11号,2021-09-30,0.9999,0.9999
SSJ285,聚鸣匠传11号,2021-10-08,0.9996,0.9996
SSJ285,聚鸣匠传11号,2021-10-15,0.9983,0.9983
SSJ285,聚鸣匠传11号,2021-10-22,0.9961,0.9961
SSJ285,聚鸣匠传11号,2021-10-29,0.9985,0.9985
SSJ285,聚鸣匠传11号,2021-11-05,1.0163,1.0163
SSJ285,聚鸣匠传11号,2021-11-08,1.0204,1.0204
SSJ285,聚鸣匠传11号,2021-11-12,1.0463,1.0463
SSJ285,聚鸣匠传11号,2021-11-19,1.0605,1.0605
SSJ285,聚鸣匠传11号,2021-11-26,1.0739,1.0739
SSJ285,聚鸣匠传11号,2021-12-03,1.0879,1.0879
SSJ285,聚鸣匠传11号,2021-12-08,1.0655,1.0655
SSJ285,聚鸣匠传11号,2021-12-10,1.0675,1.0675
SSJ285,聚鸣匠传11号,2021-12-17,1.0556,1.0556
SSJ285,聚鸣匠传11号,2021-12-24,1.0495,1.0495
SSJ285,聚鸣匠传11号,2021-12-28,1.0614,1.0614
SSJ285,聚鸣匠传11号,2021-12-31,1.0822,1.0822
SSJ285,聚鸣匠传11号,2022-01-07,1.0348,1.0348
SSJ285,聚鸣匠传11号,2022-01-10,1.0413,1.0413
SSJ285,聚鸣匠传11号,2022-01-14,1.0279,1.0279
SSJ285,聚鸣匠传11号,2022-01-17,1.0329,1.0329
SSJ285,聚鸣匠传11号,2022-01-21,1.0118,1.0118
SSJ285,聚鸣匠传11号,2022-01-27,1.0035,1.0035
SSJ285,聚鸣匠传11号,2022-01-28,1.0015,1.0015
SSJ285,聚鸣匠传11号,2022-02-08,1.0003,1.0003
SSJ285,聚鸣匠传11号,2022-02-11,0.9833,0.9833
SSJ285,聚鸣匠传11号,2022-02-18,0.9976,0.9976
SSJ285,聚鸣匠传11号,2022-02-25,1.0045,1.0045
SSJ285,聚鸣匠传11号,2022-03-04,0.9832,0.9832
SSJ285,聚鸣匠传11号,2022-03-08,0.943,0.943
SSJ285,聚鸣匠传11号,2022-03-11,0.9416,0.9416
SSJ285,聚鸣匠传11号,2022-03-18,0.9387,0.9387
SSJ285,聚鸣匠传11号,2022-03-25,0.9287,0.9287
SSJ285,聚鸣匠传11号,2022-04-01,0.9279,0.9279
SSJ285,聚鸣匠传11号,2022-04-08,0.9136,0.9136
SSJ285,聚鸣匠传11号,2022-04-15,0.8856,0.8856
SSJ285,聚鸣匠传11号,2022-04-22,0.8709,0.8709
SSJ285,聚鸣匠传11号,2022-04-29,0.8715,0.8715
SSJ285,聚鸣匠传11号,2022-05-06,0.8683,0.8683
SSJ285,聚鸣匠传11号,2022-05-09,0.8683,0.8683
SSJ285,聚鸣匠传11号,2022-05-13,0.8843,0.8843
SSJ285,聚鸣匠传11号,2022-05-20,0.9056,0.9056
SSJ285,聚鸣匠传11号,2022-05-27,0.902,0.902
SSJ285,聚鸣匠传11号,2022-06-02,0.9379,0.9379
SSJ285,聚鸣匠传11号,2022-06-08,0.937,0.937
SSJ285,聚鸣匠传11号,2022-06-10,0.9441,0.9441
SSJ285,聚鸣匠传11号,2022-06-17,0.9683,0.9683
SSJ285,聚鸣匠传11号,2022-06-24,1.0145,1.0145
SSJ285,聚鸣匠传11号,2022-07-01,0.9919,0.9919
SSJ285,聚鸣匠传11号,2022-07-08,0.9887,0.9887
SSJ285,聚鸣匠传11号,2022-07-15,0.9982,0.9982
SSJ285,聚鸣匠传11号,2022-07-22,1.0155,1.0155
SSJ285,聚鸣匠传11号,2022-07-29,1.0682,1.0682
SSJ285,聚鸣匠传11号,2022-08-05,1.0803,1.0803
SSJ285,聚鸣匠传11号,2022-08-08,1.1091,1.1091
SSJ285,聚鸣匠传11号,2022-08-12,1.1042,1.1042
SSJ285,聚鸣匠传11号,2022-08-19,1.1376,1.1376
SSJ285,聚鸣匠传11号,2022-08-26,1.087,1.087
SSJ285,聚鸣匠传11号,2022-09-02,1.0572,1.0572
SSJ285,聚鸣匠传11号,2022-09-08,1.0789,1.0789
SSJ285,聚鸣匠传11号,2022-09-09,1.0727,1.0727
SSJ285,聚鸣匠传11号,2022-09-16,1.0246,1.0246
SSJ285,聚鸣匠传11号,2022-09-23,0.9976,0.9976
SSJ285,聚鸣匠传11号,2022-09-30,0.9538,0.9538
SSJ285,聚鸣匠传11号,2022-10-10,0.9192,0.9192
SSJ285,聚鸣匠传11号,2022-10-14,0.9778,0.9778
SSJ285,聚鸣匠传11号,2022-10-21,0.9663,0.9663
SSJ285,聚鸣匠传11号,2022-10-28,0.9464,0.9464
SSJ285,聚鸣匠传11号,2022-11-04,1.0348,1.0348
SSJ285,聚鸣匠传11号,2022-11-08,1.0336,1.0336
SSJ285,聚鸣匠传11号,2022-11-11,1.011,1.011
SSJ285,聚鸣匠传11号,2022-11-18,0.9955,0.9955
SSJ285,聚鸣匠传11号,2022-11-25,0.9747,0.9747
SSJ285,聚鸣匠传11号,2022-12-02,0.9985,0.9985
SSJ285,聚鸣匠传11号,2022-12-08,0.9881,0.9881
SSJ285,聚鸣匠传11号,2022-12-09,0.9915,0.9915
SSJ285,聚鸣匠传11号,2022-12-16,0.9663,0.9663
SSJ285,聚鸣匠传11号,2022-12-23,0.9276,0.9276
SSJ285,聚鸣匠传11号,2022-12-30,0.9566,0.9566
SSJ285,聚鸣匠传11号,2023-01-06,1.007,1.007
SSJ285,聚鸣匠传11号,2023-01-09,1.0155,1.0155
SSJ285,聚鸣匠传11号,2023-01-13,1.0206,1.0206
SSJ285,聚鸣匠传11号,2023-01-20,1.0469,1.0469
SSJ285,聚鸣匠传11号,2023-02-03,1.0784,1.0784
SSJ285,聚鸣匠传11号,2023-02-08,1.069,1.069
SSJ285,聚鸣匠传11号,2023-02-10,1.0808,1.0808
SSJ285,聚鸣匠传11号,2023-02-17,1.0527,1.0527
SSJ285,聚鸣匠传11号,2023-02-24,1.0465,1.0465
SSJ285,聚鸣匠传11号,2023-03-03,1.0201,1.0201
SSJ285,聚鸣匠传11号,2023-03-08,1.0029,1.0029
SSJ285,聚鸣匠传11号,2023-03-10,0.9842,0.9842
SSJ285,聚鸣匠传11号,2023-03-17,0.9673,0.9673
SSJ285,聚鸣匠传11号,2023-03-24,1.0186,1.0186
SSJ285,聚鸣匠传11号,2023-03-31,1.0133,1.0133
SSJ285,聚鸣匠传11号,2023-04-07,1.0257,1.0257
SSJ285,聚鸣匠传11号,2023-04-10,1.0136,1.0136
