date,nav_unit,nav_accumulated,nav_adjusted
2021-09-17,1.0,1.0,1.0
2021-09-24,0.9999,0.9999,0.9999
2021-09-30,0.9998,0.9998,0.9998
2021-10-08,0.9995,0.9995,0.9995
2021-10-15,0.9982,0.9982,0.9982
2021-10-22,0.996,0.996,0.996
2021-10-29,0.9984,0.9984,0.9984
2021-11-05,1.0162,1.0162,1.0162
2021-11-12,1.0462,1.0462,1.0462
2021-11-19,1.0604,1.0604,1.0604
2021-11-26,1.0738,1.0738,1.0738
2021-12-03,1.0878,1.0878,1.0878
2021-12-10,1.0674,1.0674,1.0674
2021-12-17,1.0555,1.0555,1.0555
2021-12-24,1.0494,1.0494,1.0494
2021-12-31,1.0821,1.0821,1.0821
2022-01-07,1.0347,1.0347,1.0347
2022-01-14,1.0278,1.0278,1.0278
2022-01-21,1.0117,1.0117,1.0117
2022-01-28,1.0014,1.0014,1.0014
2022-02-11,0.9832,0.9832,0.9832
2022-02-18,0.9975,0.9975,0.9975
2022-02-25,1.0044,1.0044,1.0044
2022-03-04,0.9831,0.9831,0.9831
2022-03-11,0.9415,0.9415,0.9415
2022-03-18,0.9386,0.9386,0.9386
2022-03-25,0.9286,0.9286,0.9286
2022-04-01,0.9278,0.9278,0.9278
2022-04-08,0.9135,0.9135,0.9135
2022-04-15,0.8855,0.8855,0.8855
2022-04-22,0.8708,0.8708,0.8708
2022-04-29,0.8714,0.8714,0.8714
2022-05-06,0.8682,0.8682,0.8682
2022-05-13,0.8842,0.8842,0.8842
2022-05-20,0.9055,0.9055,0.9055
2022-05-27,0.9019,0.9019,0.9019
2022-06-02,0.9378,0.9378,0.9378
2022-06-10,0.944,0.944,0.944
2022-06-17,0.9682,0.9682,0.9682
2022-06-24,1.0144,1.0144,1.0144
2022-07-01,0.9918,0.9918,0.9918
2022-07-08,0.9886,0.9886,0.9886
2022-07-15,0.9981,0.9981,0.9981
2022-07-22,1.0154,1.0154,1.0154
2022-07-29,1.0681,1.0681,1.0681
2022-08-05,1.0802,1.0802,1.0802
2022-08-12,1.1041,1.1041,1.1041
2022-08-19,1.1375,1.1375,1.1375
2022-08-26,1.0869,1.0869,1.0869
2022-09-02,1.0571,1.0571,1.0571
2022-09-09,1.0726,1.0726,1.0726
2022-09-16,1.0245,1.0245,1.0245
2022-09-23,0.9975,0.9975,0.9975
2022-09-30,0.9537,0.9537,0.9537
2022-10-14,0.9777,0.9777,0.9777
2022-10-21,0.9662,0.9662,0.9662
2022-10-28,0.9463,0.9463,0.9463
2022-11-04,1.0347,1.0347,1.0347
2022-11-11,1.0109,1.0109,1.0109
2022-11-18,0.9954,0.9954,0.9954
2022-11-25,0.9746,0.9746,0.9746
2022-12-02,0.9984,0.9984,0.9984
2022-12-09,0.9914,0.9914,0.9914
2022-12-16,0.9662,0.9662,0.9662
2022-12-23,0.9275,0.9275,0.9275
2022-12-30,0.9565,0.9565,0.9565
2023-01-06,1.0069,1.0069,1.0069
2023-01-13,1.0205,1.0205,1.0205
2023-01-20,1.0468,1.0468,1.0468
2023-02-03,1.0783,1.0783,1.0783
2023-02-10,1.0807,1.0807,1.0807
2023-02-17,1.0526,1.0526,1.0526
2023-02-24,1.0464,1.0464,1.0464
2023-03-03,1.02,1.02,1.02
2023-03-10,0.9841,0.9841,0.9841
2023-03-17,0.9672,0.9672,0.9672
2023-03-24,1.0185,1.0185,1.0185
2023-03-31,1.0132,1.0132,1.0132
2023-04-07,1.0256,1.0256,1.0256
2023-04-14,1.0001,1.0001,1.0001
2023-04-21,0.9927,0.9927,0.9927
2023-04-28,0.9663,0.9663,0.9663
2023-05-05,0.9321,0.9321,0.9321
2023-05-12,0.9235,0.9235,0.9235
2023-05-19,0.9612,0.9612,0.9612
2023-05-26,0.9676,0.9676,0.9676
2023-06-02,0.9944,0.9944,0.9944
2023-06-09,0.9859,0.9859,0.9859
2023-06-16,1.0297,1.0297,1.0297
2023-06-21,1.0425,1.0425,1.0425
2023-06-30,1.0383,1.0383,1.0383
2023-07-07,1.0241,1.0241,1.0241
