date,nav_unit,nav_accumulated,nav_adjusted
2022-01-13,1.0,1.0,1.0
2022-01-14,1.0001,1.0001,1.0001
2022-01-21,1.0,1.0,1.0
2022-01-28,0.9205,0.9205,0.9205
2022-02-11,0.9964,0.9964,0.9964
2022-02-18,1.0655,1.0655,1.0655
2022-02-25,1.071,1.071,1.071
2022-03-04,1.024,1.024,1.024
2022-03-11,0.9724,0.9724,0.9724
2022-03-18,0.9432,0.9432,0.9432
2022-03-25,0.9159,0.9159,0.9159
2022-04-01,0.89,0.89,0.89
2022-04-08,0.8653,0.8653,0.8653
2022-04-15,0.8232,0.8232,0.8232
2022-04-22,0.7554,0.7554,0.7554
2022-04-29,0.7504,0.7504,0.7504
2022-05-06,0.7325,0.7325,0.7325
2022-05-13,0.7915,0.7915,0.7915
2022-05-20,0.8431,0.8431,0.8431
2022-05-27,0.8724,0.8724,0.8724
2022-06-02,0.942,0.942,0.942
2022-06-10,1.0603,1.0603,1.0603
2022-06-17,1.0927,1.0927,1.0927
2022-06-24,1.0946,1.0946,1.0946
2022-07-01,1.0928,1.0928,1.0928
2022-07-08,1.0928,1.0928,1.0928
2022-07-15,1.0926,1.0926,1.0926
2022-07-22,1.0963,1.0963,1.0963
2022-07-29,1.0963,1.0963,1.0963
2022-08-05,1.0962,1.0962,1.0962
2022-08-12,1.0926,1.0926,1.0926
2022-08-19,1.083,1.083,1.083
2022-08-26,1.0981,1.0981,1.0981
2022-09-02,1.0792,1.0792,1.0792
2022-09-09,1.0694,1.0694,1.0694
2022-09-16,1.0273,1.0273,1.0273
2022-09-23,1.0344,1.0344,1.0344
2022-09-30,1.0345,1.0345,1.0345
2022-10-14,1.0376,1.0376,1.0376
2022-10-21,1.0404,1.0404,1.0404
2022-10-28,0.9843,0.9843,0.9843
2022-11-04,1.1409,1.1409,1.1409
2022-11-11,1.1077,1.1077,1.1077
2022-11-18,1.0775,1.0775,1.0775
2022-11-25,1.0793,1.0793,1.0793
2022-12-02,1.0886,1.0886,1.0886
2022-12-09,1.0819,1.0819,1.0819
2022-12-16,1.023,1.023,1.023
2022-12-23,0.98,0.98,0.98
2022-12-30,1.0031,1.0031,1.0031
2023-01-06,1.0209,1.0209,1.0209
2023-01-13,1.0066,1.0066,1.0066
2023-01-20,1.0703,1.0703,1.0703
2023-02-03,1.0764,1.0764,1.0764
2023-02-10,1.0475,1.0475,1.0475
2023-02-17,1.044,1.044,1.044
2023-02-24,1.0454,1.0454,1.0454
2023-03-03,1.0345,1.0345,1.0345
2023-03-10,1.0361,1.0361,1.0361
2023-03-17,1.0325,1.0325,1.0325
2023-03-24,1.0196,1.0196,1.0196
2023-03-31,1.0223,1.0223,1.0223
2023-04-07,1.0191,1.0191,1.0191
2023-04-14,0.9807,0.9807,0.9807
2023-04-21,0.9939,0.9939,0.9939
2023-04-28,0.9787,0.9787,0.9787
2023-05-05,0.9793,0.9793,0.9793
2023-05-12,0.9512,0.9512,0.9512
2023-05-19,0.9588,0.9588,0.9588
2023-05-26,0.9621,0.9621,0.9621
2023-06-02,0.9543,0.9543,0.9543
2023-06-09,0.9461,0.9461,0.9461
2023-06-16,0.9456,0.9456,0.9456
2023-06-21,0.9324,0.9324,0.9324
2023-06-30,0.9263,0.9263,0.9263
2023-07-07,0.9251,0.9251,0.9251
2023-07-14,0.9369,0.9369,0.9369
2023-07-21,0.9352,0.9352,0.9352
2023-07-28,0.9579,0.9579,0.9579
2023-08-04,0.9434,0.9434,0.9434
2023-08-11,0.928,0.928,0.928
2023-08-18,0.9205,0.9205,0.9205
2023-08-25,0.8919,0.8919,0.8919
2023-09-01,0.9258,0.9258,0.9258
