date,nav_unit,nav_accumulated,nav_adjusted
2022-01-21,1.0,1.0,1.0
2022-01-28,0.9875,0.9875,0.9875
2022-02-11,0.9648,0.9648,0.9648
2022-02-18,0.9792,0.9792,0.9792
2022-02-25,0.9844,0.9844,0.9844
2022-03-04,0.9683,0.9683,0.9683
2022-03-11,0.9533,0.9533,0.9533
2022-03-18,0.9481,0.9481,0.9481
2022-03-25,0.9301,0.9301,0.9301
2022-04-01,0.9255,0.9255,0.9255
2022-04-08,0.9144,0.9144,0.9144
2022-04-15,0.8859,0.8859,0.8859
2022-04-22,0.8713,0.8713,0.8713
2022-04-29,0.8732,0.8732,0.8732
2022-05-06,0.8679,0.8679,0.8679
2022-05-13,0.8743,0.8743,0.8743
2022-05-20,0.8861,0.8861,0.8861
2022-05-27,0.8841,0.8841,0.8841
2022-06-02,0.8948,0.8948,0.8948
2022-06-10,0.9172,0.9172,0.9172
2022-06-17,0.9176,0.9176,0.9176
2022-06-24,0.9611,0.9611,0.9611
2022-07-01,0.9458,0.9458,0.9458
2022-07-08,0.9537,0.9537,0.9537
2022-07-15,0.9329,0.9329,0.9329
2022-07-22,0.9491,0.9491,0.9491
2022-07-29,0.9579,0.9579,0.9579
2022-08-05,0.9377,0.9377,0.9377
2022-08-12,0.9411,0.9411,0.9411
2022-08-19,0.9481,0.9481,0.9481
2022-08-26,0.9249,0.9249,0.9249
2022-09-02,0.8987,0.8987,0.8987
2022-09-09,0.9335,0.9335,0.9335
2022-09-16,0.8945,0.8945,0.8945
2022-09-23,0.8806,0.8806,0.8806
2022-09-30,0.8581,0.8581,0.8581
2022-10-14,0.8981,0.8981,0.8981
2022-10-21,0.8801,0.8801,0.8801
2022-10-28,0.8493,0.8493,0.8493
2022-11-04,0.8719,0.8719,0.8719
2022-11-11,0.8484,0.8484,0.8484
2022-11-18,0.8266,0.8266,0.8266
2022-11-25,0.8016,0.8016,0.8016
2022-12-02,0.8173,0.8173,0.8173
