date,nav_unit,nav_accumulated,nav_adjusted
2023-08-25,1.0,1.0,1.0
2023-09-01,1.0,1.0,1.0
2023-09-08,1.0001,1.0001,1.0001
2023-09-15,1.0001,1.0001,1.0001
2023-09-22,1.0001,1.0001,1.0001
2023-09-28,1.0001,1.0001,1.0001
2023-10-13,0.9975,0.9975,0.9975
2023-10-20,0.9791,0.9791,0.9791
2023-10-27,0.9912,0.9912,0.9912
2023-11-03,0.9953,0.9953,0.9953
2023-11-10,1.0033,1.0033,1.0033
2023-11-17,1.0131,1.0131,1.0131
2023-11-24,1.0112,1.0112,1.0112
2023-12-01,1.0148,1.0148,1.0148
2023-12-08,1.0063,1.0063,1.0063
2023-12-15,1.0088,1.0088,1.0088
2023-12-22,0.9995,0.9995,0.9995
2023-12-29,1.01,1.01,1.01
2024-01-05,0.9999,0.9999,0.9999
2024-01-12,1.0008,1.0008,1.0008
2024-01-19,0.9828,0.9828,0.9828
2024-01-26,0.9848,0.9848,0.9848
2024-02-02,0.9234,0.9234,0.9234
2024-02-08,0.9337,0.9337,0.9337
2024-02-23,0.9649,0.9649,0.9649
2024-03-01,0.9668,0.9668,0.9668
2024-03-08,0.9629,0.9629,0.9629
2024-03-15,0.9872,0.9872,0.9872
2024-03-22,0.9798,0.9798,0.9798
2024-03-29,0.972,0.972,0.972
2024-04-03,0.9758,0.9758,0.9758
2024-04-12,0.9734,0.9734,0.9734
2024-04-19,0.9659,0.9659,0.9659
2024-04-26,0.9864,0.9864,0.9864
2024-04-30,0.9925,0.9925,0.9925
2024-05-10,1.011,1.011,1.011
2024-05-17,1.0176,1.0176,1.0176
2024-05-24,1.0025,1.0025,1.0025
2024-05-31,1.0064,1.0064,1.0064
2024-06-07,0.9939,0.9939,0.9939
2024-06-14,1.0036,1.0036,1.0036
2024-06-21,1.0042,1.0042,1.0042
2024-06-28,0.9931,0.9931,0.9931
2024-07-05,0.9866,0.9866,0.9866
2024-07-12,0.9999,0.9999,0.9999
2024-07-19,0.9905,0.9905,0.9905
2024-07-26,0.976,0.976,0.976
2024-08-02,0.9785,0.9785,0.9785
2024-08-09,0.9768,0.9768,0.9768
2024-08-16,0.9749,0.9749,0.9749
2024-08-23,0.9632,0.9632,0.9632
2024-08-30,0.9727,0.9727,0.9727
2024-09-06,0.965,0.965,0.965
2024-09-13,0.9547,0.9547,0.9547
2024-09-20,0.9588,0.9588,0.9588
2024-09-27,1.0308,1.0308,1.0308
2024-09-30,1.0811,1.0811,1.0811
2024-10-11,1.0663,1.0663,1.0663
2024-10-18,1.0713,1.0713,1.0713
2024-10-25,1.0961,1.0961,1.0961
2024-11-01,1.0912,1.0912,1.0912
2024-11-08,1.1307,1.1307,1.1307
2024-11-15,1.1064,1.1064,1.1064
2024-11-22,1.0943,1.0943,1.0943
2024-11-29,1.1137,1.1137,1.1137
2024-12-06,1.1288,1.1288,1.1288
2024-12-13,1.1386,1.1386,1.1386
2024-12-20,1.1288,1.1288,1.1288
2024-12-27,1.1323,1.1323,1.1323
2025-01-03,1.1086,1.1086,1.1086
2025-01-10,1.1071,1.1071,1.1071
2025-01-17,1.1388,1.1388,1.1388
2025-01-24,1.1467,1.1467,1.1467
2025-01-27,1.1443,1.1443,1.1443
2025-02-07,1.155,1.155,1.155
2025-02-14,1.1667,1.1667,1.1667
2025-02-21,1.1843,1.1843,1.1843
2025-02-28,1.1864,1.1864,1.1864
2025-03-07,1.2109,1.2109,1.2109
2025-03-14,1.215,1.215,1.215
2025-03-21,1.1907,1.1907,1.1907
2025-03-28,1.186,1.186,1.186
2025-04-03,1.1751,1.1751,1.1751
2025-04-11,1.1401,1.1401,1.1401
2025-04-18,1.1372,1.1372,1.1372
2025-04-25,1.1572,1.1572,1.1572
2025-04-30,1.159,1.159,1.159
2025-05-09,1.1748,1.1748,1.1748
2025-05-16,1.1859,1.1859,1.1859
2025-05-23,1.1908,1.1908,1.1908
