基金代码,基金名称,日期,单位净值,累计净值
STD157,弘尚资产弘利2号1期,2022-01-25,1.0,1.0
STD157,弘尚资产弘利2号1期,2022-01-28,0.993,0.993
STD157,弘尚资产弘利2号1期,2022-02-11,0.982,0.982
STD157,弘尚资产弘利2号1期,2022-02-15,0.985,0.985
STD157,弘尚资产弘利2号1期,2022-02-18,0.989,0.989
STD157,弘尚资产弘利2号1期,2022-02-25,0.978,0.978
STD157,弘尚资产弘利2号1期,2022-03-04,0.951,0.951
STD157,弘尚资产弘利2号1期,2022-03-11,0.898,0.898
STD157,弘尚资产弘利2号1期,2022-03-15,0.833,0.833
STD157,弘尚资产弘利2号1期,2022-03-18,0.88,0.88
STD157,弘尚资产弘利2号1期,2022-03-25,0.856,0.856
STD157,弘尚资产弘利2号1期,2022-04-01,0.856,0.856
STD157,弘尚资产弘利2号1期,2022-04-08,0.833,0.833
STD157,弘尚资产弘利2号1期,2022-04-15,0.804,0.804
STD157,弘尚资产弘利2号1期,2022-04-22,0.767,0.767
STD157,弘尚资产弘利2号1期,2022-04-29,0.756,0.756
STD157,弘尚资产弘利2号1期,2022-05-06,0.776,0.776
STD157,弘尚资产弘利2号1期,2022-05-13,0.804,0.804
STD157,弘尚资产弘利2号1期,2022-05-16,0.803,0.803
STD157,弘尚资产弘利2号1期,2022-05-20,0.818,0.818
STD157,弘尚资产弘利2号1期,2022-05-27,0.806,0.806
STD157,弘尚资产弘利2号1期,2022-06-02,0.847,0.847
STD157,弘尚资产弘利2号1期,2022-06-10,0.859,0.859
STD157,弘尚资产弘利2号1期,2022-06-15,0.88,0.88
STD157,弘尚资产弘利2号1期,2022-06-17,0.897,0.897
STD157,弘尚资产弘利2号1期,2022-06-24,0.913,0.913
STD157,弘尚资产弘利2号1期,2022-07-01,0.926,0.926
STD157,弘尚资产弘利2号1期,2022-07-08,0.914,0.914
STD157,弘尚资产弘利2号1期,2022-07-15,0.881,0.881
STD157,弘尚资产弘利2号1期,2022-07-22,0.89,0.89
STD157,弘尚资产弘利2号1期,2022-07-29,0.895,0.895
STD157,弘尚资产弘利2号1期,2022-08-05,0.893,0.893
STD157,弘尚资产弘利2号1期,2022-08-12,0.918,0.918
STD157,弘尚资产弘利2号1期,2022-08-15,0.919,0.919
STD157,弘尚资产弘利2号1期,2022-08-19,0.927,0.927
STD157,弘尚资产弘利2号1期,2022-08-26,0.902,0.902
STD157,弘尚资产弘利2号1期,2022-09-02,0.887,0.887
STD157,弘尚资产弘利2号1期,2022-09-09,0.886,0.886
STD157,弘尚资产弘利2号1期,2022-09-15,0.87,0.87
STD157,弘尚资产弘利2号1期,2022-09-16,0.856,0.856
STD157,弘尚资产弘利2号1期,2022-09-23,0.844,0.844
STD157,弘尚资产弘利2号1期,2022-09-30,0.838,0.838
STD157,弘尚资产弘利2号1期,2022-10-14,0.867,0.867
STD157,弘尚资产弘利2号1期,2022-10-17,0.885,0.885
STD157,弘尚资产弘利2号1期,2022-10-21,0.875,0.875
STD157,弘尚资产弘利2号1期,2022-10-28,0.852,0.852
STD157,弘尚资产弘利2号1期,2022-11-04,0.916,0.916
STD157,弘尚资产弘利2号1期,2022-11-11,0.916,0.916
STD157,弘尚资产弘利2号1期,2022-11-15,0.939,0.939
STD157,弘尚资产弘利2号1期,2022-11-18,0.942,0.942
STD157,弘尚资产弘利2号1期,2022-11-25,0.923,0.923
STD157,弘尚资产弘利2号1期,2022-12-02,0.951,0.951
STD157,弘尚资产弘利2号1期,2022-12-09,0.965,0.965
STD157,弘尚资产弘利2号1期,2022-12-15,0.948,0.948
STD157,弘尚资产弘利2号1期,2022-12-16,0.938,0.938
STD157,弘尚资产弘利2号1期,2022-12-23,0.904,0.904
STD157,弘尚资产弘利2号1期,2022-12-30,0.933,0.933
STD157,弘尚资产弘利2号1期,2023-01-06,0.949,0.949
STD157,弘尚资产弘利2号1期,2023-01-13,0.969,0.969
STD157,弘尚资产弘利2号1期,2023-01-16,0.978,0.978
STD157,弘尚资产弘利2号1期,2023-01-20,0.994,0.994
STD157,弘尚资产弘利2号1期,2023-02-03,1.023,1.023
STD157,弘尚资产弘利2号1期,2023-02-10,1.024,1.024
STD157,弘尚资产弘利2号1期,2023-02-15,1.041,1.041
STD157,弘尚资产弘利2号1期,2023-02-17,1.022,1.022
STD157,弘尚资产弘利2号1期,2023-02-24,1.037,1.037
STD157,弘尚资产弘利2号1期,2023-03-03,1.031,1.031
STD157,弘尚资产弘利2号1期,2023-03-10,1.003,1.003
STD157,弘尚资产弘利2号1期,2023-03-15,0.984,0.984
STD157,弘尚资产弘利2号1期,2023-03-17,0.966,0.966
STD157,弘尚资产弘利2号1期,2023-03-24,0.971,0.971
STD157,弘尚资产弘利2号1期,2023-03-31,0.993,0.993
STD157,弘尚资产弘利2号1期,2023-04-07,0.998,0.998
STD157,弘尚资产弘利2号1期,2023-04-14,0.988,0.988
STD157,弘尚资产弘利2号1期,2023-04-17,0.996,0.996
STD157,弘尚资产弘利2号1期,2023-04-21,0.955,0.955
STD157,弘尚资产弘利2号1期,2023-04-28,0.934,0.934
STD157,弘尚资产弘利2号1期,2023-05-05,0.915,0.915
STD157,弘尚资产弘利2号1期,2023-05-12,0.894,0.894
STD157,弘尚资产弘利2号1期,2023-05-15,0.907,0.907
STD157,弘尚资产弘利2号1期,2023-05-19,0.911,0.911
STD157,弘尚资产弘利2号1期,2023-05-26,0.912,0.912
STD157,弘尚资产弘利2号1期,2023-06-02,0.895,0.895
STD157,弘尚资产弘利2号1期,2023-06-09,0.864,0.864
STD157,弘尚资产弘利2号1期,2023-06-15,0.908,0.908
STD157,弘尚资产弘利2号1期,2023-06-16,0.915,0.915
STD157,弘尚资产弘利2号1期,2023-06-21,0.897,0.897
STD157,弘尚资产弘利2号1期,2023-06-30,0.919,0.919
STD157,弘尚资产弘利2号1期,2023-07-07,0.907,0.907
STD157,弘尚资产弘利2号1期,2023-07-14,0.911,0.911
STD157,弘尚资产弘利2号1期,2023-07-17,0.902,0.902
STD157,弘尚资产弘利2号1期,2023-07-21,0.897,0.897
STD157,弘尚资产弘利2号1期,2023-07-28,0.913,0.913
STD157,弘尚资产弘利2号1期,2023-08-04,0.916,0.916
STD157,弘尚资产弘利2号1期,2023-08-11,0.878,0.878
STD157,弘尚资产弘利2号1期,2023-08-15,0.869,0.869
STD157,弘尚资产弘利2号1期,2023-08-16,0.878,0.878
STD157,弘尚资产弘利2号1期,2023-08-17,0.869,0.869
STD157,弘尚资产弘利2号1期,2023-08-18,0.863,0.863
STD157,弘尚资产弘利2号1期,2023-08-25,0.829,0.829
STD157,弘尚资产弘利2号1期,2023-09-01,0.857,0.857
STD157,弘尚资产弘利2号1期,2023-09-08,0.846,0.846
STD157,弘尚资产弘利2号1期,2023-09-15,0.833,0.833
STD157,弘尚资产弘利2号1期,2023-09-22,0.827,0.827
STD157,弘尚资产弘利2号1期,2023-09-28,0.822,0.822
STD157,弘尚资产弘利2号1期,2023-10-13,0.802,0.802
STD157,弘尚资产弘利2号1期,2023-10-16,0.786,0.786
STD157,弘尚资产弘利2号1期,2023-10-20,0.756,0.756
STD157,弘尚资产弘利2号1期,2023-10-27,0.766,0.766
STD157,弘尚资产弘利2号1期,2023-11-03,0.772,0.772
STD157,弘尚资产弘利2号1期,2023-11-10,0.789,0.789
STD157,弘尚资产弘利2号1期,2023-11-15,0.796,0.796
STD157,弘尚资产弘利2号1期,2023-11-17,0.789,0.789
STD157,弘尚资产弘利2号1期,2023-11-24,0.78,0.78
STD157,弘尚资产弘利2号1期,2023-12-01,0.772,0.772
STD157,弘尚资产弘利2号1期,2023-12-08,0.745,0.745
STD157,弘尚资产弘利2号1期,2023-12-15,0.734,0.734
STD157,弘尚资产弘利2号1期,2023-12-22,0.73,0.73
STD157,弘尚资产弘利2号1期,2023-12-29,0.76,0.76
STD157,弘尚资产弘利2号1期,2024-01-05,0.716,0.716
STD157,弘尚资产弘利2号1期,2024-01-12,0.715,0.715
STD157,弘尚资产弘利2号1期,2024-01-15,0.708,0.708
STD157,弘尚资产弘利2号1期,2024-01-19,0.687,0.687
STD157,弘尚资产弘利2号1期,2024-01-26,0.666,0.666
STD157,弘尚资产弘利2号1期,2024-02-02,0.595,0.595
STD157,弘尚资产弘利2号1期,2024-02-08,0.65,0.65
STD157,弘尚资产弘利2号1期,2024-02-19,0.649,0.649
STD157,弘尚资产弘利2号1期,2024-02-23,0.677,0.677
STD157,弘尚资产弘利2号1期,2024-03-01,0.701,0.701
STD157,弘尚资产弘利2号1期,2024-03-08,0.69,0.69
STD157,弘尚资产弘利2号1期,2024-03-15,0.715,0.715
STD157,弘尚资产弘利2号1期,2024-03-22,0.699,0.699
STD157,弘尚资产弘利2号1期,2024-03-29,0.684,0.684
STD157,弘尚资产弘利2号1期,2024-04-03,0.692,0.692
STD157,弘尚资产弘利2号1期,2024-04-12,0.667,0.667
STD157,弘尚资产弘利2号1期,2024-04-15,0.672,0.672
STD157,弘尚资产弘利2号1期,2024-04-19,0.664,0.664
STD157,弘尚资产弘利2号1期,2024-04-26,0.678,0.678
STD157,弘尚资产弘利2号1期,2024-04-30,0.691,0.691
STD157,弘尚资产弘利2号1期,2024-05-10,0.702,0.702
STD157,弘尚资产弘利2号1期,2024-05-15,0.696,0.696
STD157,弘尚资产弘利2号1期,2024-05-17,0.71,0.71
STD157,弘尚资产弘利2号1期,2024-05-24,0.69,0.69
STD157,弘尚资产弘利2号1期,2024-05-31,0.681,0.681
STD157,弘尚资产弘利2号1期,2024-06-07,0.658,0.658
STD157,弘尚资产弘利2号1期,2024-06-14,0.667,0.667
STD157,弘尚资产弘利2号1期,2024-06-17,0.67,0.67
STD157,弘尚资产弘利2号1期,2024-06-21,0.648,0.648
STD157,弘尚资产弘利2号1期,2024-06-28,0.625,0.625
STD157,弘尚资产弘利2号1期,2024-07-05,0.613,0.613
STD157,弘尚资产弘利2号1期,2024-07-12,0.62,0.62
STD157,弘尚资产弘利2号1期,2024-07-15,0.611,0.611
