date,nav_unit,nav_accumulated,nav_adjusted
2022-03-23,1.0,1.0,1.0
2022-03-25,1.0,1.0,1.0
2022-04-01,1.0,1.0,1.0
2022-04-08,0.9999,0.9999,0.9999
2022-04-15,0.9956,0.9956,0.9956
2022-04-22,0.9456,0.9456,0.9456
2022-04-29,0.9317,0.9317,0.9317
2022-05-06,0.9253,0.9253,0.9253
2022-05-13,0.9599,0.9599,0.9599
2022-05-20,0.9869,0.9869,0.9869
2022-05-27,0.9836,0.9836,0.9836
2022-06-02,1.0139,1.0139,1.0139
2022-06-10,1.0503,1.0503,1.0503
2022-06-17,1.0662,1.0662,1.0662
2022-06-24,1.0854,1.0854,1.0854
2022-07-01,1.1043,1.1043,1.1043
2022-07-08,1.0996,1.0996,1.0996
2022-07-15,1.0744,1.0744,1.0744
2022-07-22,1.0978,1.0978,1.0978
2022-07-29,1.1019,1.1019,1.1019
2022-08-05,1.0931,1.0931,1.0931
2022-08-12,1.1219,1.1219,1.1219
2022-08-19,1.1218,1.1218,1.1218
2022-08-26,1.1089,1.1089,1.1089
2022-09-02,1.0811,1.0811,1.0811
2022-09-09,1.1115,1.1115,1.1115
2022-09-16,1.0413,1.0413,1.0413
2022-09-23,1.0328,1.0328,1.0328
2022-09-30,0.9936,0.9936,0.9936
2022-10-14,1.0395,1.0395,1.0395
2022-10-21,1.0281,1.0281,1.0281
2022-10-28,0.9881,0.9881,0.9881
2022-11-04,1.0613,1.0613,1.0613
2022-11-11,1.0676,1.0676,1.0676
2022-11-18,1.0702,1.0702,1.0702
2022-11-25,1.058,1.058,1.058
2022-12-02,1.0763,1.0763,1.0763
2022-12-09,1.0875,1.0875,1.0875
2022-12-16,1.0626,1.0626,1.0626
2022-12-23,1.013,1.013,1.013
2022-12-30,1.0318,1.0318,1.0318
2023-01-06,1.06,1.06,1.06
2023-01-13,1.0707,1.0707,1.0707
2023-01-20,1.099,1.099,1.099
2023-02-03,1.1149,1.1149,1.1149
2023-02-10,1.1202,1.1202,1.1202
2023-02-17,1.1024,1.1024,1.1024
2023-02-24,1.1222,1.1222,1.1222
2023-03-03,1.1338,1.1338,1.1338
