date,nav_unit,nav_accumulated,nav_adjusted
2022-02-11,1.0,1.0,1.0
2022-02-18,1.0,1.0,1.0
2022-02-25,1.0025,1.0025,1.0025
2022-03-04,1.0025,1.0025,1.0025
2022-03-11,0.9972,0.9972,0.9972
2022-03-18,0.9972,0.9972,0.9972
2022-03-25,0.9914,0.9914,0.9914
2022-04-01,0.9946,0.9946,0.9946
2022-04-08,0.9892,0.9892,0.9892
2022-04-15,0.9837,0.9837,0.9837
2022-04-22,0.9758,0.9758,0.9758
2022-04-29,0.986,0.986,0.986
2022-05-06,0.9793,0.9793,0.9793
2022-05-13,0.9899,0.9899,0.9899
2022-05-20,1.0016,1.0016,1.0016
2022-05-27,0.9927,0.9927,0.9927
2022-06-02,0.9978,0.9978,0.9978
2022-06-10,1.008,1.008,1.008
2022-06-17,1.0078,1.0078,1.0078
2022-06-24,1.0278,1.0278,1.0278
2022-07-01,1.0287,1.0287,1.0287
2022-07-08,1.02,1.02,1.02
2022-07-15,1.0151,1.0151,1.0151
2022-07-22,1.0213,1.0213,1.0213
2022-07-29,1.018,1.018,1.018
2022-08-05,1.0105,1.0105,1.0105
2022-08-12,1.0165,1.0165,1.0165
2022-08-19,1.0164,1.0164,1.0164
2022-08-26,1.0036,1.0036,1.0036
2022-09-02,0.986,0.986,0.986
2022-09-09,0.9909,0.9909,0.9909
2022-09-16,0.9655,0.9655,0.9655
2022-09-23,0.9669,0.9669,0.9669
2022-09-30,0.9631,0.9631,0.9631
2022-10-14,0.9708,0.9708,0.9708
2022-10-21,0.963,0.963,0.963
2022-10-28,0.9473,0.9473,0.9473
2022-11-04,0.99,0.99,0.99
2022-11-11,0.989,0.989,0.989
2022-11-18,0.9838,0.9838,0.9838
2022-11-25,0.9705,0.9705,0.9705
2022-12-02,1.0025,1.0025,1.0025
2022-12-09,1.0054,1.0054,1.0054
2022-12-16,0.9792,0.9792,0.9792
2022-12-23,0.9611,0.9611,0.9611
2022-12-30,0.9775,0.9775,0.9775
2023-01-06,0.9947,0.9947,0.9947
2023-01-13,0.9954,0.9954,0.9954
2023-01-20,1.0099,1.0099,1.0099
2023-02-03,1.0115,1.0115,1.0115
2023-02-10,0.9959,0.9959,0.9959
2023-02-17,0.9751,0.9751,0.9751
2023-02-24,0.9695,0.9695,0.9695
2023-03-03,0.9748,0.9748,0.9748
2023-03-10,0.9324,0.9324,0.9324
2023-03-17,0.9097,0.9097,0.9097
2023-03-24,0.9249,0.9249,0.9249
2023-03-31,0.9413,0.9413,0.9413
2023-04-07,0.9419,0.9419,0.9419
2023-04-14,0.9367,0.9367,0.9367
2023-04-21,0.9256,0.9256,0.9256
2023-04-28,0.915,0.915,0.915
2023-05-05,0.9125,0.9125,0.9125
2023-05-12,0.893,0.893,0.893
2023-05-19,0.8784,0.8784,0.8784
2023-05-26,0.8807,0.8807,0.8807
2023-06-02,0.8769,0.8769,0.8769
2023-06-09,0.8844,0.8844,0.8844
2023-06-16,0.8835,0.8835,0.8835
2023-06-21,0.8789,0.8789,0.8789
2023-06-30,0.8847,0.8847,0.8847
2023-07-07,0.8858,0.8858,0.8858
2023-07-14,0.8896,0.8896,0.8896
2023-07-21,0.8851,0.8851,0.8851
2023-07-28,0.8903,0.8903,0.8903
2023-08-04,0.89,0.89,0.89
2023-08-11,0.8748,0.8748,0.8748
2023-08-18,0.8651,0.8651,0.8651
2023-08-25,0.8606,0.8606,0.8606
2023-09-01,0.8547,0.8547,0.8547
2023-09-08,0.8565,0.8565,0.8565
2023-09-15,0.8584,0.8584,0.8584
2023-09-22,0.8578,0.8578,0.8578
2023-09-28,0.8519,0.8519,0.8519
2023-10-13,0.8502,0.8502,0.8502
2023-10-20,0.8408,0.8408,0.8408
2023-10-27,0.842,0.842,0.842
2023-11-03,0.8428,0.8428,0.8428
2023-11-10,0.843,0.843,0.843
2023-11-17,0.8428,0.8428,0.8428
2023-11-24,0.842,0.842,0.842
2023-12-01,0.8476,0.8476,0.8476
2023-12-08,0.8452,0.8452,0.8452
2023-12-15,0.8473,0.8473,0.8473
2023-12-22,0.8418,0.8418,0.8418
2023-12-29,0.8484,0.8484,0.8484
2024-01-05,0.8403,0.8403,0.8403
2024-01-12,0.8353,0.8353,0.8353
2024-01-19,0.8336,0.8336,0.8336
2024-01-26,0.8278,0.8278,0.8278
2024-02-02,0.8214,0.8214,0.8214
2024-02-08,0.8244,0.8244,0.8244
2024-02-23,0.8281,0.8281,0.8281
2024-03-01,0.8289,0.8289,0.8289
2024-03-08,0.8272,0.8272,0.8272
2024-03-15,0.826,0.826,0.826
2024-03-22,0.825,0.825,0.825
2024-03-29,0.823,0.823,0.823
2024-04-03,0.8231,0.8231,0.8231
2024-04-12,0.8214,0.8214,0.8214
2024-04-19,0.8225,0.8225,0.8225
2024-04-26,0.8238,0.8238,0.8238
2024-04-30,0.8235,0.8235,0.8235
2024-05-10,0.8235,0.8235,0.8235
2024-05-17,0.8234,0.8234,0.8234
2024-05-24,0.8201,0.8201,0.8201
2024-05-31,0.8196,0.8196,0.8196
2024-06-07,0.8183,0.8183,0.8183
2024-06-14,0.8169,0.8169,0.8169
2024-06-21,0.8167,0.8167,0.8167
2024-06-28,0.8162,0.8162,0.8162
2024-07-05,0.8155,0.8155,0.8155
2024-07-12,0.8162,0.8162,0.8162
2024-07-19,0.8149,0.8149,0.8149
2024-07-26,0.8139,0.8139,0.8139
2024-08-02,0.8143,0.8143,0.8143
2024-08-09,0.815,0.815,0.815
2024-08-16,0.8145,0.8145,0.8145
2024-08-23,0.8128,0.8128,0.8128
2024-08-30,0.811,0.811,0.811
2024-09-06,0.81,0.81,0.81
2024-09-13,0.8101,0.8101,0.8101
2024-09-20,0.8113,0.8113,0.8113
2024-09-27,0.8562,0.8562,0.8562
2024-09-30,0.8959,0.8959,0.8959
2024-10-11,0.8786,0.8786,0.8786
2024-10-18,0.8937,0.8937,0.8937
2024-10-25,0.9356,0.9356,0.9356
2024-11-01,0.9249,0.9249,0.9249
2024-11-08,0.939,0.939,0.939
2024-11-15,0.8914,0.8914,0.8914
2024-11-22,0.8821,0.8821,0.8821
2024-11-29,0.9198,0.9198,0.9198
2024-12-06,0.9107,0.9107,0.9107
2024-12-13,0.9009,0.9009,0.9009
2024-12-20,0.8947,0.8947,0.8947
2024-12-27,0.8912,0.8912,0.8912
2025-01-03,0.8742,0.8742,0.8742
2025-01-10,0.862,0.862,0.862
2025-01-17,0.8779,0.8779,0.8779
2025-01-24,0.8817,0.8817,0.8817
2025-01-27,0.8712,0.8712,0.8712
2025-02-07,0.9129,0.9129,0.9129
2025-02-14,0.91,0.91,0.91
2025-02-21,0.9575,0.9575,0.9575
2025-02-28,0.9182,0.9182,0.9182
2025-03-07,0.9541,0.9541,0.9541
2025-03-14,0.9409,0.9409,0.9409
2025-03-21,0.9108,0.9108,0.9108
2025-03-28,0.9041,0.9041,0.9041
2025-04-03,0.8978,0.8978,0.8978
2025-04-11,0.8655,0.8655,0.8655
2025-04-18,0.8727,0.8727,0.8727
2025-04-25,0.8826,0.8826,0.8826
2025-04-30,0.8818,0.8818,0.8818
2025-05-09,0.8895,0.8895,0.8895
2025-05-16,0.8927,0.8927,0.8927
