date,nav_unit,nav_accumulated,nav_adjusted
2022-03-18,0.9999,0.9999,0.9999
2022-03-25,0.9937,0.9937,0.9937
2022-04-01,1.0079,1.0079,1.0079
2022-04-08,0.9998,0.9998,0.9998
2022-04-15,0.9902,0.9902,0.9902
2022-04-22,0.9654,0.9654,0.9654
2022-04-29,0.9876,0.9876,0.9876
2022-05-06,0.9614,0.9614,0.9614
2022-05-13,0.9755,0.9755,0.9755
2022-05-20,0.9926,0.9926,0.9926
2022-05-27,0.9869,0.9869,0.9869
2022-06-02,1.0169,1.0169,1.0169
2022-06-10,1.0521,1.0521,1.0521
2022-06-17,1.0493,1.0493,1.0493
2022-06-24,1.0752,1.0752,1.0752
2022-07-01,1.087,1.087,1.087
2022-07-08,1.0792,1.0792,1.0792
2022-07-15,1.0427,1.0427,1.0427
2022-07-22,1.0499,1.0499,1.0499
2022-07-29,1.0352,1.0352,1.0352
2022-08-05,1.0351,1.0351,1.0351
2022-08-12,1.038,1.038,1.038
2022-08-19,1.0291,1.0291,1.0291
2022-08-26,1.0369,1.0369,1.0369
2022-09-02,1.0174,1.0174,1.0174
2022-09-09,1.0358,1.0358,1.0358
2022-09-16,0.9989,0.9989,0.9989
2022-09-23,0.9682,0.9682,0.9682
2022-09-30,0.9569,0.9569,0.9569
2022-10-14,0.951,0.951,0.951
2022-10-21,0.9446,0.9446,0.9446
2022-10-28,0.8932,0.8932,0.8932
2022-11-04,0.9552,0.9552,0.9552
2022-11-11,0.9726,0.9726,0.9726
2022-11-18,0.9857,0.9857,0.9857
2022-11-25,0.965,0.965,0.965
2022-12-02,1.0044,1.0044,1.0044
2022-12-09,1.0366,1.0366,1.0366
2022-12-16,1.0197,1.0197,1.0197
2022-12-23,0.9966,0.9966,0.9966
2022-12-30,1.0114,1.0114,1.0114
2023-01-06,1.0436,1.0436,1.0436
2023-01-13,1.0658,1.0658,1.0658
2023-01-20,1.089,1.089,1.089
2023-02-03,1.089,1.089,1.089
2023-02-10,1.0694,1.0694,1.0694
2023-02-17,1.0548,1.0548,1.0548
2023-02-24,1.049,1.049,1.049
2023-03-03,1.0792,1.0792,1.0792
2023-03-10,1.0272,1.0272,1.0272
2023-03-17,1.0309,1.0309,1.0309
2023-03-24,1.0449,1.0449,1.0449
2023-03-31,1.0506,1.0506,1.0506
2023-04-07,1.06,1.06,1.06
2023-04-14,1.0614,1.0614,1.0614
2023-04-21,1.0296,1.0296,1.0296
2023-04-28,1.0191,1.0191,1.0191
2023-05-05,1.0055,1.0055,1.0055
2023-05-12,0.9778,0.9778,0.9778
2023-05-19,0.9847,0.9847,0.9847
2023-05-26,0.9697,0.9697,0.9697
2023-06-02,0.9754,0.9754,0.9754
2023-06-09,0.9703,0.9703,0.9703
2023-06-16,1.0088,1.0088,1.0088
2023-06-21,0.9731,0.9731,0.9731
2023-06-30,0.9705,0.9705,0.9705
2023-07-07,0.961,0.961,0.961
2023-07-14,0.9951,0.9951,0.9951
2023-07-21,0.9766,0.9766,0.9766
2023-07-28,1.0194,1.0194,1.0194
2023-08-04,1.0195,1.0195,1.0195
2023-08-11,0.9888,0.9888,0.9888
2023-08-18,0.9605,0.9605,0.9605
2023-08-25,0.9524,0.9524,0.9524
2023-09-01,0.994,0.994,0.994
2023-09-08,0.9821,0.9821,0.9821
2023-09-15,0.9783,0.9783,0.9783
2023-09-22,0.9746,0.9746,0.9746
2023-09-28,0.966,0.966,0.966
2023-10-13,0.9713,0.9713,0.9713
2023-10-20,0.9364,0.9364,0.9364
2023-10-27,0.9592,0.9592,0.9592
2023-11-03,0.9666,0.9666,0.9666
2023-11-10,0.9625,0.9625,0.9625
2023-11-17,0.9566,0.9566,0.9566
2023-11-24,0.9538,0.9538,0.9538
2023-12-01,0.9427,0.9427,0.9427
2023-12-08,0.9078,0.9078,0.9078
2023-12-15,0.906,0.906,0.906
2023-12-22,0.8898,0.8898,0.8898
2023-12-29,0.9203,0.9203,0.9203
2024-01-05,0.9016,0.9016,0.9016
2024-01-12,0.8911,0.8911,0.8911
2024-01-19,0.8689,0.8689,0.8689
2024-01-26,0.8813,0.8813,0.8813
2024-02-02,0.8501,0.8501,0.8501
2024-02-08,0.8929,0.8929,0.8929
2024-02-23,0.9385,0.9385,0.9385
2024-03-01,0.9485,0.9485,0.9485
2024-03-08,0.9446,0.9446,0.9446
2024-03-15,0.9627,0.9627,0.9627
2024-03-22,0.9542,0.9542,0.9542
2024-03-29,0.9706,0.9706,0.9706
2024-04-03,0.9894,0.9894,0.9894
2024-04-12,0.9788,0.9788,0.9788
2024-04-19,0.9791,0.9791,0.9791
2024-04-26,1.0257,1.0257,1.0257
2024-04-30,1.0226,1.0226,1.0226
2024-05-10,1.0635,1.0635,1.0635
2024-05-17,1.0786,1.0786,1.0786
2024-05-24,1.0504,1.0504,1.0504
2024-05-31,1.0341,1.0341,1.0341
2024-06-07,1.0425,1.0425,1.0425
2024-06-14,1.0275,1.0275,1.0275
2024-06-21,1.0155,1.0155,1.0155
2024-06-28,0.9985,0.9985,0.9985
2024-07-05,0.9987,0.9987,0.9987
2024-07-12,1.0102,1.0102,1.0102
2024-07-19,0.9831,0.9831,0.9831
2024-07-26,0.9496,0.9496,0.9496
2024-08-02,0.9351,0.9351,0.9351
2024-08-09,0.9369,0.9369,0.9369
2024-08-16,0.9411,0.9411,0.9411
2024-08-23,0.9345,0.9345,0.9345
2024-08-30,0.9412,0.9412,0.9412
2024-09-06,0.9222,0.9222,0.9222
2024-09-13,0.9125,0.9125,0.9125
2024-09-20,0.9416,0.9416,0.9416
2024-09-27,1.0581,1.0581,1.0581
2024-09-30,1.1056,1.1056,1.1056
2024-10-11,1.0985,1.0985,1.0985
2024-10-18,1.0814,1.0814,1.0814
2024-10-25,1.086,1.086,1.086
2024-11-01,1.0769,1.0769,1.0769
2024-11-08,1.1009,1.1009,1.1009
2024-11-15,1.0602,1.0602,1.0602
2024-11-22,1.0408,1.0408,1.0408
2024-11-29,1.0452,1.0452,1.0452
2024-12-06,1.0592,1.0592,1.0592
2024-12-13,1.0634,1.0634,1.0634
2024-12-20,1.0585,1.0585,1.0585
2024-12-27,1.0641,1.0641,1.0641
2025-01-03,1.0404,1.0404,1.0404
2025-01-10,1.0171,1.0171,1.0171
2025-01-17,1.0471,1.0471,1.0471
2025-01-24,1.0643,1.0643,1.0643
2025-01-27,1.0651,1.0651,1.0651
2025-02-07,1.1016,1.1016,1.1016
2025-02-14,1.1297,1.1297,1.1297
2025-02-21,1.1501,1.1501,1.1501
2025-02-28,1.1202,1.1202,1.1202
2025-03-07,1.1762,1.1762,1.1762
2025-03-14,1.1723,1.1723,1.1723
2025-03-21,1.147,1.147,1.147
2025-03-28,1.1386,1.1386,1.1386
