date,nav_unit,nav_accumulated,nav_adjusted
2022-05-20,1.0,1.0,1.0
2022-05-27,1.016,1.016,1.016
2022-06-02,1.03,1.03,1.03
2022-06-10,1.039,1.039,1.039
2022-06-17,1.042,1.042,1.042
2022-06-24,1.045,1.045,1.045
2022-07-01,1.046,1.046,1.046
2022-07-08,1.047,1.047,1.047
2022-07-15,1.045,1.045,1.045
2022-07-22,1.048,1.048,1.048
2022-07-29,1.04,1.04,1.04
2022-08-05,1.041,1.041,1.041
2022-08-12,1.041,1.041,1.041
2022-08-19,1.041,1.041,1.041
2022-08-26,1.041,1.041,1.041
2022-09-02,1.042,1.042,1.042
2022-09-09,1.042,1.042,1.042
2022-09-16,1.042,1.042,1.042
2022-09-23,1.042,1.042,1.042
2022-09-30,1.043,1.043,1.043
2022-10-14,1.043,1.043,1.043
2022-10-21,1.044,1.044,1.044
2022-10-28,1.044,1.044,1.044
2022-11-04,1.044,1.044,1.044
2022-11-11,1.044,1.044,1.044
2022-11-18,1.045,1.045,1.045
2022-11-25,1.045,1.045,1.045
2022-12-02,1.045,1.045,1.045
2022-12-09,1.045,1.045,1.045
2022-12-16,1.045,1.045,1.045
2022-12-23,1.046,1.046,1.046
2022-12-30,1.046,1.046,1.046
2023-01-06,1.046,1.046,1.046
2023-01-13,1.046,1.046,1.046
2023-01-20,1.046,1.046,1.046
2023-02-03,1.047,1.047,1.047
2023-02-10,1.047,1.047,1.047
2023-02-17,1.047,1.047,1.047
2023-02-24,1.047,1.047,1.047
2023-03-03,1.047,1.047,1.047
2023-03-10,1.048,1.048,1.048
2023-03-17,1.048,1.048,1.048
2023-03-24,1.048,1.048,1.048
2023-03-31,1.048,1.048,1.048
2023-04-07,1.048,1.048,1.048
2023-04-14,1.048,1.048,1.048
2023-04-21,1.049,1.049,1.049
2023-04-28,1.049,1.049,1.049
2023-05-05,1.049,1.049,1.049
2023-05-12,1.049,1.049,1.049
2023-05-19,1.049,1.049,1.049
2023-05-26,1.05,1.05,1.05
2023-06-02,1.05,1.05,1.05
2023-06-09,1.05,1.05,1.05
2023-06-16,1.05,1.05,1.05
2023-06-21,1.05,1.05,1.05
2023-06-30,1.0,1.049,1.049
2023-07-07,0.995,1.044,1.0438
2023-07-14,0.999,1.048,1.048
2023-07-21,0.988,1.037,1.0364
2023-07-28,0.999,1.048,1.048
2023-08-04,1.008,1.057,1.0574
2023-08-11,0.995,1.044,1.0438
2023-08-18,0.984,1.033,1.0322
2023-08-25,0.958,1.007,1.0049
2023-09-01,0.98,1.029,1.028
2023-09-08,0.977,1.026,1.0249
2023-09-15,0.977,1.026,1.0249
2023-09-22,0.977,1.026,1.0249
2023-09-28,0.979,1.028,1.027
2023-10-13,0.975,1.024,1.0228
2023-10-20,0.943,0.992,0.9892
2023-10-27,0.948,0.997,0.9945
2023-11-03,0.953,1.002,0.9997
2023-11-10,0.966,1.015,1.0133
2023-11-17,0.972,1.021,1.0196
2023-11-24,0.964,1.013,1.0112
2023-12-01,0.967,1.016,1.0144
2023-12-08,0.948,0.997,0.9945
2023-12-15,0.942,0.991,0.9882
2023-12-22,0.925,0.974,0.9703
2023-12-29,0.949,0.998,0.9955
2024-01-05,0.922,0.971,0.9672
2024-01-12,0.896,0.945,0.9399
2024-01-19,0.851,0.9,0.8927
2024-01-26,0.824,0.873,0.8644
2024-02-02,0.722,0.771,0.7574
2024-02-08,0.822,0.871,0.8623
2024-02-23,0.831,0.88,0.8717
2024-03-01,0.868,0.917,0.9105
2024-03-08,0.864,0.913,0.9063
2024-03-15,0.886,0.935,0.9294
2024-03-22,0.873,0.922,0.9158
2024-03-29,0.852,0.901,0.8937
2024-04-03,0.87,0.919,0.9126
2024-04-12,0.851,0.9,0.8927
2024-04-19,0.859,0.908,0.9011
2024-04-26,0.87,0.919,0.9126
2024-04-30,0.884,0.933,0.9273
2024-05-10,0.904,0.953,0.9483
2024-05-17,0.895,0.944,0.9389
2024-05-24,0.861,0.91,0.9032
2024-05-31,0.859,0.908,0.9011
2024-06-07,0.842,0.891,0.8833
2024-06-14,0.844,0.893,0.8854
2024-06-21,0.825,0.874,0.8654
2024-06-28,0.793,0.842,0.8319
2024-07-05,0.778,0.827,0.8161
2024-07-12,0.789,0.838,0.8277
2024-07-19,0.778,0.827,0.8161
2024-07-26,0.755,0.804,0.792
2024-08-02,0.765,0.814,0.8025
2024-08-09,0.754,0.803,0.7909
2024-08-16,0.747,0.796,0.7836
2024-08-23,0.722,0.771,0.7574
2024-08-30,0.74,0.789,0.7763
2024-09-06,0.723,0.772,0.7584
