date,nav_unit,nav_accumulated,nav_adjusted
2022-07-05,1.0,1.0,1.0
2022-07-08,1.0,1.0,1.0
2022-07-15,1.0,1.0,1.0
2022-07-22,0.999,0.999,0.999
2022-07-29,0.999,0.999,0.999
2022-08-05,1.006,1.006,1.006
2022-08-12,1.041,1.041,1.041
2022-08-19,1.025,1.025,1.025
2022-08-26,1.019,1.019,1.019
2022-09-02,0.971,0.971,0.971
2022-09-09,0.981,0.981,0.981
2022-09-16,0.953,0.953,0.953
2022-09-23,0.947,0.947,0.947
2022-09-30,0.927,0.927,0.927
2022-10-14,0.955,0.955,0.955
2022-10-21,0.947,0.947,0.947
2022-10-28,0.92,0.92,0.92
2022-11-04,0.966,0.966,0.966
2022-11-11,0.963,0.963,0.963
2022-11-18,0.949,0.949,0.949
2022-11-25,0.931,0.931,0.931
2022-12-02,0.951,0.951,0.951
2022-12-09,0.973,0.973,0.973
2022-12-16,0.962,0.962,0.962
2022-12-23,0.909,0.909,0.909
2022-12-30,0.957,0.957,0.957
2023-01-06,0.961,0.961,0.961
2023-01-13,0.978,0.978,0.978
2023-01-20,1.019,1.019,1.019
2023-02-03,1.017,1.017,1.017
2023-02-10,1.008,1.008,1.008
2023-02-17,0.992,0.992,0.992
2023-02-24,1.001,1.001,1.001
2023-03-03,1.005,1.005,1.005
2023-03-10,0.979,0.979,0.979
2023-03-17,0.965,0.965,0.965
2023-03-24,0.961,0.961,0.961
2023-03-31,0.951,0.951,0.951
2023-04-07,0.957,0.957,0.957
2023-04-14,0.948,0.948,0.948
2023-04-21,0.898,0.898,0.898
2023-04-28,0.886,0.886,0.886
2023-05-05,0.874,0.874,0.874
2023-05-12,0.86,0.86,0.86
2023-05-19,0.87,0.87,0.87
2023-05-26,0.873,0.873,0.873
2023-06-02,0.876,0.876,0.876
2023-06-09,0.873,0.873,0.873
2023-06-16,0.909,0.909,0.909
2023-06-21,0.901,0.901,0.901
2023-06-30,0.924,0.924,0.924
2023-07-07,0.946,0.946,0.946
2023-07-14,0.972,0.972,0.972
2023-07-21,0.967,0.967,0.967
2023-07-28,0.984,0.984,0.984
2023-08-04,0.982,0.982,0.982
2023-08-11,0.959,0.959,0.959
2023-08-18,0.956,0.956,0.956
2023-08-25,0.94,0.94,0.94
2023-09-01,0.982,0.982,0.982
2023-09-08,0.969,0.969,0.969
2023-09-15,0.974,0.974,0.974
2023-09-22,0.961,0.961,0.961
2023-09-28,0.966,0.966,0.966
2023-10-13,0.945,0.945,0.945
2023-10-20,0.911,0.911,0.911
2023-10-27,0.932,0.932,0.932
2023-11-03,0.941,0.941,0.941
2023-11-10,0.946,0.946,0.946
2023-11-17,0.963,0.963,0.963
2023-11-24,0.952,0.952,0.952
2023-12-01,0.95,0.95,0.95
2023-12-08,0.943,0.943,0.943
2023-12-15,0.937,0.937,0.937
2023-12-22,0.915,0.915,0.915
2023-12-29,0.94,0.94,0.94
2024-01-05,0.926,0.926,0.926
2024-01-12,0.909,0.909,0.909
2024-01-19,0.876,0.876,0.876
2024-01-26,0.881,0.881,0.881
2024-02-02,0.766,0.766,0.766
2024-02-08,0.796,0.796,0.796
2024-02-23,0.828,0.828,0.828
2024-03-01,0.841,0.841,0.841
2024-03-08,0.851,0.851,0.851
2024-03-15,0.888,0.888,0.888
2024-03-22,0.907,0.907,0.907
2024-03-29,0.875,0.875,0.875
2024-04-03,0.898,0.898,0.898
2024-04-12,0.874,0.874,0.874
2024-04-19,0.867,0.867,0.867
2024-04-26,0.871,0.871,0.871
2024-04-30,0.884,0.884,0.884
2024-05-10,0.905,0.905,0.905
2024-05-17,0.902,0.902,0.902
2024-05-24,0.867,0.867,0.867
2024-05-31,0.879,0.879,0.879
2024-06-07,0.844,0.844,0.844
2024-06-14,0.85,0.85,0.85
2024-06-21,0.844,0.844,0.844
2024-06-28,0.843,0.843,0.843
2024-07-05,0.834,0.834,0.834
2024-07-12,0.843,0.843,0.843
2024-07-19,0.831,0.831,0.831
2024-07-26,0.814,0.814,0.814
2024-08-02,0.829,0.829,0.829
2024-08-09,0.834,0.834,0.834
2024-08-16,0.853,0.853,0.853
2024-08-23,0.831,0.831,0.831
2024-08-30,0.84,0.84,0.84
2024-09-06,0.822,0.822,0.822
2024-09-13,0.796,0.796,0.796
2024-09-20,0.798,0.798,0.798
2024-09-27,0.891,0.891,0.891
2024-09-30,0.962,0.962,0.962
2024-10-11,0.932,0.932,0.932
2024-10-18,0.937,0.937,0.937
2024-10-25,0.962,0.962,0.962
2024-11-01,0.954,0.954,0.954
2024-11-08,1.01,1.01,1.01
2024-11-15,0.992,0.992,0.992
2024-11-22,0.99,0.99,0.99
2024-11-29,1.013,1.013,1.013
2024-12-06,1.04,1.04,1.04
2024-12-13,1.044,1.044,1.044
2024-12-20,1.032,1.032,1.032
2024-12-27,1.028,1.028,1.028
2025-01-03,0.975,0.975,0.975
2025-01-10,0.969,0.969,0.969
2025-01-17,0.994,0.994,0.994
2025-01-24,0.997,0.997,0.997
2025-01-27,0.988,0.988,0.988
2025-02-07,1.023,1.023,1.023
2025-02-14,1.028,1.028,1.028
2025-02-21,1.028,1.028,1.028
2025-02-28,1.023,1.023,1.023
2025-03-07,1.058,1.058,1.058
2025-03-14,1.069,1.069,1.069
2025-03-21,1.079,1.079,1.079
2025-03-28,1.048,1.048,1.048
