date,nav_unit,nav_accumulated,nav_adjusted
2022-05-20,1.0,1.0,1.0
2022-05-27,1.001,1.001,1.001
2022-06-02,0.997,0.997,0.997
2022-06-10,0.998,0.998,0.998
2022-06-17,0.998,0.998,0.998
2022-06-24,1.0,1.0,1.0
2022-07-01,1.012,1.012,1.012
2022-07-08,1.006,1.006,1.006
2022-07-15,0.992,0.992,0.992
2022-07-22,0.99,0.99,0.99
2022-07-29,0.988,0.988,0.988
2022-08-05,0.984,0.984,0.984
2022-08-12,0.987,0.987,0.987
2022-08-19,1.016,1.016,1.016
2022-08-26,1.014,1.014,1.014
2022-09-02,1.009,1.009,1.009
2022-09-09,1.031,1.031,1.031
2022-09-16,1.005,1.005,1.005
2022-09-23,0.985,0.985,0.985
2022-09-30,0.968,0.968,0.968
2022-10-14,0.988,0.988,0.988
2022-10-21,0.981,0.981,0.981
2022-10-28,0.941,0.941,0.941
2022-11-04,0.975,0.975,0.975
2022-11-11,0.986,0.986,0.986
2022-11-18,1.004,1.004,1.004
2022-11-25,1.014,1.014,1.014
2022-12-02,1.019,1.019,1.019
2022-12-09,1.027,1.027,1.027
2022-12-16,1.021,1.021,1.021
2022-12-23,1.003,1.003,1.003
2022-12-30,1.026,1.026,1.026
2023-01-06,1.05,1.05,1.05
2023-01-13,1.039,1.039,1.039
2023-01-20,1.065,1.065,1.065
2023-02-03,1.075,1.075,1.075
2023-02-10,1.084,1.084,1.084
2023-02-17,1.08,1.08,1.08
2023-02-24,1.067,1.067,1.067
2023-03-03,1.092,1.092,1.092
2023-03-10,1.083,1.083,1.083
2023-03-17,1.102,1.102,1.102
2023-03-24,1.09,1.09,1.09
2023-03-31,1.108,1.108,1.108
2023-04-07,1.123,1.123,1.123
2023-04-14,1.14,1.14,1.14
2023-04-21,1.119,1.119,1.119
2023-04-28,1.114,1.114,1.114
2023-05-05,1.111,1.111,1.111
2023-05-12,1.105,1.105,1.105
2023-05-19,1.11,1.11,1.11
2023-05-26,1.116,1.116,1.116
2023-06-02,1.117,1.117,1.117
2023-06-09,1.093,1.093,1.093
2023-06-16,1.089,1.089,1.089
2023-06-21,1.079,1.079,1.079
2023-06-30,1.089,1.089,1.089
2023-07-07,1.077,1.077,1.077
2023-07-14,1.091,1.091,1.091
2023-07-21,1.075,1.075,1.075
2023-07-28,1.076,1.076,1.076
2023-08-04,1.087,1.087,1.087
2023-08-11,1.079,1.079,1.079
2023-08-18,1.065,1.065,1.065
2023-08-25,1.04,1.04,1.04
2023-09-01,1.046,1.046,1.046
2023-09-08,1.05,1.05,1.05
2023-09-15,1.053,1.053,1.053
2023-09-22,1.043,1.043,1.043
