基金代码,基金名称,日期,单位净值,累计净值
SVM265,勤辰创赢成长6号1期,2022-08-09,1.0,1.0
SVM265,勤辰创赢成长6号1期,2022-08-12,1.0001,1.0001
SVM265,勤辰创赢成长6号1期,2022-08-15,1.0001,1.0001
SVM265,勤辰创赢成长6号1期,2022-08-19,0.9996,0.9996
SVM265,勤辰创赢成长6号1期,2022-08-26,0.999,0.999
SVM265,勤辰创赢成长6号1期,2022-08-31,0.996,0.996
SVM265,勤辰创赢成长6号1期,2022-09-02,0.9988,0.9988
SVM265,勤辰创赢成长6号1期,2022-09-09,0.998,0.998
SVM265,勤辰创赢成长6号1期,2022-09-15,0.9872,0.9872
SVM265,勤辰创赢成长6号1期,2022-09-16,0.9844,0.9844
SVM265,勤辰创赢成长6号1期,2022-09-23,0.9764,0.9764
SVM265,勤辰创赢成长6号1期,2022-09-30,0.9705,0.9705
SVM265,勤辰创赢成长6号1期,2022-10-14,0.993,0.993
SVM265,勤辰创赢成长6号1期,2022-10-17,0.9998,0.9998
SVM265,勤辰创赢成长6号1期,2022-10-21,1.0121,1.0121
SVM265,勤辰创赢成长6号1期,2022-10-28,1.0015,1.0015
SVM265,勤辰创赢成长6号1期,2022-10-31,1.006,1.006
SVM265,勤辰创赢成长6号1期,2022-11-04,1.0167,1.0167
SVM265,勤辰创赢成长6号1期,2022-11-11,0.9906,0.9906
SVM265,勤辰创赢成长6号1期,2022-11-15,1.0086,1.0086
SVM265,勤辰创赢成长6号1期,2022-11-18,0.9972,0.9972
SVM265,勤辰创赢成长6号1期,2022-11-25,0.9804,0.9804
SVM265,勤辰创赢成长6号1期,2022-11-30,0.9722,0.9722
SVM265,勤辰创赢成长6号1期,2022-12-02,0.9727,0.9727
SVM265,勤辰创赢成长6号1期,2022-12-09,0.9683,0.9683
SVM265,勤辰创赢成长6号1期,2022-12-15,0.9592,0.9592
SVM265,勤辰创赢成长6号1期,2022-12-16,0.9534,0.9534
SVM265,勤辰创赢成长6号1期,2022-12-23,0.9299,0.9299
SVM265,勤辰创赢成长6号1期,2022-12-30,0.9416,0.9416
SVM265,勤辰创赢成长6号1期,2023-01-06,0.9493,0.9493
SVM265,勤辰创赢成长6号1期,2023-01-13,0.9516,0.9516
SVM265,勤辰创赢成长6号1期,2023-01-16,0.9528,0.9528
SVM265,勤辰创赢成长6号1期,2023-01-20,0.9648,0.9648
SVM265,勤辰创赢成长6号1期,2023-01-31,0.9676,0.9676
SVM265,勤辰创赢成长6号1期,2023-02-03,0.9715,0.9715
SVM265,勤辰创赢成长6号1期,2023-02-10,0.9705,0.9705
SVM265,勤辰创赢成长6号1期,2023-02-15,0.985,0.985
SVM265,勤辰创赢成长6号1期,2023-02-17,0.9627,0.9627
SVM265,勤辰创赢成长6号1期,2023-02-24,0.9699,0.9699
SVM265,勤辰创赢成长6号1期,2023-02-28,0.9732,0.9732
SVM265,勤辰创赢成长6号1期,2023-03-03,0.9727,0.9727
SVM265,勤辰创赢成长6号1期,2023-03-10,0.9648,0.9648
SVM265,勤辰创赢成长6号1期,2023-03-15,0.9724,0.9724
SVM265,勤辰创赢成长6号1期,2023-03-17,0.9652,0.9652
SVM265,勤辰创赢成长6号1期,2023-03-24,0.9716,0.9716
SVM265,勤辰创赢成长6号1期,2023-03-31,0.9864,0.9864
SVM265,勤辰创赢成长6号1期,2023-04-07,0.9971,0.9971
SVM265,勤辰创赢成长6号1期,2023-04-14,0.9967,0.9967
SVM265,勤辰创赢成长6号1期,2023-04-17,1.0089,1.0089
SVM265,勤辰创赢成长6号1期,2023-04-21,0.9978,0.9978
SVM265,勤辰创赢成长6号1期,2023-04-28,1.0021,1.0021
SVM265,勤辰创赢成长6号1期,2023-05-05,0.995,0.995
SVM265,勤辰创赢成长6号1期,2023-05-12,0.9674,0.9674
SVM265,勤辰创赢成长6号1期,2023-05-19,0.9867,0.9867
SVM265,勤辰创赢成长6号1期,2023-05-26,0.984,0.984
SVM265,勤辰创赢成长6号1期,2023-06-02,0.9782,0.9782
SVM265,勤辰创赢成长6号1期,2023-06-09,0.9722,0.9722
SVM265,勤辰创赢成长6号1期,2023-06-16,0.9945,0.9945
SVM265,勤辰创赢成长6号1期,2023-06-21,0.9991,0.9991
SVM265,勤辰创赢成长6号1期,2023-06-30,1.0146,1.0146
SVM265,勤辰创赢成长6号1期,2023-07-07,0.9938,0.9938
SVM265,勤辰创赢成长6号1期,2023-07-14,0.9992,0.9992
SVM265,勤辰创赢成长6号1期,2023-07-21,0.9805,0.9805
SVM265,勤辰创赢成长6号1期,2023-07-28,0.9752,0.9752
SVM265,勤辰创赢成长6号1期,2023-07-31,0.9776,0.9776
SVM265,勤辰创赢成长6号1期,2023-08-04,0.9826,0.9826
SVM265,勤辰创赢成长6号1期,2023-08-11,0.9613,0.9613
SVM265,勤辰创赢成长6号1期,2023-08-15,0.958,0.958
SVM265,勤辰创赢成长6号1期,2023-08-16,0.9613,0.9613
SVM265,勤辰创赢成长6号1期,2023-08-17,0.958,0.958
SVM265,勤辰创赢成长6号1期,2023-08-18,0.9505,0.9505
SVM265,勤辰创赢成长6号1期,2023-08-25,0.9368,0.9368
SVM265,勤辰创赢成长6号1期,2023-09-01,0.9551,0.9551
SVM265,勤辰创赢成长6号1期,2023-09-08,0.9424,0.9424
SVM265,勤辰创赢成长6号1期,2023-09-15,0.9372,0.9372
SVM265,勤辰创赢成长6号1期,2023-09-22,0.9364,0.9364
SVM265,勤辰创赢成长6号1期,2023-09-28,0.9404,0.9404
SVM265,勤辰创赢成长6号1期,2023-10-13,0.9351,0.9351
SVM265,勤辰创赢成长6号1期,2023-10-16,0.9322,0.9322
SVM265,勤辰创赢成长6号1期,2023-10-20,0.9195,0.9195
SVM265,勤辰创赢成长6号1期,2023-10-27,0.9222,0.9222
SVM265,勤辰创赢成长6号1期,2023-10-31,0.9209,0.9209
SVM265,勤辰创赢成长6号1期,2023-11-03,0.9248,0.9248
SVM265,勤辰创赢成长6号1期,2023-11-10,0.9316,0.9316
SVM265,勤辰创赢成长6号1期,2023-11-15,0.9371,0.9371
SVM265,勤辰创赢成长6号1期,2023-11-17,0.9333,0.9333
SVM265,勤辰创赢成长6号1期,2023-11-24,0.9255,0.9255
SVM265,勤辰创赢成长6号1期,2023-11-30,0.9299,0.9299
SVM265,勤辰创赢成长6号1期,2023-12-01,0.9308,0.9308
SVM265,勤辰创赢成长6号1期,2023-12-08,0.9306,0.9306
SVM265,勤辰创赢成长6号1期,2023-12-15,0.9277,0.9277
SVM265,勤辰创赢成长6号1期,2023-12-22,0.9219,0.9219
SVM265,勤辰创赢成长6号1期,2023-12-29,0.932,0.932
SVM265,勤辰创赢成长6号1期,2024-01-05,0.9252,0.9252
SVM265,勤辰创赢成长6号1期,2024-01-12,0.9238,0.9238
SVM265,勤辰创赢成长6号1期,2024-01-15,0.9249,0.9249
SVM265,勤辰创赢成长6号1期,2024-01-19,0.9244,0.9244
SVM265,勤辰创赢成长6号1期,2024-01-26,0.9222,0.9222
SVM265,勤辰创赢成长6号1期,2024-01-31,0.9095,0.9095
SVM265,勤辰创赢成长6号1期,2024-02-02,0.9116,0.9116
