date,nav_unit,nav_accumulated,nav_adjusted
2022-10-14,1.0,1.0,1.0
2022-10-21,1.0,1.0,1.0
2022-10-28,0.999,0.999,0.999
2022-11-04,1.0,1.0,1.0
2022-11-11,0.992,0.992,0.992
2022-11-18,0.991,0.991,0.991
2022-11-25,0.98,0.98,0.98
2022-12-02,0.998,0.998,0.998
2022-12-09,1.009,1.009,1.009
2022-12-16,0.994,0.994,0.994
2022-12-23,0.95,0.95,0.95
2022-12-30,0.964,0.964,0.964
2023-01-06,0.984,0.984,0.984
2023-01-13,0.987,0.987,0.987
2023-01-20,1.014,1.014,1.014
2023-02-03,1.037,1.037,1.037
2023-02-10,1.036,1.036,1.036
2023-02-17,1.023,1.023,1.023
2023-02-24,1.037,1.037,1.037
2023-03-03,1.051,1.051,1.051
2023-03-10,1.023,1.023,1.023
2023-03-17,1.034,1.034,1.034
2023-03-24,1.073,1.073,1.073
2023-03-31,1.082,1.082,1.082
2023-04-07,1.113,1.113,1.113
2023-04-14,1.124,1.124,1.124
2023-04-21,1.125,1.125,1.125
2023-04-28,1.132,1.132,1.132
2023-05-05,1.13,1.13,1.13
2023-05-12,1.116,1.116,1.116
2023-05-19,1.13,1.13,1.13
2023-05-26,1.116,1.116,1.116
2023-06-02,1.141,1.141,1.141
2023-06-09,1.148,1.148,1.148
2023-06-16,1.18,1.18,1.18
2023-06-21,1.153,1.153,1.153
2023-06-30,1.157,1.157,1.157
2023-07-07,1.151,1.151,1.151
2023-07-14,1.166,1.166,1.166
2023-07-21,1.138,1.138,1.138
2023-07-28,1.157,1.157,1.157
2023-08-04,1.178,1.178,1.178
2023-08-11,1.065,1.137,1.1347
2023-08-18,1.044,1.116,1.1123
2023-08-25,1.014,1.086,1.0804
2023-09-01,1.048,1.12,1.1166
2023-09-08,1.044,1.116,1.1123
2023-09-15,1.039,1.111,1.107
2023-09-22,1.045,1.117,1.1134
2023-09-28,1.042,1.114,1.1102
2023-10-13,1.038,1.11,1.1059
2023-10-20,0.995,1.067,1.0601
2023-10-27,1.019,1.091,1.0857
2023-11-03,1.022,1.094,1.0889
2023-11-10,1.036,1.108,1.1038
2023-11-17,1.05,1.122,1.1187
2023-11-24,1.045,1.117,1.1134
2023-12-01,1.043,1.115,1.1113
2023-12-08,1.024,1.096,1.091
2023-12-15,1.017,1.089,1.0836
2023-12-22,0.995,1.067,1.0601
2023-12-29,1.019,1.091,1.0857
2024-01-05,0.997,1.069,1.0623
2024-01-12,0.986,1.058,1.0505
2024-01-19,0.951,1.023,1.0132
2024-01-26,0.957,1.029,1.0196
2024-02-02,0.856,0.928,0.912
2024-02-08,0.901,0.973,0.96
2024-02-23,0.988,1.06,1.0527
2024-03-01,1.017,1.089,1.0836
2024-03-08,1.014,1.086,1.0804
2024-03-15,1.044,1.116,1.1123
2024-03-22,1.05,1.122,1.1187
2024-03-29,1.037,1.109,1.1049
2024-04-03,1.053,1.125,1.1219
2024-04-12,1.03,1.102,1.0974
2024-04-19,1.025,1.097,1.0921
2024-04-26,1.055,1.127,1.1241
2024-04-30,1.066,1.138,1.1358
2024-05-10,1.084,1.156,1.155
2024-05-17,1.087,1.159,1.1581
2024-05-24,1.057,1.129,1.1262
2024-05-31,1.057,1.129,1.1262
2024-06-07,1.026,1.098,1.0932
2024-06-14,1.029,1.101,1.0964
2024-06-21,1.011,1.083,1.0772
2024-06-28,0.998,1.07,1.0633
2024-07-05,0.993,1.065,1.058
2024-07-12,1.008,1.08,1.074
2024-07-19,1.004,1.076,1.0697
2024-07-26,0.982,1.054,1.0463
2024-08-02,1.005,1.077,1.0708
2024-08-09,0.99,1.062,1.0548
2024-08-16,0.988,1.06,1.0527
2024-08-23,0.962,1.034,1.025
2024-08-30,0.98,1.052,1.0441
2024-09-06,0.96,1.032,1.0228
2024-09-13,0.939,1.011,1.0005
2024-09-20,0.951,1.023,1.0132
2024-09-27,1.094,1.166,1.1656
2024-09-30,1.198,1.27,1.2764
2024-10-11,1.143,1.215,1.2178
2024-10-18,1.193,1.265,1.2711
2024-10-25,1.246,1.318,1.3276
2024-11-01,1.257,1.329,1.3393
2024-11-08,1.348,1.42,1.4362
2024-11-15,1.299,1.371,1.384
2024-11-22,1.294,1.366,1.3787
2024-11-29,1.328,1.4,1.4149
2024-12-06,1.372,1.444,1.4618
2024-12-13,1.378,1.45,1.4682
2024-12-20,1.358,1.43,1.4469
2024-12-27,1.349,1.421,1.4373
2025-01-03,1.255,1.327,1.3371
2025-01-10,1.247,1.319,1.3286
2025-01-17,1.305,1.377,1.3904
2025-01-24,1.0,1.384,1.3979
2025-01-27,0.992,1.376,1.3867
2025-02-07,1.034,1.418,1.4454
2025-02-14,1.051,1.435,1.4692
2025-02-21,1.074,1.458,1.5013
2025-02-28,1.058,1.442,1.479
2025-03-07,1.099,1.483,1.5363
2025-03-14,1.122,1.506,1.5684
2025-03-21,1.108,1.492,1.5488
2025-03-28,1.089,1.473,1.5223
2025-04-03,1.079,1.463,1.5083
