date,nav_unit,nav_accumulated,nav_adjusted
2023-01-13,1.0,1.0,1.0
2023-01-20,1.0,1.0,1.0
2023-02-03,1.0,1.0,1.0
2023-02-10,0.999,0.999,0.999
2023-02-17,0.99,0.99,0.99
2023-02-24,0.997,0.997,0.997
2023-03-03,1.005,1.005,1.005
2023-03-10,0.98,0.98,0.98
2023-03-17,0.973,0.973,0.973
2023-03-24,0.998,0.998,0.998
2023-03-31,0.994,0.994,0.994
2023-04-07,1.005,1.005,1.005
2023-04-14,1.007,1.007,1.007
2023-04-21,0.982,0.982,0.982
2023-04-28,0.991,0.991,0.991
2023-05-05,0.989,0.989,0.989
2023-05-12,0.978,0.978,0.978
2023-05-19,0.979,0.979,0.979
2023-05-26,0.976,0.976,0.976
2023-06-02,0.982,0.982,0.982
2023-06-09,0.975,0.975,0.975
2023-06-16,1.001,1.001,1.001
2023-06-21,0.987,0.987,0.987
2023-06-30,1.005,1.005,1.005
2023-07-07,1.0,1.0,1.0
2023-07-14,1.003,1.003,1.003
2023-07-21,0.984,0.984,0.984
2023-07-28,0.999,0.999,0.999
2023-08-04,1.012,1.012,1.012
2023-08-11,0.979,0.979,0.979
2023-08-18,0.968,0.968,0.968
2023-08-25,0.945,0.945,0.945
2023-09-01,0.987,0.987,0.987
2023-09-08,0.987,0.987,0.987
2023-09-15,0.975,0.975,0.975
2023-09-22,0.983,0.983,0.983
2023-09-28,0.987,0.987,0.987
2023-10-13,0.98,0.98,0.98
2023-10-20,0.938,0.938,0.938
2023-10-27,0.964,0.964,0.964
2023-11-03,0.97,0.97,0.97
2023-11-10,0.993,0.993,0.993
2023-11-17,1.017,1.017,1.017
2023-11-24,1.015,1.015,1.015
2023-12-01,1.017,1.017,1.017
2023-12-08,0.993,0.993,0.993
2023-12-15,0.999,0.999,0.999
2023-12-22,0.974,0.974,0.974
2023-12-29,1.005,1.005,1.005
2024-01-05,0.976,0.976,0.976
2024-01-12,0.966,0.966,0.966
2024-01-19,0.922,0.922,0.922
2024-01-26,0.914,0.914,0.914
2024-02-02,0.769,0.769,0.769
2024-02-08,0.773,0.773,0.773
2024-02-23,0.829,0.829,0.829
2024-03-01,0.856,0.856,0.856
2024-03-08,0.849,0.849,0.849
2024-03-15,0.885,0.885,0.885
2024-03-22,0.889,0.889,0.889
2024-03-29,0.877,0.877,0.877
2024-04-03,0.884,0.884,0.884
2024-04-12,0.86,0.86,0.86
2024-04-19,0.833,0.833,0.833
2024-04-26,0.865,0.865,0.865
2024-04-30,0.881,0.881,0.881
2024-05-10,0.898,0.898,0.898
2024-05-17,0.9,0.9,0.9
2024-05-24,0.874,0.874,0.874
2024-05-31,0.879,0.879,0.879
2024-06-07,0.835,0.835,0.835
2024-06-14,0.839,0.839,0.839
2024-06-21,0.822,0.822,0.822
2024-06-28,0.803,0.803,0.803
2024-07-05,0.793,0.793,0.793
2024-07-12,0.802,0.802,0.802
2024-07-19,0.788,0.788,0.788
2024-07-26,0.771,0.771,0.771
2024-08-02,0.787,0.787,0.787
2024-08-09,0.775,0.775,0.775
2024-08-16,0.773,0.773,0.773
2024-08-23,0.749,0.749,0.749
2024-08-30,0.769,0.769,0.769
2024-09-06,0.747,0.747,0.747
2024-09-13,0.733,0.733,0.733
2024-09-20,0.742,0.742,0.742
2024-09-27,0.851,0.851,0.851
2024-09-30,0.935,0.935,0.935
2024-10-11,0.882,0.882,0.882
2024-10-18,0.927,0.927,0.927
2024-10-25,0.974,0.974,0.974
2024-11-01,0.972,0.972,0.972
2024-11-08,1.06,1.06,1.06
2024-11-15,1.024,1.024,1.024
2024-11-22,1.022,1.022,1.022
2024-11-29,1.065,1.065,1.065
2024-12-06,1.111,1.111,1.111
2024-12-13,1.128,1.128,1.128
2024-12-20,1.113,1.113,1.113
2024-12-27,1.089,1.089,1.089
2025-01-03,1.009,1.009,1.009
2025-01-10,1.006,1.006,1.006
2025-01-17,1.061,1.061,1.061
2025-01-24,1.076,1.076,1.076
2025-01-27,1.065,1.065,1.065
2025-02-07,1.117,1.117,1.117
2025-02-14,1.149,1.149,1.149
2025-02-21,1.194,1.194,1.194
2025-02-28,1.171,1.171,1.171
2025-03-07,1.226,1.226,1.226
2025-03-14,1.243,1.243,1.243
2025-03-21,1.231,1.231,1.231
2025-03-28,1.21,1.21,1.21
2025-04-03,1.199,1.199,1.199
2025-04-11,1.115,1.115,1.115
2025-04-18,1.115,1.115,1.115
2025-04-25,1.148,1.148,1.148
2025-04-30,1.156,1.156,1.156
2025-05-09,1.186,1.186,1.186
2025-05-16,1.197,1.197,1.197
2025-05-23,1.184,1.184,1.184
2025-05-30,1.195,1.195,1.195
2025-06-06,1.214,1.214,1.214
2025-06-13,1.208,1.208,1.208
2025-06-20,1.185,1.185,1.185
