date,nav_unit,nav_accumulated,nav_adjusted
2023-04-10,1.0,1.0,1.0
2023-04-11,1.001,1.001,1.001
2023-04-12,1.0042,1.0042,1.0042
2023-04-13,1.0031,1.0031,1.0031
2023-04-14,1.0042,1.0042,1.0042
2023-04-17,1.0052,1.0052,1.0052
2023-04-18,1.0471,1.0471,1.0471
2023-04-19,1.0084,1.0084,1.0084
2023-04-20,1.0094,1.0094,1.0094
2023-04-21,1.0052,1.0052,1.0052
2023-04-24,1.0094,1.0094,1.0094
2023-04-25,1.0052,1.0052,1.0052
2023-04-26,1.0094,1.0094,1.0094
2023-04-27,1.0126,1.0126,1.0126
2023-04-28,1.0168,1.0168,1.0168
2023-05-04,1.0168,1.0168,1.0168
2023-05-05,1.0178,1.0178,1.0178
2023-05-08,1.0178,1.0178,1.0178
2023-05-09,1.0147,1.0147,1.0147
2023-05-10,1.0188,1.0188,1.0188
2023-05-11,1.0199,1.0199,1.0199
2023-05-12,1.0209,1.0209,1.0209
2023-05-15,1.0251,1.0251,1.0251
2023-05-16,1.0251,1.0251,1.0251
2023-05-17,1.0293,1.0293,1.0293
2023-05-18,1.0325,1.0325,1.0325
2023-05-19,1.0304,1.0304,1.0304
2023-05-22,1.0346,1.0346,1.0346
2023-05-23,1.0304,1.0304,1.0304
2023-05-24,1.0293,1.0293,1.0293
2023-05-25,1.0356,1.0356,1.0356
2023-05-26,1.0335,1.0335,1.0335
2023-05-29,1.0346,1.0346,1.0346
2023-05-30,1.0356,1.0356,1.0356
2023-05-31,1.0356,1.0356,1.0356
2023-06-01,1.0356,1.0356,1.0356
2023-06-02,1.0356,1.0356,1.0356
2023-06-05,1.0377,1.0377,1.0377
2023-06-06,1.0335,1.0335,1.0335
2023-06-07,1.0387,1.0387,1.0387
2023-06-08,1.0377,1.0377,1.0377
2023-06-09,1.0408,1.0408,1.0408
2023-06-12,1.0429,1.0429,1.0429
2023-06-13,1.0471,1.0471,1.0471
2023-06-14,1.045,1.045,1.045
2023-06-15,1.0471,1.0471,1.0471
2023-06-16,1.0513,1.0513,1.0513
2023-06-19,1.0513,1.0513,1.0513
2023-06-20,1.0503,1.0503,1.0503
2023-06-21,1.0471,1.0471,1.0471
2023-06-26,1.044,1.044,1.044
2023-06-27,1.0503,1.0503,1.0503
2023-06-28,1.0482,1.0482,1.0482
2023-06-29,1.0524,1.0524,1.0524
2023-06-30,1.0545,1.0545,1.0545
2023-07-03,1.0565,1.0565,1.0565
2023-07-04,1.0586,1.0586,1.0586
2023-07-05,1.0565,1.0565,1.0565
2023-07-06,1.0576,1.0576,1.0576
2023-07-07,1.0565,1.0565,1.0565
2023-07-10,1.0565,1.0565,1.0565
2023-07-11,1.0565,1.0565,1.0565
2023-07-12,1.0534,1.0534,1.0534
2023-07-13,1.0545,1.0545,1.0545
2023-07-14,1.0555,1.0555,1.0555
2023-07-17,1.0607,1.0607,1.0607
2023-07-18,1.0576,1.0576,1.0576
2023-07-19,1.0576,1.0576,1.0576
2023-07-20,1.0503,1.0503,1.0503
2023-07-21,1.0482,1.0482,1.0482
2023-07-24,1.0503,1.0503,1.0503
2023-07-25,1.0492,1.0492,1.0492
2023-07-26,1.044,1.044,1.044
2023-07-27,1.0429,1.0429,1.0429
2023-07-28,1.0408,1.0408,1.0408
2023-07-31,1.0419,1.0419,1.0419
2023-08-01,1.0398,1.0398,1.0398
2023-08-02,1.0419,1.0419,1.0419
2023-08-03,1.0419,1.0419,1.0419
2023-08-04,1.0419,1.0419,1.0419
2023-08-07,1.0408,1.0408,1.0408
2023-08-08,1.0419,1.0419,1.0419
2023-08-09,1.0408,1.0408,1.0408
2023-08-10,1.0429,1.0429,1.0429
2023-08-11,1.0398,1.0398,1.0398
2023-08-14,1.0461,1.0461,1.0461
2023-08-15,1.0461,1.0461,1.0461
2023-08-16,1.0408,1.0408,1.0408
2023-08-17,1.045,1.045,1.045
2023-08-18,1.044,1.044,1.044
2023-08-21,1.0471,1.0471,1.0471
2023-08-22,1.0555,1.0555,1.0555
2023-08-23,1.0503,1.0503,1.0503
2023-08-24,1.0524,1.0524,1.0524
2023-08-25,1.0524,1.0524,1.0524
2023-08-28,1.0524,1.0524,1.0524
2023-08-29,1.0586,1.0586,1.0586
2023-08-30,1.0586,1.0586,1.0586
2023-08-31,1.0586,1.0586,1.0586
2023-09-01,1.0586,1.0586,1.0586
2023-09-04,1.0586,1.0586,1.0586
2023-09-05,1.0586,1.0586,1.0586
2023-09-06,1.0565,1.0565,1.0565
2023-09-07,1.0555,1.0555,1.0555
2023-09-08,1.0555,1.0555,1.0555
2023-09-11,1.0565,1.0565,1.0565
2023-09-12,1.0576,1.0576,1.0576
2023-09-13,1.0607,1.0607,1.0607
2023-09-14,1.0597,1.0597,1.0597
2023-09-15,1.0586,1.0586,1.0586
2023-09-18,1.0565,1.0565,1.0565
2023-09-19,1.0555,1.0555,1.0555
2023-09-20,1.0545,1.0545,1.0545
