基金代码,基金名称,日期,单位净值,累计净值
SY2054,合撰价值精选贰号,2018-02-05,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-06,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-07,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-08,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-09,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-12,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-13,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-14,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-22,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-23,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-26,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-27,1.0,1.0
SY2054,合撰价值精选贰号,2018-02-28,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-01,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-02,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-05,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-06,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-07,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-08,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-09,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-12,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-13,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-14,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-15,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-16,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-19,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-20,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-21,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-22,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-23,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-26,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-27,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-28,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-29,1.0,1.0
SY2054,合撰价值精选贰号,2018-03-30,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-02,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-03,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-04,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-09,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-10,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-11,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-12,1.0,1.0
SY2054,合撰价值精选贰号,2018-04-13,1.001,1.001
SY2054,合撰价值精选贰号,2018-04-16,1.001,1.001
SY2054,合撰价值精选贰号,2018-04-17,1.001,1.001
SY2054,合撰价值精选贰号,2018-04-18,1.001,1.001
SY2054,合撰价值精选贰号,2018-04-19,1.001,1.001
SY2054,合撰价值精选贰号,2018-04-20,0.99,0.99
SY2054,合撰价值精选贰号,2018-04-23,0.99,0.99
SY2054,合撰价值精选贰号,2018-04-24,0.99,0.99
SY2054,合撰价值精选贰号,2018-04-25,0.99,0.99
SY2054,合撰价值精选贰号,2018-04-26,0.99,0.99
SY2054,合撰价值精选贰号,2018-04-27,0.988,0.988
SY2054,合撰价值精选贰号,2018-05-02,0.988,0.988
SY2054,合撰价值精选贰号,2018-05-03,0.988,0.988
SY2054,合撰价值精选贰号,2018-05-04,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-07,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-08,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-09,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-10,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-11,0.986,0.986
SY2054,合撰价值精选贰号,2018-05-14,1.0,1.0
SY2054,合撰价值精选贰号,2018-05-15,1.0,1.0
SY2054,合撰价值精选贰号,2018-05-16,1.0,1.0
SY2054,合撰价值精选贰号,2018-05-17,1.0,1.0
SY2054,合撰价值精选贰号,2018-05-18,1.01,1.01
SY2054,合撰价值精选贰号,2018-05-21,1.01,1.01
SY2054,合撰价值精选贰号,2018-05-22,1.01,1.01
SY2054,合撰价值精选贰号,2018-05-23,1.01,1.01
SY2054,合撰价值精选贰号,2018-05-24,1.01,1.01
SY2054,合撰价值精选贰号,2018-05-25,0.99,0.99
SY2054,合撰价值精选贰号,2018-05-28,0.99,0.99
SY2054,合撰价值精选贰号,2018-05-29,0.99,0.99
SY2054,合撰价值精选贰号,2018-05-30,0.99,0.99
SY2054,合撰价值精选贰号,2018-05-31,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-01,0.985,0.985
SY2054,合撰价值精选贰号,2018-06-04,0.985,0.985
SY2054,合撰价值精选贰号,2018-06-05,0.985,0.985
SY2054,合撰价值精选贰号,2018-06-06,0.985,0.985
SY2054,合撰价值精选贰号,2018-06-07,0.985,0.985
SY2054,合撰价值精选贰号,2018-06-08,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-11,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-12,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-13,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-14,0.989,0.989
SY2054,合撰价值精选贰号,2018-06-15,0.998,0.998
SY2054,合撰价值精选贰号,2018-06-19,0.998,0.998
SY2054,合撰价值精选贰号,2018-06-20,0.998,0.998
SY2054,合撰价值精选贰号,2018-06-21,0.998,0.998
SY2054,合撰价值精选贰号,2018-06-22,0.982,0.982
SY2054,合撰价值精选贰号,2018-06-25,0.982,0.982
SY2054,合撰价值精选贰号,2018-06-26,0.982,0.982
SY2054,合撰价值精选贰号,2018-06-27,0.982,0.982
SY2054,合撰价值精选贰号,2018-06-28,0.982,0.982
SY2054,合撰价值精选贰号,2018-06-29,0.947,0.947
SY2054,合撰价值精选贰号,2018-07-02,0.947,0.947
SY2054,合撰价值精选贰号,2018-07-03,0.947,0.947
SY2054,合撰价值精选贰号,2018-07-04,0.947,0.947
SY2054,合撰价值精选贰号,2018-07-05,0.947,0.947
SY2054,合撰价值精选贰号,2018-07-06,0.918,0.918
SY2054,合撰价值精选贰号,2018-07-09,0.918,0.918
SY2054,合撰价值精选贰号,2018-07-10,0.918,0.918
SY2054,合撰价值精选贰号,2018-07-11,0.918,0.918
SY2054,合撰价值精选贰号,2018-07-12,0.918,0.918
SY2054,合撰价值精选贰号,2018-07-13,0.95,0.95
SY2054,合撰价值精选贰号,2018-07-16,0.95,0.95
SY2054,合撰价值精选贰号,2018-07-17,0.95,0.95
SY2054,合撰价值精选贰号,2018-07-18,0.95,0.95
SY2054,合撰价值精选贰号,2018-07-19,0.95,0.95
SY2054,合撰价值精选贰号,2018-07-20,0.956,0.956
SY2054,合撰价值精选贰号,2018-07-23,0.956,0.956
SY2054,合撰价值精选贰号,2018-07-24,0.956,0.956
SY2054,合撰价值精选贰号,2018-07-25,0.956,0.956
SY2054,合撰价值精选贰号,2018-07-26,0.956,0.956
SY2054,合撰价值精选贰号,2018-07-27,0.968,0.968
SY2054,合撰价值精选贰号,2018-07-30,0.968,0.968
SY2054,合撰价值精选贰号,2018-07-31,0.977,0.977
SY2054,合撰价值精选贰号,2018-08-01,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-02,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-03,0.949,0.949
SY2054,合撰价值精选贰号,2018-08-06,0.949,0.949
SY2054,合撰价值精选贰号,2018-08-07,0.949,0.949
SY2054,合撰价值精选贰号,2018-08-08,0.949,0.949
SY2054,合撰价值精选贰号,2018-08-09,0.949,0.949
SY2054,合撰价值精选贰号,2018-08-10,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-13,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-14,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-15,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-16,0.963,0.963
SY2054,合撰价值精选贰号,2018-08-17,0.927,0.927
SY2054,合撰价值精选贰号,2018-08-20,0.927,0.927
SY2054,合撰价值精选贰号,2018-08-21,0.927,0.927
SY2054,合撰价值精选贰号,2018-08-22,0.927,0.927
SY2054,合撰价值精选贰号,2018-08-23,0.927,0.927
SY2054,合撰价值精选贰号,2018-08-24,0.95,0.95
SY2054,合撰价值精选贰号,2018-08-27,0.95,0.95
SY2054,合撰价值精选贰号,2018-08-28,0.95,0.95
SY2054,合撰价值精选贰号,2018-08-29,0.95,0.95
SY2054,合撰价值精选贰号,2018-08-30,0.95,0.95
SY2054,合撰价值精选贰号,2018-08-31,0.964,0.964
SY2054,合撰价值精选贰号,2018-09-03,0.964,0.964
SY2054,合撰价值精选贰号,2018-09-04,0.964,0.964
SY2054,合撰价值精选贰号,2018-09-05,0.964,0.964
SY2054,合撰价值精选贰号,2018-09-06,0.964,0.964
SY2054,合撰价值精选贰号,2018-09-07,0.949,0.949
SY2054,合撰价值精选贰号,2018-09-10,0.949,0.949
SY2054,合撰价值精选贰号,2018-09-11,0.949,0.949
SY2054,合撰价值精选贰号,2018-09-12,0.949,0.949
SY2054,合撰价值精选贰号,2018-09-13,0.949,0.949
SY2054,合撰价值精选贰号,2018-09-14,0.947,0.947
SY2054,合撰价值精选贰号,2018-09-17,0.947,0.947
SY2054,合撰价值精选贰号,2018-09-18,0.947,0.947
