date,nav_unit,nav_accumulated,nav_adjusted
2023-06-21,1.0,1.0,1.0
2023-06-30,1.0,1.0,1.0
2023-07-07,1.0,1.0,1.0
2023-07-14,1.0,1.0,1.0
2023-07-21,0.999,0.999,0.999
2023-07-28,1.0,1.0,1.0
2023-08-04,1.002,1.002,1.002
2023-08-11,0.999,0.999,0.999
2023-08-18,0.997,0.997,0.997
2023-08-25,0.996,0.996,0.996
2023-09-01,0.992,0.992,0.992
2023-09-08,0.984,0.984,0.984
2023-09-15,0.979,0.979,0.979
2023-09-22,0.979,0.979,0.979
2023-09-28,0.981,0.981,0.981
2023-10-13,0.964,0.964,0.964
2023-10-20,0.964,0.964,0.964
2023-10-27,0.967,0.967,0.967
2023-11-03,0.971,0.971,0.971
2023-11-10,0.975,0.975,0.975
2023-11-17,0.977,0.977,0.977
2023-11-24,0.973,0.973,0.973
2023-12-01,0.969,0.969,0.969
2023-12-08,0.963,0.963,0.963
2023-12-15,0.965,0.965,0.965
2023-12-22,0.966,0.966,0.966
2023-12-29,0.966,0.966,0.966
2024-01-05,0.965,0.965,0.965
2024-01-12,0.965,0.965,0.965
2024-01-19,0.962,0.962,0.962
2024-01-26,0.956,0.956,0.956
2024-02-02,0.961,0.961,0.961
2024-02-08,0.968,0.968,0.968
2024-02-23,0.978,0.978,0.978
2024-03-01,0.979,0.979,0.979
2024-03-08,0.985,0.985,0.985
2024-03-15,1.018,1.018,1.018
2024-03-22,1.01,1.01,1.01
2024-03-29,1.008,1.008,1.008
2024-04-03,1.011,1.011,1.011
2024-04-12,0.993,0.993,0.993
2024-04-19,0.985,0.985,0.985
2024-04-26,0.982,0.982,0.982
2024-04-30,0.987,0.987,0.987
2024-05-10,0.979,0.979,0.979
2024-05-17,0.993,0.993,0.993
2024-05-24,0.995,0.995,0.995
2024-05-31,0.994,0.994,0.994
2024-06-07,0.964,0.964,0.964
2024-06-14,0.959,0.959,0.959
2024-06-21,0.958,0.958,0.958
2024-06-28,0.95,0.95,0.95
2024-07-05,0.953,0.953,0.953
2024-07-12,0.958,0.958,0.958
2024-07-19,0.937,0.937,0.937
2024-07-26,0.935,0.935,0.935
2024-08-02,0.942,0.942,0.942
2024-08-09,0.947,0.947,0.947
2024-08-16,0.956,0.956,0.956
2024-08-23,0.958,0.958,0.958
2024-08-30,0.948,0.948,0.948
2024-09-06,0.979,0.979,0.979
2024-09-13,0.978,0.978,0.978
2024-09-20,0.972,0.972,0.972
2024-09-27,0.986,0.986,0.986
2024-09-30,1.018,1.018,1.018
2024-10-11,1.012,1.012,1.012
2024-10-18,1.025,1.025,1.025
2024-10-25,1.043,1.043,1.043
2024-11-01,1.054,1.054,1.054
2024-11-08,1.081,1.081,1.081
2024-11-15,1.051,1.051,1.051
2024-11-22,1.016,1.016,1.016
2024-11-29,1.036,1.036,1.036
2024-12-06,1.045,1.045,1.045
2024-12-13,1.043,1.043,1.043
2024-12-20,1.046,1.046,1.046
2024-12-27,1.049,1.049,1.049
2025-01-03,1.069,1.069,1.069
2025-01-10,1.062,1.062,1.062
2025-01-17,1.092,1.092,1.092
2025-01-24,1.081,1.081,1.081
2025-01-27,1.087,1.087,1.087
2025-02-07,1.107,1.107,1.107
2025-02-14,1.109,1.109,1.109
2025-02-21,1.119,1.119,1.119
2025-02-28,1.099,1.099,1.099
2025-03-07,1.101,1.101,1.101
2025-03-14,1.121,1.121,1.121
2025-03-21,1.109,1.109,1.109
2025-03-28,1.102,1.102,1.102
2025-04-07,1.071,1.071,1.071
