date,nav_unit,nav_accumulated,nav_adjusted
2023-04-14,1.0,1.0,1.0
2023-04-21,0.9999,0.9999,0.9999
2023-04-28,0.9998,0.9998,0.9998
2023-05-05,0.9996,0.9996,0.9996
2023-05-12,0.9799,0.9799,0.9799
2023-05-19,0.9864,0.9864,0.9864
2023-05-26,0.9784,0.9784,0.9784
2023-06-02,0.9888,0.9888,0.9888
2023-06-09,0.9854,0.9854,0.9854
2023-06-16,1.0068,1.0068,1.0068
2023-06-21,0.988,0.988,0.988
2023-06-30,1.0003,1.0003,1.0003
2023-07-07,0.9981,0.9981,0.9981
2023-07-14,1.0088,1.0088,1.0088
2023-07-21,0.9913,0.9913,0.9913
2023-07-28,1.0111,1.0111,1.0111
2023-08-04,1.0224,1.0224,1.0224
2023-08-11,0.9938,0.9938,0.9938
2023-08-18,0.9809,0.9809,0.9809
2023-08-25,0.9556,0.9556,0.9556
2023-09-01,0.9878,0.9878,0.9878
2023-09-08,0.9822,0.9822,0.9822
2023-09-15,0.9812,0.9812,0.9812
2023-09-22,0.9848,0.9848,0.9848
2023-09-28,0.9866,0.9866,0.9866
2023-10-13,0.9811,0.9811,0.9811
2023-10-20,0.9456,0.9456,0.9456
2023-10-27,0.9683,0.9683,0.9683
2023-11-03,0.9756,0.9756,0.9756
2023-11-10,0.9926,0.9926,0.9926
2023-11-17,1.0056,1.0056,1.0056
2023-11-24,1.0012,1.0012,1.0012
2023-12-01,1.0036,1.0036,1.0036
2023-12-08,0.9833,0.9833,0.9833
2023-12-15,0.9839,0.9839,0.9839
2023-12-22,0.9696,0.9696,0.9696
2023-12-29,0.9939,0.9939,0.9939
2024-01-05,0.9804,0.9804,0.9804
2024-01-12,0.9689,0.9689,0.9689
2024-01-19,0.9407,0.9407,0.9407
2024-01-26,0.9464,0.9464,0.9464
2024-02-02,0.8338,0.8338,0.8338
2024-02-08,0.8573,0.8573,0.8573
2024-02-23,0.9403,0.9403,0.9403
2024-03-01,0.966,0.966,0.966
2024-03-08,0.9703,0.9703,0.9703
2024-03-15,0.9943,0.9943,0.9943
2024-03-22,1.0066,1.0066,1.0066
2024-03-29,1.0039,1.0039,1.0039
2024-04-03,1.0149,1.0149,1.0149
2024-04-12,0.9924,0.9924,0.9924
2024-04-19,0.9757,0.9757,0.9757
2024-04-26,0.9916,0.9916,0.9916
2024-04-30,1.0008,1.0008,1.0008
2024-05-10,1.0193,1.0193,1.0193
2024-05-17,1.0199,1.0199,1.0199
2024-05-24,1.0039,1.0039,1.0039
2024-05-31,1.0056,1.0056,1.0056
2024-06-07,0.9945,0.9945,0.9945
2024-06-14,0.9942,0.9942,0.9942
2024-06-21,0.9798,0.9798,0.9798
2024-06-28,0.9711,0.9711,0.9711
2024-07-05,0.9644,0.9644,0.9644
2024-07-12,0.9757,0.9757,0.9757
2024-07-19,0.9667,0.9667,0.9667
2024-07-26,0.9418,0.9418,0.9418
2024-08-02,0.9524,0.9524,0.9524
2024-08-09,0.9353,0.9353,0.9353
2024-08-16,0.9332,0.9332,0.9332
2024-08-23,0.9143,0.9143,0.9143
2024-08-30,0.9204,0.9204,0.9204
2024-09-06,0.8998,0.8998,0.8998
2024-09-13,0.8821,0.8821,0.8821
2024-09-20,0.8965,0.8965,0.8965
2024-09-27,1.023,1.023,1.023
2024-09-30,1.1137,1.1137,1.1137
2024-10-11,1.0711,1.0711,1.0711
2024-10-18,1.1016,1.1016,1.1016
2024-10-25,1.135,1.135,1.135
2024-11-01,1.1405,1.1405,1.1405
2024-11-08,1.2209,1.2209,1.2209
2024-11-15,1.1756,1.1756,1.1756
2024-11-22,1.163,1.163,1.163
2024-11-29,1.1917,1.1917,1.1917
2024-12-06,1.234,1.234,1.234
2024-12-13,1.237,1.237,1.237
2024-12-20,1.2248,1.2248,1.2248
2024-12-27,1.2187,1.2187,1.2187
2025-01-03,1.1356,1.1356,1.1356
2025-01-10,1.1295,1.1295,1.1295
2025-01-17,1.1783,1.1783,1.1783
2025-01-24,1.187,1.187,1.187
2025-01-27,1.1792,1.1792,1.1792
2025-02-07,1.2223,1.2223,1.2223
2025-02-14,1.2493,1.2493,1.2493
2025-02-21,1.2768,1.2768,1.2768
2025-02-28,1.2435,1.2435,1.2435
2025-03-07,1.2854,1.2854,1.2854
2025-03-14,1.3019,1.3019,1.3019
2025-03-21,1.2876,1.2876,1.2876
2025-03-28,1.2734,1.2734,1.2734
2025-04-03,1.2645,1.2645,1.2645
2025-04-11,1.221,1.221,1.221
2025-04-18,1.2283,1.2283,1.2283
2025-04-25,1.2512,1.2512,1.2512
2025-04-30,1.2518,1.2518,1.2518
2025-05-09,1.2804,1.2804,1.2804
