基金代码,基金名称,日期,单位净值,累计净值
TW548B,细水居20号私募证券投资基金B,2022-08-25,1.0,1.0
TW548B,细水居20号私募证券投资基金B,2022-08-26,1.0001,1.0001
TW548B,细水居20号私募证券投资基金B,2022-09-02,0.9998,0.9998
TW548B,细水居20号私募证券投资基金B,2022-09-09,1.0006,1.0006
TW548B,细水居20号私募证券投资基金B,2022-09-16,0.9728,0.9728
TW548B,细水居20号私募证券投资基金B,2022-09-23,0.9808,0.9808
TW548B,细水居20号私募证券投资基金B,2022-09-30,0.9577,0.9577
TW548B,细水居20号私募证券投资基金B,2022-10-10,0.9826,0.9826
TW548B,细水居20号私募证券投资基金B,2022-10-14,0.9743,0.9743
TW548B,细水居20号私募证券投资基金B,2022-10-21,0.9864,0.9864
TW548B,细水居20号私募证券投资基金B,2022-10-28,1.0369,1.0369
TW548B,细水居20号私募证券投资基金B,2022-11-04,1.0487,1.0487
TW548B,细水居20号私募证券投资基金B,2022-11-11,1.0493,1.0493
TW548B,细水居20号私募证券投资基金B,2022-11-18,1.0608,1.0608
TW548B,细水居20号私募证券投资基金B,2022-11-25,1.0823,1.0823
TW548B,细水居20号私募证券投资基金B,2022-12-02,1.0196,1.0196
TW548B,细水居20号私募证券投资基金B,2022-12-09,1.0108,1.0108
TW548B,细水居20号私募证券投资基金B,2022-12-14,1.0103,1.0103
TW548B,细水居20号私募证券投资基金B,2022-12-16,0.9975,0.9975
TW548B,细水居20号私募证券投资基金B,2022-12-23,1.0586,1.0586
TW548B,细水居20号私募证券投资基金B,2022-12-30,1.0324,1.0324
TW548B,细水居20号私募证券投资基金B,2023-01-06,1.025,1.025
TW548B,细水居20号私募证券投资基金B,2023-01-12,1.0284,1.0284
TW548B,细水居20号私募证券投资基金B,2023-01-13,1.0545,1.0545
TW548B,细水居20号私募证券投资基金B,2023-01-20,1.0928,1.0928
TW548B,细水居20号私募证券投资基金B,2023-01-30,1.1083,1.1083
TW548B,细水居20号私募证券投资基金B,2023-02-03,1.1164,1.1164
TW548B,细水居20号私募证券投资基金B,2023-02-10,1.0977,1.0977
TW548B,细水居20号私募证券投资基金B,2023-02-17,1.0607,1.0607
TW548B,细水居20号私募证券投资基金B,2023-02-24,1.037,1.037
TW548B,细水居20号私募证券投资基金B,2023-03-03,1.0334,1.0334
TW548B,细水居20号私募证券投资基金B,2023-03-10,1.0033,1.0033
TW548B,细水居20号私募证券投资基金B,2023-03-17,0.953,0.953
TW548B,细水居20号私募证券投资基金B,2023-03-24,0.9651,0.9651
TW548B,细水居20号私募证券投资基金B,2023-03-31,0.9569,0.9569
TW548B,细水居20号私募证券投资基金B,2023-04-06,0.9751,0.9751
TW548B,细水居20号私募证券投资基金B,2023-04-07,0.9929,0.9929
TW548B,细水居20号私募证券投资基金B,2023-04-14,0.9867,0.9867
TW548B,细水居20号私募证券投资基金B,2023-04-21,1.0256,1.0256
TW548B,细水居20号私募证券投资基金B,2023-04-28,1.0765,1.0765
TW548B,细水居20号私募证券投资基金B,2023-05-05,1.0766,1.0766
TW548B,细水居20号私募证券投资基金B,2023-05-12,1.0581,1.0581
TW548B,细水居20号私募证券投资基金B,2023-05-19,1.0604,1.0604
TW548B,细水居20号私募证券投资基金B,2023-05-26,1.0404,1.0404
TW548B,细水居20号私募证券投资基金B,2023-06-02,1.0412,1.0412
TW548B,细水居20号私募证券投资基金B,2023-06-09,1.052,1.052
TW548B,细水居20号私募证券投资基金B,2023-06-16,1.1001,1.1001
TW548B,细水居20号私募证券投资基金B,2023-06-21,1.0897,1.0897
TW548B,细水居20号私募证券投资基金B,2023-06-26,1.1195,1.1195
TW548B,细水居20号私募证券投资基金B,2023-06-30,1.0835,1.0835
TW548B,细水居20号私募证券投资基金B,2023-07-07,1.0521,1.0521
TW548B,细水居20号私募证券投资基金B,2023-07-14,1.0652,1.0652
TW548B,细水居20号私募证券投资基金B,2023-07-21,1.0384,1.0384
TW548B,细水居20号私募证券投资基金B,2023-07-28,1.0676,1.0676
TW548B,细水居20号私募证券投资基金B,2023-08-04,1.0684,1.0684
TW548B,细水居20号私募证券投资基金B,2023-08-11,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-16,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-17,1.1036,1.1036
TW548B,细水居20号私募证券投资基金B,2023-08-18,1.152,1.152
TW548B,细水居20号私募证券投资基金B,2023-08-25,1.2128,1.2128
TW548B,细水居20号私募证券投资基金B,2023-09-01,1.1822,1.1822
TW548B,细水居20号私募证券投资基金B,2023-09-08,1.1652,1.1652
TW548B,细水居20号私募证券投资基金B,2023-09-15,1.1441,1.1441
TW548B,细水居20号私募证券投资基金B,2023-09-22,1.1755,1.1755
TW548B,细水居20号私募证券投资基金B,2023-09-28,1.1576,1.1576
TW548B,细水居20号私募证券投资基金B,2023-10-09,1.154,1.154
TW548B,细水居20号私募证券投资基金B,2023-10-13,1.1566,1.1566
TW548B,细水居20号私募证券投资基金B,2023-10-20,1.2015,1.2015
TW548B,细水居20号私募证券投资基金B,2023-10-27,1.1692,1.1692
TW548B,细水居20号私募证券投资基金B,2023-11-03,1.1864,1.1864
TW548B,细水居20号私募证券投资基金B,2023-11-10,1.197,1.197
TW548B,细水居20号私募证券投资基金B,2023-11-17,1.1829,1.1829
TW548B,细水居20号私募证券投资基金B,2023-11-24,1.2103,1.2103
TW548B,细水居20号私募证券投资基金B,2023-12-01,1.2099,1.2099
TW548B,细水居20号私募证券投资基金B,2023-12-08,1.2459,1.2459
TW548B,细水居20号私募证券投资基金B,2023-12-15,1.2523,1.2523
TW548B,细水居20号私募证券投资基金B,2023-12-22,1.3058,1.3058
TW548B,细水居20号私募证券投资基金B,2023-12-29,1.3101,1.3101
TW548B,细水居20号私募证券投资基金B,2024-01-05,1.3212,1.3212
TW548B,细水居20号私募证券投资基金B,2024-01-12,1.3526,1.3526
TW548B,细水居20号私募证券投资基金B,2024-01-19,1.3821,1.3821
TW548B,细水居20号私募证券投资基金B,2024-01-26,1.4021,1.4021
TW548B,细水居20号私募证券投资基金B,2024-02-02,1.4759,1.4759
TW548B,细水居20号私募证券投资基金B,2024-02-08,1.6134,1.6134
TW548B,细水居20号私募证券投资基金B,2024-02-19,1.6034,1.6034
TW548B,细水居20号私募证券投资基金B,2024-02-23,1.6201,1.6201
TW548B,细水居20号私募证券投资基金B,2024-02-27,1.1,1.6227
TW548B,细水居20号私募证券投资基金B,2024-03-01,1.0963,1.619
TW548B,细水居20号私募证券投资基金B,2024-03-05,1.1078,1.6305
TW548B,细水居20号私募证券投资基金B,2024-03-08,1.0996,1.6223
TW548B,细水居20号私募证券投资基金B,2024-03-15,1.0907,1.6134
TW548B,细水居20号私募证券投资基金B,2024-03-22,1.1041,1.6268
TW548B,细水居20号私募证券投资基金B,2024-03-29,1.0922,1.6149
TW548B,细水居20号私募证券投资基金B,2024-04-03,1.0845,1.6072
TW548B,细水居20号私募证券投资基金B,2024-04-08,1.0981,1.6208
TW548B,细水居20号私募证券投资基金B,2024-04-12,1.0723,1.595
TW548B,细水居20号私募证券投资基金B,2024-04-19,1.07,1.5927
TW548B,细水居20号私募证券投资基金B,2024-04-26,1.0876,1.6103
TW548B,细水居20号私募证券投资基金B,2024-04-30,1.1101,1.6328
TW548B,细水居20号私募证券投资基金B,2024-05-06,1.1012,1.6239
TW548B,细水居20号私募证券投资基金B,2024-05-10,1.0795,1.6022
TW548B,细水居20号私募证券投资基金B,2024-05-17,1.086,1.6087
TW548B,细水居20号私募证券投资基金B,2024-05-24,1.1173,1.64
TW548B,细水居20号私募证券投资基金B,2024-05-31,1.0966,1.6193
TW548B,细水居20号私募证券投资基金B,2024-06-07,1.0996,1.6223
TW548B,细水居20号私募证券投资基金B,2024-06-14,1.0623,1.585
TW548B,细水居20号私募证券投资基金B,2024-06-21,1.0951,1.6178
TW548B,细水居20号私募证券投资基金B,2024-06-28,1.0956,1.6183
TW548B,细水居20号私募证券投资基金B,2024-07-05,1.0947,1.6174
TW548B,细水居20号私募证券投资基金B,2024-07-12,1.0776,1.6003
TW548B,细水居20号私募证券投资基金B,2024-07-19,1.1033,1.626
TW548B,细水居20号私募证券投资基金B,2024-07-26,1.1448,1.6675
TW548B,细水居20号私募证券投资基金B,2024-07-29,1.1338,1.6565
TW548B,细水居20号私募证券投资基金B,2024-08-02,1.1295,1.6522
TW548B,细水居20号私募证券投资基金B,2024-08-09,1.1347,1.6574
TW548B,细水居20号私募证券投资基金B,2024-08-16,1.1241,1.6468
TW548B,细水居20号私募证券投资基金B,2024-08-23,1.1299,1.6526
TW548B,细水居20号私募证券投资基金B,2024-08-30,1.1645,1.6872
TW548B,细水居20号私募证券投资基金B,2024-09-06,1.238,1.7607
TW548B,细水居20号私募证券投资基金B,2024-09-13,1.2287,1.7514
TW548B,细水居20号私募证券投资基金B,2024-09-20,1.2463,1.769
TW548B,细水居20号私募证券投资基金B,2024-09-27,1.2992,1.8219
TW548B,细水居20号私募证券投资基金B,2024-09-30,1.3961,1.9188
TW548B,细水居20号私募证券投资基金B,2024-10-08,1.4855,2.0082
TW548B,细水居20号私募证券投资基金B,2024-10-11,1.482,2.0047
TW548B,细水居20号私募证券投资基金B,2024-10-18,1.4341,1.9568
TW548B,细水居20号私募证券投资基金B,2024-10-25,1.4219,1.9446
TW548B,细水居20号私募证券投资基金B,2024-11-01,1.3473,1.87
TW548B,细水居20号私募证券投资基金B,2024-11-08,1.3402,1.8629
TW548B,细水居20号私募证券投资基金B,2024-11-15,1.3401,1.8628
TW548B,细水居20号私募证券投资基金B,2024-11-22,1.3283,1.851
TW548B,细水居20号私募证券投资基金B,2024-11-29,1.2903,1.813
TW548B,细水居20号私募证券投资基金B,2024-12-06,1.2986,1.8213
TW548B,细水居20号私募证券投资基金B,2024-12-13,1.2501,1.7728
TW548B,细水居20号私募证券投资基金B,2024-12-20,1.3225,1.8452
TW548B,细水居20号私募证券投资基金B,2024-12-27,1.3076,1.8303
TW548B,细水居20号私募证券投资基金B,2025-01-03,1.4071,1.9298
TW548B,细水居20号私募证券投资基金B,2025-01-10,1.4177,1.9404
TW548B,细水居20号私募证券投资基金B,2025-01-17,1.4112,1.9339
TW548B,细水居20号私募证券投资基金B,2025-01-24,1.3771,1.8998
TW548B,细水居20号私募证券投资基金B,2025-01-27,1.3718,1.8945
TW548B,细水居20号私募证券投资基金B,2025-02-05,1.3643,1.887
TW548B,细水居20号私募证券投资基金B,2025-02-07,1.3857,1.9084
TW548B,细水居20号私募证券投资基金B,2025-02-14,1.3823,1.905
TW548B,细水居20号私募证券投资基金B,2025-02-21,1.3878,1.9105
TW548B,细水居20号私募证券投资基金B,2025-02-28,1.3766,1.8993
TW548B,细水居20号私募证券投资基金B,2025-03-07,1.3639,1.8866
TW548B,细水居20号私募证券投资基金B,2025-03-14,1.3703,1.893
TW548B,细水居20号私募证券投资基金B,2025-03-21,1.376,1.8987
