date,nav_unit,nav_accumulated,nav_adjusted
2022-09-09,1.0,1.0,1.0
2022-09-16,1.0,1.0,1.0
2022-09-23,1.0,1.0,1.0
2022-09-30,1.0,1.0,1.0
2022-10-14,1.006,1.006,1.006
2022-10-21,1.006,1.006,1.006
2022-10-28,0.978,0.978,0.978
2022-11-04,1.067,1.067,1.067
2022-11-11,1.056,1.056,1.056
2022-11-18,1.06,1.06,1.06
2022-11-25,1.041,1.041,1.041
2022-12-02,1.069,1.069,1.069
2022-12-09,1.077,1.077,1.077
2022-12-16,1.055,1.055,1.055
2022-12-23,0.996,0.996,0.996
2022-12-30,1.017,1.017,1.017
2023-01-06,1.051,1.051,1.051
2023-01-13,1.051,1.051,1.051
2023-01-20,1.081,1.081,1.081
2023-02-03,1.113,1.113,1.113
2023-02-10,1.114,1.114,1.114
2023-02-17,1.095,1.095,1.095
2023-02-24,1.11,1.11,1.11
2023-03-03,1.118,1.118,1.118
2023-03-10,1.093,1.093,1.093
2023-03-17,1.096,1.096,1.096
2023-03-24,1.14,1.14,1.14
2023-03-31,1.148,1.148,1.148
2023-04-07,1.187,1.187,1.187
2023-04-14,1.193,1.193,1.193
2023-04-21,1.182,1.182,1.182
2023-04-28,1.183,1.183,1.183
2023-05-05,1.173,1.173,1.173
2023-05-12,1.163,1.163,1.163
2023-05-19,1.182,1.182,1.182
2023-05-26,1.177,1.177,1.177
2023-06-02,1.205,1.205,1.205
2023-06-09,1.206,1.206,1.206
2023-06-16,1.248,1.248,1.248
2023-06-21,1.221,1.221,1.221
2023-06-30,1.23,1.23,1.23
2023-07-07,1.219,1.219,1.219
2023-07-14,1.231,1.231,1.231
2023-07-21,1.198,1.198,1.198
2023-07-28,1.074,1.208,1.2091
2023-08-04,1.094,1.228,1.2316
2023-08-11,1.054,1.188,1.1866
2023-08-18,1.03,1.164,1.1596
2023-08-25,0.997,1.131,1.1224
2023-09-01,1.043,1.177,1.1742
2023-09-08,1.037,1.171,1.1675
2023-09-15,1.028,1.162,1.1573
2023-09-22,1.035,1.169,1.1652
2023-09-28,1.042,1.176,1.1731
2023-10-13,1.038,1.172,1.1686
2023-10-20,0.988,1.122,1.1123
2023-10-27,1.014,1.148,1.1416
2023-11-03,1.022,1.156,1.1506
2023-11-10,1.053,1.187,1.1855
2023-11-17,1.076,1.21,1.2114
2023-11-24,1.065,1.199,1.199
2023-12-01,1.072,1.206,1.2069
2023-12-08,1.053,1.187,1.1855
2023-12-15,1.046,1.18,1.1776
2023-12-22,1.016,1.15,1.1438
2023-12-29,1.043,1.177,1.1742
2024-01-05,1.009,1.143,1.136
2024-01-12,0.998,1.132,1.1236
2024-01-19,0.956,1.09,1.0763
2024-01-26,0.952,1.086,1.0718
2024-02-02,0.816,0.95,0.9187
2024-02-08,0.838,0.972,0.9434
2024-02-23,0.935,1.069,1.0526
2024-03-01,0.969,1.103,1.0909
2024-03-08,0.965,1.099,1.0864
2024-03-15,1.005,1.139,1.1315
2024-03-22,1.017,1.151,1.145
2024-03-29,0.993,1.127,1.1179
2024-04-03,1.005,1.139,1.1315
2024-04-12,0.974,1.108,1.0966
2024-04-19,0.948,1.082,1.0673
2024-04-26,0.99,1.124,1.1146
2024-04-30,1.008,1.142,1.1348
2024-05-10,1.027,1.161,1.1562
2024-05-17,1.03,1.164,1.1596
2024-05-24,0.999,1.133,1.1247
2024-05-31,1.001,1.135,1.1269
2024-06-07,0.957,1.091,1.0774
2024-06-14,0.965,1.099,1.0864
2024-06-21,0.942,1.076,1.0605
2024-06-28,0.921,1.055,1.0369
2024-07-05,0.911,1.045,1.0256
2024-07-12,0.923,1.057,1.0391
2024-07-19,0.91,1.044,1.0245
2024-07-26,0.893,1.027,1.0054
2024-08-02,0.923,1.057,1.0391
2024-08-09,0.909,1.043,1.0234
2024-08-16,0.903,1.037,1.0166
2024-08-23,0.868,1.002,0.9772
2024-08-30,0.898,1.032,1.011
2024-09-06,0.878,1.012,0.9885
2024-09-13,0.86,0.994,0.9682
2024-09-20,0.873,1.007,0.9828
2024-09-27,1.01,1.144,1.1371
2024-09-30,1.115,1.249,1.2553
2024-10-11,1.048,1.182,1.1799
2024-10-18,1.113,1.247,1.253
2024-10-25,1.179,1.313,1.3273
2024-11-01,1.19,1.324,1.3397
2024-11-08,1.296,1.43,1.4591
2024-11-15,1.246,1.38,1.4028
2024-11-22,1.246,1.38,1.4028
2024-11-29,1.293,1.427,1.4557
2024-12-06,1.347,1.481,1.5165
2024-12-13,1.36,1.494,1.5311
2024-12-20,1.338,1.472,1.5063
2024-12-27,1.308,1.442,1.4726
2025-01-03,1.198,1.332,1.3487
2025-01-10,1.194,1.328,1.3442
2025-01-17,1.264,1.398,1.423
2025-01-24,1.0,1.41,1.4365
2025-01-27,0.988,1.398,1.4193
2025-02-07,1.044,1.454,1.4998
2025-02-14,1.068,1.478,1.5342
2025-02-21,1.107,1.517,1.5903
2025-02-28,1.089,1.499,1.5644
2025-03-07,1.141,1.551,1.6391
2025-03-14,1.168,1.578,1.6779
2025-03-21,1.157,1.567,1.6621
2025-03-28,1.132,1.542,1.6262
2025-04-03,1.123,1.533,1.6132
2025-04-11,1.057,1.467,1.5184
2025-04-18,1.061,1.471,1.5242
2025-04-25,1.092,1.502,1.5687
2025-04-30,1.104,1.514,1.5859
2025-05-09,1.136,1.546,1.6319
2025-05-16,1.149,1.559,1.6506
2025-05-23,1.14,1.55,1.6377
2025-05-30,1.149,1.559,1.6506
2025-06-06,1.178,1.588,1.6923
2025-06-13,1.174,1.584,1.6865
<<<<<<<< HEAD:nav_dfs/VZ606B_宽德中证1000指数增强7号B_2022-09-05_2025-06-20.csv
2025-06-20,1.155,1.565,1.6592
========
>>>>>>>> f2448e32922449c4c62126a629bea034d3cb6ba8:nav_dfs/VZ606B_宽德中证1000指数增强7号B_2022-09-05_2025-06-13.csv
