date,nav_unit,nav_accumulated,nav_adjusted
2023-03-10,1.0,1.0,1.0
2023-03-17,1.0003,1.0003,1.0003
2023-03-24,1.0048,1.0048,1.0048
2023-03-31,1.0011,1.0011,1.0011
2023-04-07,0.9805,0.9805,0.9805
2023-04-14,0.9803,0.9803,0.9803
2023-04-21,0.9661,0.9661,0.9661
2023-04-28,0.9589,0.9589,0.9589
2023-05-05,0.954,0.954,0.954
2023-05-12,0.9384,0.9384,0.9384
2023-05-19,0.9409,0.9409,0.9409
2023-05-26,0.9336,0.9336,0.9336
2023-06-02,0.9363,0.9363,0.9363
2023-06-09,0.9341,0.9341,0.9341
2023-06-16,0.9689,0.9689,0.9689
2023-06-21,0.9398,0.9398,0.9398
2023-06-30,0.9272,0.9272,0.9272
2023-07-07,0.9174,0.9174,0.9174
2023-07-14,0.9431,0.9431,0.9431
2023-07-21,0.9318,0.9318,0.9318
2023-07-28,0.967,0.967,0.967
2023-08-04,0.9619,0.9619,0.9619
2023-08-11,0.942,0.942,0.942
2023-08-18,0.9209,0.9209,0.9209
2023-08-25,0.9162,0.9162,0.9162
2023-09-01,0.9221,0.9221,0.9221
2023-09-08,0.9143,0.9143,0.9143
2023-09-15,0.9176,0.9176,0.9176
2023-09-22,0.9136,0.9136,0.9136
2023-09-28,0.9027,0.9027,0.9027
2023-10-13,0.9076,0.9076,0.9076
2023-10-20,0.8852,0.8852,0.8852
2023-10-27,0.9011,0.9011,0.9011
2023-11-03,0.9139,0.9139,0.9139
2023-11-10,0.912,0.912,0.912
2023-11-17,0.9165,0.9165,0.9165
2023-11-24,0.9236,0.9236,0.9236
2023-12-01,0.9119,0.9119,0.9119
2023-12-08,0.886,0.886,0.886
2023-12-15,0.8775,0.8775,0.8775
2023-12-22,0.8603,0.8603,0.8603
2023-12-29,0.8756,0.8756,0.8756
2024-01-05,0.8616,0.8616,0.8616
2024-01-12,0.848,0.848,0.848
2024-01-19,0.8451,0.8451,0.8451
2024-01-26,0.849,0.849,0.849
2024-02-02,0.8045,0.8045,0.8045
2024-02-08,0.8371,0.8371,0.8371
2024-02-23,0.845,0.845,0.845
2024-03-01,0.8471,0.8471,0.8471
2024-03-08,0.8447,0.8447,0.8447
2024-03-15,0.8558,0.8558,0.8558
2024-03-22,0.8548,0.8548,0.8548
2024-03-29,0.8511,0.8511,0.8511
2024-04-03,0.8545,0.8545,0.8545
2024-04-12,0.8418,0.8418,0.8418
2024-04-19,0.85,0.85,0.85
2024-04-26,0.8585,0.8585,0.8585
2024-04-30,0.8651,0.8651,0.8651
2024-05-10,0.8775,0.8775,0.8775
2024-05-17,0.8804,0.8804,0.8804
2024-05-24,0.8658,0.8658,0.8658
2024-05-31,0.8566,0.8566,0.8566
2024-06-07,0.8537,0.8537,0.8537
2024-06-14,0.8395,0.8395,0.8395
2024-06-21,0.8202,0.8202,0.8202
2024-06-28,0.8097,0.8097,0.8097
2024-07-05,0.8057,0.8057,0.8057
2024-07-12,0.8095,0.8095,0.8095
2024-07-19,0.8357,0.8357,0.8357
2024-07-26,0.8022,0.8022,0.8022
2024-08-02,0.7967,0.7967,0.7967
2024-08-09,0.8035,0.8035,0.8035
2024-08-16,0.7996,0.7996,0.7996
2024-08-23,0.7933,0.7933,0.7933
2024-08-30,0.7977,0.7977,0.7977
2024-09-06,0.7858,0.7858,0.7858
2024-09-13,0.7689,0.7689,0.7689
2024-09-20,0.7604,0.7604,0.7604
2024-09-27,0.7998,0.7998,0.7998
2024-09-30,0.8195,0.8195,0.8195
2024-10-11,0.7726,0.7726,0.7726
2024-10-18,0.7522,0.7522,0.7522
2024-10-25,0.7663,0.7663,0.7663
2024-11-01,0.7653,0.7653,0.7653
2024-11-08,0.8183,0.8183,0.8183
2024-11-15,0.7855,0.7855,0.7855
2024-11-22,0.7538,0.7538,0.7538
2024-11-29,0.7622,0.7622,0.7622
2024-12-06,0.7567,0.7567,0.7567
2024-12-13,0.7565,0.7565,0.7565
2024-12-20,0.7484,0.7484,0.7484
2024-12-27,0.7444,0.7444,0.7444
2025-01-03,0.7025,0.7025,0.7025
2025-01-10,0.679,0.679,0.679
2025-01-17,0.6927,0.6927,0.6927
2025-01-24,0.6818,0.6818,0.6818
2025-01-27,0.6841,0.6841,0.6841
2025-02-07,0.6912,0.6912,0.6912
2025-02-14,0.7068,0.7068,0.7068
2025-02-21,0.7015,0.7015,0.7015
2025-02-28,0.7079,0.7079,0.7079
2025-03-07,0.7217,0.7217,0.7217
2025-03-14,0.7584,0.7584,0.7584
2025-03-21,0.726,0.726,0.726
2025-03-28,0.7273,0.7273,0.7273
2025-04-03,0.7262,0.7262,0.7262
