基金代码,基金名称,日期,单位净值,累计净值
XM601B,衍复新擎300增强一号B,2022-12-21,1.0,1.0
XM601B,衍复新擎300增强一号B,2022-12-23,1.0,1.0
XM601B,衍复新擎300增强一号B,2022-12-26,1.0001,1.0001
XM601B,衍复新擎300增强一号B,2022-12-30,0.9999,0.9999
XM601B,衍复新擎300增强一号B,2023-01-06,0.9998,0.9998
XM601B,衍复新擎300增强一号B,2023-01-10,0.9995,0.9995
XM601B,衍复新擎300增强一号B,2023-01-13,1.0108,1.0108
XM601B,衍复新擎300增强一号B,2023-01-20,1.0286,1.0286
XM601B,衍复新擎300增强一号B,2023-01-30,1.0314,1.0314
XM601B,衍复新擎300增强一号B,2023-02-03,1.0278,1.0278
XM601B,衍复新擎300增强一号B,2023-02-10,1.0252,1.0252
XM601B,衍复新擎300增强一号B,2023-02-17,1.0138,1.0138
XM601B,衍复新擎300增强一号B,2023-02-24,1.0221,1.0221
XM601B,衍复新擎300增强一号B,2023-02-27,1.0178,1.0178
XM601B,衍复新擎300增强一号B,2023-03-03,1.0347,1.0347
XM601B,衍复新擎300增强一号B,2023-03-10,1.0003,1.0003
XM601B,衍复新擎300增强一号B,2023-03-17,1.0018,1.0018
XM601B,衍复新擎300增强一号B,2023-03-24,1.0313,1.0313
XM601B,衍复新擎300增强一号B,2023-03-27,1.0266,1.0266
XM601B,衍复新擎300增强一号B,2023-03-31,1.0377,1.0377
XM601B,衍复新擎300增强一号B,2023-04-07,1.0607,1.0607
XM601B,衍复新擎300增强一号B,2023-04-10,1.0496,1.0496
XM601B,衍复新擎300增强一号B,2023-04-14,1.0556,1.0556
XM601B,衍复新擎300增强一号B,2023-04-21,1.0515,1.0515
XM601B,衍复新擎300增强一号B,2023-04-25,1.0414,1.0414
XM601B,衍复新擎300增强一号B,2023-04-28,1.0561,1.0561
XM601B,衍复新擎300增强一号B,2023-05-05,1.0621,1.0621
XM601B,衍复新擎300增强一号B,2023-05-10,1.0566,1.0566
XM601B,衍复新擎300增强一号B,2023-05-12,1.0446,1.0446
