date,nav_unit,nav_accumulated,nav_adjusted
2022-12-23,1.0,1.0,1.0
2022-12-30,0.9999,0.9999,0.9999
2023-01-06,0.9998,0.9998,0.9998
2023-01-13,1.0108,1.0108,1.0108
2023-01-20,1.0286,1.0286,1.0286
2023-02-03,1.0278,1.0278,1.0278
2023-02-10,1.0252,1.0252,1.0252
2023-02-17,1.0138,1.0138,1.0138
2023-02-24,1.0221,1.0221,1.0221
2023-03-03,1.0347,1.0347,1.0347
2023-03-10,1.0003,1.0003,1.0003
2023-03-17,1.0018,1.0018,1.0018
2023-03-24,1.0313,1.0313,1.0313
2023-03-31,1.0377,1.0377,1.0377
2023-04-07,1.0607,1.0607,1.0607
2023-04-14,1.0556,1.0556,1.0556
2023-04-21,1.0515,1.0515,1.0515
2023-04-28,1.0561,1.0561,1.0561
2023-05-05,1.0621,1.0621,1.0621
2023-05-12,1.0446,1.0446,1.0446
2023-05-19,1.047,1.047,1.047
2023-05-26,1.0292,1.0292,1.0292
2023-06-02,1.0414,1.0414,1.0414
2023-06-09,1.0453,1.0453,1.0453
2023-06-16,1.0764,1.0764,1.0764
2023-06-21,1.0552,1.0552,1.0552
2023-06-30,1.0574,1.0574,1.0574
2023-07-07,1.055,1.055,1.055
2023-07-14,1.0791,1.0791,1.0791
2023-07-21,1.066,1.066,1.066
2023-07-28,1.1039,1.1039,1.1039
2023-08-04,1.1098,1.1098,1.1098
2023-08-11,1.0799,1.0799,1.0799
2023-08-18,1.0602,1.0602,1.0602
2023-08-25,1.0426,1.0426,1.0426
2023-09-01,1.0624,1.0624,1.0624
2023-09-08,1.0515,1.0515,1.0515
2023-09-15,1.0465,1.0465,1.0465
2023-09-22,1.056,1.056,1.056
2023-09-28,1.0472,1.0472,1.0472
2023-10-13,1.041,1.041,1.041
2023-10-20,0.9973,0.9973,0.9973
2023-10-27,1.0091,1.0091,1.0091
2023-11-03,1.0132,1.0132,1.0132
2023-11-10,1.0188,1.0188,1.0188
2023-11-17,1.0207,1.0207,1.0207
2023-11-24,1.0162,1.0162,1.0162
2023-12-01,1.0098,1.0098,1.0098
2023-12-08,0.9936,0.9936,0.9936
2023-12-15,0.981,0.981,0.981
2023-12-22,0.9738,0.9738,0.9738
2023-12-29,0.9993,0.9993,0.9993
2024-01-05,0.9786,0.9786,0.9786
2024-01-12,0.9704,0.9704,0.9704
2024-01-19,0.9591,0.9591,0.9591
2024-01-26,0.9768,0.9768,0.9768
2024-02-02,0.9248,0.9248,0.9248
2024-02-08,0.969,0.969,0.969
2024-02-23,1.0197,1.0197,1.0197
2024-03-01,1.0325,1.0325,1.0325
2024-03-08,1.038,1.038,1.038
2024-03-15,1.0438,1.0438,1.0438
2024-03-22,1.0399,1.0399,1.0399
2024-03-29,1.0406,1.0406,1.0406
2024-04-03,1.054,1.054,1.054
2024-04-12,1.0344,1.0344,1.0344
2024-04-19,1.0536,1.0536,1.0536
2024-04-26,1.0603,1.0603,1.0603
2024-04-30,1.0637,1.0637,1.0637
2024-05-10,1.076,1.076,1.076
2024-05-17,1.0801,1.0801,1.0801
2024-05-24,1.0614,1.0614,1.0614
2024-05-31,1.0547,1.0547,1.0547
2024-06-07,1.0522,1.0522,1.0522
2024-06-14,1.0461,1.0461,1.0461
2024-06-21,1.0356,1.0356,1.0356
2024-06-28,1.0362,1.0362,1.0362
2024-07-05,1.0306,1.0306,1.0306
2024-07-12,1.0486,1.0486,1.0486
2024-07-19,1.0594,1.0594,1.0594
2024-07-26,1.027,1.027,1.027
2024-08-02,1.0274,1.0274,1.0274
2024-08-09,1.0111,1.0111,1.0111
2024-08-16,1.0183,1.0183,1.0183
2024-08-23,1.0168,1.0168,1.0168
2024-08-30,1.0097,1.0097,1.0097
2024-09-06,0.9839,0.9839,0.9839
2024-09-13,0.9669,0.9669,0.9669
2024-09-20,0.9804,0.9804,0.9804
2024-09-27,1.1148,1.1148,1.1148
2024-09-30,1.198,1.198,1.198
2024-10-11,1.15,1.15,1.15
2024-10-18,1.1664,1.1664,1.1664
2024-10-25,1.0266,1.1766,1.1766
2024-11-01,1.0152,1.1652,1.1635
2024-11-08,1.0714,1.2214,1.2279
2024-11-15,1.0412,1.1912,1.1933
2024-11-22,1.0172,1.1672,1.1658
2024-11-29,1.0298,1.1798,1.1803
2024-12-06,1.052,1.202,1.2057
2024-12-13,1.0467,1.1967,1.1996
2024-12-20,1.0459,1.1959,1.1987
2024-12-27,1.0588,1.2088,1.2135
2025-01-03,1.0055,1.1555,1.1524
2025-01-10,0.995,1.145,1.1404
2025-01-17,1.0198,1.1698,1.1688
2025-01-24,1.0251,1.1751,1.1749
2025-01-27,1.0202,1.1702,1.1693
2025-02-07,1.0418,1.1918,1.194
2025-02-14,1.0584,1.2084,1.213
2025-02-21,1.0725,1.2225,1.2292
2025-02-28,1.0482,1.1982,1.2014
2025-03-07,1.063,1.213,1.2183
2025-03-14,1.0801,1.2301,1.2379
2025-03-21,1.0595,1.2095,1.2143
2025-03-28,1.0573,1.2073,1.2118
2025-04-07,0.9705,1.1205,1.1123
