date,nav_unit,nav_accumulated,nav_adjusted
2023-06-02,1.0,1.0,1.0
2023-06-09,1.0,1.0,1.0
2023-06-16,1.0,1.0,1.0
2023-06-21,1.0,1.0,1.0
2023-06-30,1.003,1.003,1.003
2023-07-07,0.994,0.994,0.994
2023-07-14,1.004,1.004,1.004
2023-07-21,0.976,0.976,0.976
2023-07-28,0.989,0.989,0.989
2023-08-04,1.008,1.008,1.008
2023-08-11,0.971,0.971,0.971
2023-08-18,0.956,0.956,0.956
2023-08-25,0.928,0.928,0.928
2023-09-01,0.971,0.971,0.971
2023-09-08,0.966,0.966,0.966
2023-09-15,0.959,0.959,0.959
2023-09-22,0.965,0.965,0.965
2023-09-28,0.97,0.97,0.97
2023-10-13,0.966,0.966,0.966
2023-10-20,0.922,0.922,0.922
2023-10-27,0.943,0.943,0.943
2023-11-03,0.948,0.948,0.948
2023-11-10,0.977,0.977,0.977
2023-11-17,1.001,1.001,1.001
2023-11-24,0.993,0.993,0.993
2023-12-01,1.0,1.0,1.0
2023-12-08,0.983,0.983,0.983
2023-12-15,0.977,0.977,0.977
2023-12-22,0.95,0.95,0.95
2023-12-29,0.974,0.974,0.974
2024-01-05,0.949,0.949,0.949
2024-01-12,0.938,0.938,0.938
2024-01-19,0.905,0.905,0.905
2024-01-26,0.91,0.91,0.91
2024-02-02,0.797,0.797,0.797
2024-02-08,0.813,0.813,0.813
2024-02-23,0.929,0.929,0.929
2024-03-01,0.958,0.958,0.958
2024-03-08,0.958,0.958,0.958
2024-03-15,0.995,0.995,0.995
2024-03-22,1.007,1.007,1.007
2024-03-29,0.989,0.989,0.989
2024-04-03,1.001,1.001,1.001
2024-04-12,0.968,0.968,0.968
2024-04-19,0.938,0.938,0.938
2024-04-26,0.977,0.977,0.977
2024-04-30,0.993,0.993,0.993
2024-05-10,1.008,1.008,1.008
2024-05-17,1.014,1.014,1.014
2024-05-24,0.989,0.989,0.989
2024-05-31,0.988,0.988,0.988
2024-06-07,0.951,0.951,0.951
2024-06-14,0.957,0.957,0.957
2024-06-21,0.938,0.938,0.938
2024-06-28,0.927,0.927,0.927
2024-07-05,0.924,0.924,0.924
2024-07-12,0.937,0.937,0.937
2024-07-19,0.93,0.93,0.93
2024-07-26,0.919,0.919,0.919
2024-08-02,0.946,0.946,0.946
2024-08-09,0.934,0.934,0.934
2024-08-16,0.939,0.939,0.939
2024-08-23,0.915,0.915,0.915
2024-08-30,0.932,0.932,0.932
2024-09-06,0.915,0.915,0.915
2024-09-13,0.898,0.898,0.898
2024-09-20,0.913,0.913,0.913
2024-09-27,1.034,1.034,1.034
2024-09-30,1.125,1.125,1.125
2024-10-11,1.072,1.072,1.072
2024-10-18,1.131,1.131,1.131
2024-10-25,1.191,1.191,1.191
2024-11-01,1.208,1.208,1.208
2024-11-08,1.292,1.292,1.292
2024-11-15,1.253,1.253,1.253
2024-11-22,1.256,1.256,1.256
2024-11-29,1.302,1.302,1.302
2024-12-06,1.352,1.352,1.352
2024-12-13,1.368,1.368,1.368
2024-12-20,1.342,1.342,1.342
2024-12-27,1.011,1.316,1.3194
2025-01-03,0.949,1.254,1.2384
2025-01-10,0.952,1.257,1.2424
2025-01-17,0.998,1.303,1.3024
2025-01-24,1.0,1.305,1.305
2025-01-27,0.998,1.303,1.3024
2025-02-07,1.027,1.332,1.3402
2025-02-14,1.045,1.35,1.3637
2025-02-21,1.063,1.368,1.3872
2025-02-28,1.059,1.364,1.382
2025-03-07,1.086,1.391,1.4172
2025-03-14,1.113,1.418,1.4525
2025-03-21,1.104,1.409,1.4407
2025-03-28,1.087,1.392,1.4185
