日期,复权净值
2018-07-30,1.0
2018-07-31,1.0
2018-08-03,1.0
2018-08-10,1.002
2018-08-17,1.0088
2018-08-24,0.9987
2018-08-31,0.9976
2018-09-07,0.9957
2018-09-14,0.9904
2018-09-21,0.9886
2018-09-28,0.9918
2018-10-12,1.0007
2018-10-19,0.9954
2018-10-26,1.0018
2018-10-31,0.9956
2018-11-02,0.989
2018-11-09,0.9897
2018-11-16,0.9942
2018-11-23,1.0002
2018-11-30,1.0001
2018-12-07,0.9995
2018-12-14,1.0015
2018-12-21,0.9995
2018-12-28,1.0015
2019-01-04,0.9966
2019-01-11,0.9901
2019-01-18,0.9978
2019-01-25,1.0022
2019-01-31,1.0109
2019-02-01,1.0203
2019-02-15,1.0126
2019-02-22,1.0176
2019-02-28,1.0188
2019-03-01,1.02
2019-03-08,1.0092
2019-03-15,1.0092
2019-03-22,0.9973
2019-03-29,1.0354
2019-04-04,1.044
2019-04-12,1.0456
2019-04-19,1.0689
2019-04-26,1.0861
2019-04-30,1.0855
2019-05-10,1.0838
2019-05-17,1.1169
2019-05-24,1.1317
2019-05-31,1.1208
2019-06-06,1.12
2019-06-14,1.1531
2019-06-21,1.1653
2019-06-28,1.1678
2019-07-05,1.1568
2019-07-12,1.1863
2019-07-19,1.1644999999999999
2019-07-26,1.1529
2019-07-31,1.1494
2019-08-02,1.1464
2019-08-09,1.139
2019-08-16,1.1385
2019-08-23,1.1434
2019-08-30,1.1475
2019-09-06,1.1471
2019-09-12,1.1453
2019-09-20,1.1323
2019-09-27,1.1252
2019-09-30,1.125
2019-10-11,1.1236
2019-10-18,1.1376
2019-10-25,1.1320000000000001
2019-10-31,1.1292
2019-11-01,1.1319
2019-11-08,1.1334
2019-11-15,1.1400000000000001
2019-11-22,1.1344
2019-11-29,1.1345
2019-12-06,1.1336
2019-12-13,1.1387
2019-12-20,1.1455
2019-12-27,1.1397
2019-12-31,1.1472
2020-01-03,1.1538
2020-01-10,1.1616
2020-01-17,1.1531
2020-01-23,1.1602999999999999
2020-02-07,1.1491
2020-02-14,1.1482999999999999
2020-02-21,1.1549
2020-02-28,1.1631
2020-03-06,1.1646
2020-03-13,1.1876
2020-03-20,1.2354
2020-03-27,1.2389000000000001
2020-03-31,1.2439
2020-04-03,1.2326000000000001
2020-04-10,1.2186
2020-04-17,1.2219
2020-04-24,1.2192
2020-04-30,1.2193
2020-05-08,1.2173
2020-05-15,1.2242
2020-05-22,1.2469999999999999
2020-05-29,1.2503
2020-06-05,1.2779
2020-06-12,1.285
2020-06-19,1.2958
2020-06-24,1.2923
2020-06-30,1.2939
2020-07-03,1.2957
2020-07-10,1.3221
2020-07-17,1.3324
2020-07-24,1.3679000000000001
2020-07-31,1.3784
2020-08-07,1.4089
2020-08-14,1.3862
2020-08-21,1.3863
2020-08-28,1.3723
2020-08-31,1.372
2020-09-04,1.3694
2020-09-11,1.3587
2020-09-18,1.3752
2020-09-25,1.3863
2020-09-30,1.383
2020-10-09,1.3660999999999999
2020-10-16,1.3503
2020-10-23,1.3495
2020-10-30,1.3685
2020-11-06,1.3883
2020-11-13,1.3904
2020-11-20,1.4284000000000001
2020-11-27,1.4425
2020-11-30,1.4582
2020-12-04,1.4658
2020-12-11,1.5333999999999999
2020-12-18,1.5225
2020-12-25,1.4813
2020-12-31,1.4834
2021-01-08,1.4954
2021-01-15,1.4957
2021-01-22,1.4701
2021-01-29,1.4765
2021-02-05,1.4592
2021-02-10,1.4619
2021-02-19,1.4981
2021-02-26,1.5377
2021-03-05,1.5247
2021-03-12,1.5405
2021-03-19,1.5324
2021-03-26,1.5436
2021-03-31,1.5442
2021-04-02,1.5399
2021-04-09,1.5433
2021-04-16,1.5259
2021-04-23,1.5474999999999999
2021-04-30,1.5468
2021-05-07,1.6097000000000001
2021-05-14,1.6175000000000002
2021-05-21,1.5908
2021-05-28,1.5855000000000001
2021-05-31,1.5774
2021-06-04,1.5628
2021-06-11,1.5541
2021-06-18,1.5508
2021-06-25,1.5453999999999999
2021-06-30,1.5270000000000001
2021-07-02,1.5211000000000001
2021-07-09,1.5022
2021-07-16,1.5379999999999998
2021-07-23,1.5338
2021-07-30,1.548
2021-08-06,1.5154999999999998
2021-08-13,1.5332
2021-08-20,1.5326
2021-08-27,1.5448
2021-08-31,1.5497
2021-09-03,1.5447
2021-09-10,1.5752000000000002
2021-09-17,1.5727
2021-09-24,1.5963
2021-09-30,1.6124
2021-10-08,1.6465
2021-10-15,1.6636
2021-10-22,1.6324
2021-10-29,1.6129
2021-11-05,1.6189
2021-11-12,1.6153
2021-11-19,1.6259000000000001
2021-11-26,1.6206
2021-11-30,1.6219000000000001
2021-12-03,1.6320000000000001
2021-12-10,1.6303
2021-12-17,1.6221
2021-12-24,1.6259000000000001
2021-12-31,1.6177000000000001
2022-01-07,1.6468
2022-01-14,1.6827999999999999
2022-01-21,1.7374
2022-01-28,1.7492
2022-02-11,1.7868
2022-02-18,1.7686
2022-02-25,1.7812999999999999
2022-02-28,1.7706
2022-03-04,1.7955999999999999
2022-03-11,1.8305
2022-03-18,1.8003
