日期,复权净值
2019-06-03,1.0
2019-06-06,0.9999
2019-06-14,0.9997
2019-06-21,0.9996
2019-06-28,0.9996
2019-07-05,0.9995
2019-07-12,0.9994
2019-07-19,0.9993
2019-07-26,0.9992
2019-07-31,0.9991
2019-08-02,0.9991
2019-08-09,0.999
2019-08-16,0.9885
2019-08-23,0.9908
2019-08-30,0.9462
2019-09-06,0.943
2019-09-12,0.9523
2019-09-20,0.9549
2019-09-27,0.9542
2019-09-30,0.9589
2019-10-11,0.9613
2019-10-18,0.9611
2019-10-25,0.9859
2019-10-31,0.977
2019-11-01,0.9644
2019-11-08,0.9601999999999999
2019-11-15,0.9474
2019-11-22,0.9361
2019-11-29,0.95
2019-12-06,0.9498
2019-12-13,0.9495
2019-12-20,0.9493
2019-12-27,0.9414
2019-12-31,0.9413
2020-01-03,0.9412
2020-01-10,0.9601
2020-01-17,0.9691
2020-01-23,0.9606
2020-02-07,0.974
2020-02-14,1.002
2020-02-21,1.0608
2020-02-28,1.1105
2020-03-06,1.1248
2020-03-13,1.2570000000000001
2020-03-20,1.3503
2020-03-27,1.3709
2020-03-31,1.4249
2020-04-03,1.3885
2020-04-10,1.4144
2020-04-17,1.399
2020-04-24,1.3704
2020-04-30,1.3685
2020-05-08,1.4217
2020-05-15,1.4207
2020-05-22,1.4716
2020-05-29,1.4790999999999999
2020-06-05,1.5635
2020-06-12,1.5434
2020-06-19,1.5350000000000001
2020-06-24,1.5352999999999999
2020-06-30,1.5053
2020-07-03,1.549
2020-07-10,1.7258
2020-07-17,1.7866
2020-07-24,1.7835
2020-07-31,1.7651
2020-08-07,1.8473000000000002
2020-08-14,1.7673999999999999
2020-08-21,1.7734999999999999
2020-08-28,1.7373
2020-08-31,1.7273
2020-09-04,1.6981000000000002
2020-09-11,1.7131
2020-09-18,1.6658
2020-09-25,1.6309
2020-09-30,1.612
2020-10-09,1.5573000000000001
2020-10-16,1.607
2020-10-23,1.6313
2020-10-30,1.6007
2020-11-06,1.6149
2020-11-13,1.6138
2020-11-20,1.6379000000000001
2020-11-27,1.6533
2020-11-30,1.6598000000000002
2020-12-04,1.6543
2020-12-11,1.7277
2020-12-18,1.7026
2020-12-25,1.6703000000000001
2020-12-31,1.7083
2021-01-08,1.7612
2021-01-15,1.7456
2021-01-22,1.7515999999999998
2021-01-29,1.7948
2021-02-05,1.7711000000000001
2021-02-10,1.7919
2021-02-19,1.8425
2021-02-26,1.9514
2021-03-05,1.9006
2021-03-12,1.9674
2021-03-19,1.9215
2021-03-26,1.9485
2021-03-31,1.9165999999999999
2021-04-02,1.9031
2021-04-09,1.8817
2021-04-16,1.8356
2021-04-23,1.8487
2021-04-30,1.8611
2021-05-07,1.936
2021-05-14,1.8832
2021-05-21,1.8702
2021-05-28,1.8359999999999999
2021-05-31,1.8272
2021-06-04,1.7774999999999999
2021-06-11,1.7573
2021-06-18,1.7943000000000002
2021-06-25,1.7887
2021-06-30,1.7543000000000002
2021-07-02,1.7501000000000002
2021-07-09,1.7393999999999998
2021-07-16,1.7701
2021-07-23,1.7754
2021-07-30,1.8477999999999999
2021-08-06,1.7603
2021-08-13,1.7998
2021-08-20,1.7858
2021-08-27,1.7425000000000002
2021-08-31,1.7337
2021-09-03,1.7101000000000002
2021-09-10,1.8119
2021-09-17,1.8006
2021-09-24,1.8639000000000001
2021-09-30,2.0012
2021-10-08,2.0742000000000003
2021-10-15,2.1464
2021-10-22,2.0704000000000002
2021-10-29,2.1269
2021-11-05,2.19
2021-11-12,2.1611000000000002
2021-11-19,2.152
2021-11-26,2.133
2021-11-30,2.1422
2021-12-03,2.1469
2021-12-10,2.127
2021-12-17,2.1188000000000002
2021-12-24,2.1271
2021-12-31,2.0891
2022-01-07,2.0924
2022-01-14,2.128
2022-01-21,2.1528
2022-01-28,2.1585
2022-02-11,2.1285
2022-02-18,2.1159
2022-02-25,2.0868
