日期,复权净值
2019-09-19,1.0
2019-09-20,1.0
2019-09-27,1.0
2019-09-30,1.0
2019-10-11,0.995
2019-10-18,0.999
2019-10-25,0.988
2019-10-31,0.966
2019-11-01,0.962
2019-11-08,0.963
2019-11-15,0.952
2019-11-22,0.968
2019-11-29,0.969
2019-12-06,0.971
2019-12-13,0.965
2019-12-20,0.966
2019-12-27,0.962
2019-12-31,0.98
2020-01-03,0.983
2020-01-10,0.951
2020-01-17,0.946
2020-01-23,0.942
2020-02-07,0.9359999999999999
2020-02-14,0.947
2020-02-21,0.951
2020-02-28,0.9359999999999999
2020-03-06,0.965
2020-03-13,0.97
2020-03-20,0.981
2020-03-27,1.044
2020-03-31,1.056
2020-04-03,1.248
2020-04-10,1.225
2020-04-17,1.294
2020-04-24,1.296
2020-04-30,1.2730000000000001
2020-05-08,1.359
2020-05-15,1.345
2020-05-22,1.349
2020-05-29,1.53
2020-06-05,1.674
2020-06-12,1.613
2020-06-19,1.696
2020-06-24,1.657
2020-06-30,1.639
2020-07-03,1.646
2020-07-10,1.87
2020-07-17,1.998
2020-07-24,1.999
2020-07-31,1.906
2020-08-07,1.8940000000000001
2020-08-14,1.98
2020-08-21,1.955
2020-08-28,1.991
2020-08-31,1.9940000000000002
2020-09-04,1.9940000000000002
2020-09-11,2.016
2020-09-18,2.064
2020-09-25,2.0789999999999997
2020-09-30,2.045
2020-10-09,2.168
2020-10-16,2.315
2020-10-23,2.4299999999999997
2020-10-30,2.2830000000000004
2020-11-06,2.173
2020-11-13,2.176
2020-11-20,2.157
2020-11-27,2.177
2020-11-30,2.207
2020-12-04,2.161
2020-12-11,2.215
2020-12-18,2.261
2020-12-25,2.348
2020-12-31,2.38
2021-01-08,2.324
2021-01-15,2.347
2021-01-22,2.367
2021-01-29,2.3680000000000003
2021-02-05,2.4059999999999997
2021-02-10,2.367
2021-02-19,2.399
2021-02-26,2.475
2021-03-05,2.444
2021-03-12,2.4240000000000004
2021-03-19,2.411
2021-03-26,2.38
2021-03-31,2.31
2021-04-02,2.306
2021-04-09,2.295
2021-04-16,2.289
2021-04-23,2.275
2021-04-30,2.237
2021-05-07,2.176
2021-05-14,2.05
2021-05-21,2.21
2021-05-28,2.257
2021-05-31,2.2279999999999998
2021-06-04,2.1740000000000004
2021-06-11,2.1189999999999998
2021-06-18,2.101
2021-06-25,2.152
2021-06-30,2.1799999999999997
2021-07-02,2.206
2021-07-09,2.197
2021-07-16,2.1420000000000003
2021-07-23,2.184
2021-07-30,2.2
2021-08-06,2.234
2021-08-13,2.262
2021-08-20,2.109
2021-08-27,2.0780000000000003
2021-08-31,2.0300000000000002
2021-09-03,1.818
2021-09-10,1.667
2021-09-17,1.6720000000000002
2021-09-24,1.6360000000000001
2021-09-30,1.7120000000000002
2021-10-08,1.666
2021-10-15,1.701
2021-10-22,1.918
2021-10-29,1.999
2021-11-05,1.979
2021-11-12,2.068
2021-11-19,2.1
2021-11-26,2.118
2021-11-30,2.077
2021-12-03,2.045
2021-12-10,2.0490000000000004
2021-12-17,2.035
2021-12-24,2.025
2021-12-31,2.08
2022-01-07,2.051
2022-01-14,2.065
2022-01-21,2.067
2022-01-28,2.069
2022-02-11,2.058
2022-02-18,2.105
2022-02-25,2.158
2022-02-28,2.132
2022-03-04,1.999
2022-03-11,1.9420000000000002
2022-03-18,1.969
2022-03-25,1.988
2022-03-31,1.97
2022-04-01,1.975
2022-04-08,1.999
2022-04-15,1.9849999999999999
2022-04-22,1.989
2022-04-29,2.0759999999999996
2022-05-06,2.101
2022-05-13,2.177
2022-05-20,2.238
2022-05-27,2.282
2022-05-31,2.261
2022-06-02,2.229
2022-06-10,2.217
2022-06-17,2.291
2022-06-24,2.31
2022-06-30,2.3419999999999996
2022-07-01,2.3449999999999998
2022-07-08,2.319
2022-07-15,2.234
2022-07-22,2.301
2022-07-29,2.379
2022-08-05,2.34
2022-08-12,2.352
2022-08-19,2.411
2022-08-26,2.4299999999999997
2022-08-31,2.461
2022-09-02,2.425
2022-09-09,2.4219999999999997
2022-09-16,2.441
2022-09-23,2.44
2022-09-30,2.372
2022-10-14,2.471
2022-10-21,2.471
2022-10-28,2.4050000000000002
2022-10-31,2.379
2022-11-04,2.457
2022-11-11,2.49
2022-11-18,2.423
2022-11-25,2.42
2022-11-30,2.394
2022-12-02,2.456
2022-12-09,2.4299999999999997
2022-12-16,2.4480000000000004
2022-12-23,2.5
2022-12-30,2.487
2023-01-06,2.5309999999999997
2023-01-13,2.536
2023-01-20,2.5759999999999996
2023-01-31,2.606
2023-02-03,2.638
2023-02-10,2.625
2023-02-17,2.6310000000000002
2023-02-24,2.627
2023-02-28,2.6319999999999997
2023-03-03,2.6399999999999997
2023-03-10,2.624
2023-03-17,2.605
2023-03-24,2.687
2023-03-31,2.707
2023-04-07,2.774
2023-04-14,2.785
2023-04-21,2.833
2023-04-28,2.8689999999999998
2023-05-05,2.8899999999999997
2023-05-12,2.871
2023-05-19,2.87
2023-05-26,2.836
2023-05-31,2.843
2023-06-02,2.8449999999999998
2023-06-09,2.8840000000000003
2023-06-16,2.8840000000000003
2023-06-21,2.899
2023-06-30,2.915
2023-07-07,2.9539999999999997
2023-07-14,2.974
2023-07-21,3.004
2023-07-28,3.02
2023-07-31,3.0380000000000003
2023-08-04,3.059
2023-08-11,3.068
2023-08-18,3.104
2023-08-25,3.134
2023-08-31,3.129
2023-09-01,3.109
2023-09-08,3.04
2023-09-15,3.026
2023-09-22,2.957
2023-09-28,2.977
2023-10-13,2.972
2023-10-20,2.928
2023-10-27,2.894
2023-10-31,2.894
2023-11-03,2.9450000000000003
2023-11-10,2.919
2023-11-17,2.9450000000000003
2023-11-24,2.879
2023-11-30,2.9290000000000003
2023-12-01,2.9059999999999997
2023-12-08,2.849
2023-12-15,2.976
2023-12-22,3.019
2023-12-29,3.081
2024-01-05,3.057
2024-01-12,3.125
2024-01-19,3.149
2024-01-26,3.184
2024-01-31,3.24
2024-02-02,3.222
2024-02-08,3.211
2024-02-23,3.3409999999999997
2024-02-29,3.423
2024-03-01,3.39
2024-03-08,3.491
2024-03-15,3.519
2024-03-22,3.526
2024-03-29,3.549
2024-04-03,3.5639999999999996
2024-04-12,3.508
2024-04-19,3.487
2024-04-26,3.443
2024-04-30,3.434
2024-05-10,3.474
2024-05-17,3.536
2024-05-24,3.5269999999999997
2024-05-31,3.565
2024-06-07,3.597
2024-06-14,3.614
2024-06-21,3.6039999999999996
2024-06-28,3.657
2024-07-05,3.628
2024-07-12,3.642
2024-07-19,3.659
2024-07-26,3.713
2024-07-31,3.718
2024-08-02,3.758
2024-08-09,3.72
2024-08-16,3.7030000000000003
2024-08-23,3.736
2024-08-30,3.762
2024-09-06,3.783
2024-09-13,3.805
2024-09-20,3.872
2024-09-27,3.887
2024-09-30,3.9419999999999997
2024-10-11,3.9339999999999997
2024-10-18,3.923
2024-10-25,3.937
2024-10-31,3.931
2024-11-01,3.9760000000000004
2024-11-08,4.066000000000001
2024-11-15,3.985
2024-11-22,3.9389999999999996
2024-11-29,4.0
2024-12-06,4.006
2024-12-13,4.026
2024-12-20,3.945
2024-12-27,3.9930000000000003
2024-12-31,3.998
2025-01-03,3.9789999999999996
2025-01-10,3.918
2025-01-17,4.002
2025-01-24,3.998
2025-01-27,4.031000000000001
2025-02-07,4.1
2025-02-14,4.126
2025-02-21,4.136
2025-02-28,4.122
2025-03-07,4.081
2025-03-14,4.088
2025-03-21,4.055
2025-03-28,4.082
2025-03-31,4.061999999999999
2025-04-03,4.136
2025-04-11,3.9019999999999997
2025-04-18,3.903
2025-04-25,3.977
2025-04-30,3.9219999999999997
2025-05-09,3.883
2025-05-16,3.9010000000000002
2025-05-23,3.872
2025-05-30,3.802
2025-06-06,3.85
2025-06-13,3.9560000000000004
2025-06-20,4.071
2025-06-27,4.055
2025-06-30,4.0649999999999995
2025-07-04,4.101000000000001
2025-07-11,4.077
2025-07-18,4.1579999999999995
2025-07-25,4.216
2025-07-31,4.138
2025-08-01,4.111000000000001
2025-08-08,4.15
2025-08-15,4.148
2025-08-22,4.044
2025-08-29,4.036
2025-09-05,4.063000000000001
