date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2018-08-03,1.0,1.0,1.0,1.0,1.0
2018-08-10,1.002,1.002,1.002,1.0146,0.9874
2018-08-17,1.0088,1.0088,1.0088,1.0135,0.9953
2018-08-24,0.9987,0.9987,0.9987,1.0192,0.9795
2018-08-31,0.9976,0.9976,0.9976,1.0075,0.9901
2018-09-07,0.9957,0.9957,0.9957,1.0017,0.994
2018-09-14,0.9904,0.9904,0.9904,1.0032,0.9872
2018-09-21,0.9886,0.9886,0.9886,1.0155,0.9731
2018-09-28,0.9918,0.9918,0.9918,1.0126,0.9792
2018-10-12,1.0007,1.0007,1.0007,1.0455,0.9552
2018-10-19,0.9954,0.9954,0.9954,1.0266,0.9688
2018-10-26,1.0018,1.0018,1.0018,1.0292,0.9726
2018-11-02,0.989,0.989,0.989,0.9981,0.9909
2018-11-09,0.9897,0.9897,0.9897,0.9866,1.0031
2018-11-16,0.9942,0.9942,0.9942,0.9817,1.0125
2018-11-23,1.0002,1.0002,1.0002,0.9372,1.063
2018-11-30,1.0001,1.0001,1.0001,0.9307,1.0694
2018-12-07,0.9995,0.9995,0.9995,0.9558,1.0437
2018-12-14,1.0015,1.0015,1.0015,0.957,1.0445
2018-12-21,0.9995,0.9995,0.9995,0.9499,1.0496
2018-12-28,1.0015,1.0015,1.0015,0.9362,1.0653
2019-01-04,0.9966,0.9966,0.9966,0.9548,1.0418
2019-01-11,0.9901,0.9901,0.9901,0.965,1.0251
2019-01-18,0.9978,0.9978,0.9978,0.9811,1.0167
2019-01-25,1.0022,1.0022,1.0022,0.9836,1.0186
2019-02-01,1.0203,1.0203,1.0203,1.009,1.0113
2019-02-15,1.0126,1.0126,1.0126,1.001,1.0116
2019-02-22,1.0176,1.0176,1.0176,1.0259,0.9917
2019-03-01,1.02,1.02,1.02,1.0321,0.9879
2019-03-08,1.0092,1.0092,1.0092,1.0073,1.0019
2019-03-15,1.0092,1.0092,1.0092,1.0081,1.0011
2019-03-22,0.9973,0.9973,0.9973,1.0082,0.9891
2019-03-29,1.0354,1.0354,1.0354,0.9997,1.0357
2019-04-04,1.044,1.044,1.044,1.0251,1.0189
2019-04-12,1.0456,1.0456,1.0456,1.0374,1.0082
2019-04-19,1.0689,1.0689,1.0689,1.0241,1.0448
2019-04-26,1.0861,1.0861,1.0861,1.0203,1.0658
2019-04-30,1.0855,1.0855,1.0855,1.028,1.0575
2019-05-10,1.0838,1.0838,1.0838,1.0282,1.0556
2019-05-17,1.1169,1.1169,1.1169,1.042,1.0749
2019-05-24,1.1317,1.1317,1.1317,1.0402,1.0915
2019-05-31,1.1208,1.1208,1.1208,1.0275,1.0933
2019-06-06,1.12,1.12,1.12,1.0097,1.1103
2019-06-14,1.1531,1.1531,1.1531,1.0258,1.1273
2019-06-21,1.1653,1.1653,1.1653,1.0378,1.1275
2019-06-28,1.1678,1.1678,1.1678,1.0495,1.1183
2019-07-05,1.1568,1.1568,1.1568,1.0463,1.1105
2019-07-12,1.1863,1.1863,1.1863,1.0539,1.1324
2019-07-19,1.1645,1.1645,1.1645,1.0696,1.0949
2019-07-26,1.1529,1.1529,1.1529,1.0534,1.0995
2019-08-02,1.1464,1.1464,1.1464,1.0394,1.107
2019-08-09,1.139,1.139,1.139,1.0249,1.1141
2019-08-16,1.1385,1.1385,1.1385,1.027,1.1115
2019-08-23,1.1434,1.1434,1.1434,1.0265,1.1169
2019-08-30,1.1475,1.1475,1.1475,1.0323,1.1152
2019-09-06,1.1471,1.1471,1.1471,1.0407,1.1064
2019-09-12,1.1453,1.1453,1.1453,1.0593,1.086
2019-09-20,1.1323,1.1323,1.1323,1.0453,1.087
2019-09-27,1.1252,1.1252,1.1252,1.0354,1.0898
2019-09-30,1.125,1.125,1.125,1.0388,1.0862
2019-10-11,1.1236,1.1236,1.1236,1.0407,1.0829
2019-10-18,1.1376,1.1376,1.1376,1.0246,1.113
2019-10-25,1.132,1.132,1.132,1.0374,1.0946
2019-11-01,1.1319,1.1319,1.1319,1.0332,1.0987
2019-11-08,1.1334,1.1334,1.1334,1.0276,1.1058
2019-11-15,1.14,1.14,1.14,1.0284,1.1116
2019-11-22,1.1344,1.1344,1.1344,1.0425,1.0919
2019-11-29,1.1345,1.1345,1.1345,1.0409,1.0936
2019-12-06,1.1336,1.1336,1.1336,1.0514,1.0822
2019-12-13,1.1387,1.1387,1.1387,1.0697,1.069
2019-12-20,1.1455,1.1455,1.1455,1.0717,1.0738
2019-12-27,1.1397,1.1397,1.1397,1.081,1.0587
2020-01-03,1.1538,1.1538,1.1538,1.0822,1.0716
2020-01-10,1.1616,1.1616,1.1616,1.0811,1.0805
2020-01-17,1.1531,1.1531,1.1531,1.0763,1.0768
2020-01-23,1.1603,1.1603,1.1603,1.0503,1.11
2020-02-07,1.1491,1.1491,1.1491,1.0022,1.1469
2020-02-14,1.1483,1.1483,1.1483,1.0126,1.1357
2020-02-21,1.1549,1.1549,1.1549,1.0335,1.1214
2020-02-28,1.1631,1.1631,1.1631,0.9702,1.1929
2020-03-06,1.1646,1.1646,1.1646,0.9908,1.1738
2020-03-13,1.1876,1.1876,1.1876,0.9508,1.2368
2020-03-20,1.2354,1.2354,1.2354,0.9083,1.3271
2020-03-27,1.2389,1.2389,1.2389,0.909,1.3299
2020-04-03,1.2326,1.2326,1.2326,0.9096,1.323
2020-04-10,1.2186,1.2186,1.2186,0.9487,1.2699
2020-04-17,1.2219,1.2219,1.2219,0.9334,1.2885
2020-04-24,1.2192,1.2192,1.2192,0.9249,1.2943
2020-04-30,1.2193,1.2193,1.2193,0.9321,1.2872
2020-05-08,1.2173,1.2173,1.2173,0.9538,1.2635
2020-05-15,1.2242,1.2242,1.2242,0.9574,1.2668
2020-05-22,1.247,1.247,1.247,0.9704,1.2766
2020-05-29,1.2503,1.2503,1.2503,0.9888,1.2615
2020-06-05,1.2779,1.2779,1.2779,1.01,1.2679
2020-06-12,1.285,1.285,1.285,1.0007,1.2843
2020-06-19,1.2958,1.2958,1.2958,1.0189,1.2769
