date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2023-09-15,1.0,1.0,1.0,1.0,1.0
2023-09-22,1.0,1.0,1.0,0.9876,1.0124
2023-10-13,1.0,1.0,1.0,0.955,1.045
2023-10-20,1.0,1.0,1.0,0.9614,1.0386
2023-10-27,1.0,1.0,1.0,0.9691,1.0309
2023-11-03,1.0,1.0,1.0,0.9771,1.0229
2023-11-10,1.0,1.0,1.0,0.9732,1.0268
2023-11-17,1.0,1.0,1.0,0.9684,1.0316
2023-11-24,1.0,1.0,1.0,0.9709,1.0291
2023-12-01,1.0,1.0,1.0,0.9668,1.0332
2023-12-08,1.0,1.0,1.0,0.9701,1.0299
2023-12-15,1.01,1.01,1.01,0.9576,1.0524
2023-12-22,1.01,1.01,1.01,0.9763,1.0337
2023-12-29,1.01,1.01,1.01,0.963,1.047
2024-01-05,1.02,1.02,1.02,0.9592,1.0608
2024-01-12,1.01,1.01,1.01,0.954,1.056
2024-01-19,1.0,1.0,1.0,0.9581,1.0419
2024-01-26,1.01,1.01,1.01,0.9742,1.0358
2024-02-02,1.01,1.01,1.01,0.9457,1.0643
2024-02-23,1.0,1.0,1.0,0.959,1.041
2024-03-01,1.01,1.01,1.01,0.9607,1.0493
2024-03-08,1.0,1.0,1.0,0.9759,1.0241
2024-03-15,1.0,1.0,1.0,0.9711,1.0289
2024-03-22,0.99,0.99,0.99,0.9795,1.0105
2024-03-29,0.99,0.99,0.99,0.9653,1.0247
2024-04-12,0.99,0.99,0.99,1.016,0.974
2024-04-19,0.99,0.99,0.99,1.0202,0.9698
2024-04-26,1.0,1.0,1.0,1.0279,0.9721
2024-05-10,1.05,1.05,1.05,1.0174,1.0326
2024-05-17,1.05,1.05,1.05,1.0379,1.0121
2024-05-24,1.05,1.05,1.05,1.0439,1.0061
2024-05-31,1.05,1.05,1.05,1.0387,1.0113
2024-06-07,1.05,1.05,1.05,1.0209,1.0291
2024-06-14,1.04,1.04,1.04,1.0104,1.0296
2024-06-21,1.04,1.04,1.04,1.0052,1.0348
2024-06-28,1.04,1.04,1.04,1.0086,1.0314
2024-07-05,1.05,1.05,1.05,1.0208,1.0292
2024-07-12,1.04,1.04,1.04,1.0029,1.0371
2024-07-19,1.04,1.04,1.04,0.9872,1.0528
2024-07-26,1.03,1.03,1.03,0.9639,1.0661
2024-08-02,1.03,1.03,1.03,0.9621,1.0679
2024-08-09,1.04,1.04,1.04,0.9351,1.1049
2024-08-16,1.05,1.05,1.05,0.9191,1.1309
2024-08-23,1.05,1.05,1.05,0.9204,1.1296
2024-08-30,1.06,1.06,1.06,0.9419,1.1181
2024-09-06,1.04,1.04,1.04,0.8967,1.1433
2024-09-13,1.04,1.04,1.04,0.9016,1.1384
2024-09-20,1.04,1.04,1.04,0.9137,1.1263
2024-09-27,1.05,1.05,1.05,0.9528,1.0972
2024-10-11,1.06,1.06,1.06,0.9788,1.0812
2024-10-18,1.09,1.09,1.09,0.9612,1.1288
2024-10-25,1.12,1.12,1.12,0.9706,1.1494
2024-11-01,1.14,1.14,1.14,0.9714,1.1686
2024-11-08,1.19,1.19,1.19,0.9803,1.2097
2024-11-15,1.16,1.16,1.16,0.9441,1.2159
2024-11-22,1.16,1.16,1.16,0.9561,1.2039
2024-11-29,1.16,1.16,1.16,0.9608,1.1992
2024-12-06,1.18,1.18,1.18,0.9529,1.2271
2024-12-13,1.18,1.18,1.18,0.9625,1.2175
2024-12-20,1.18,1.18,1.18,0.9405,1.2395
2024-12-27,1.19,1.19,1.19,0.9429,1.2471
2025-01-03,1.2,1.2,1.2,0.9467,1.2533
2025-01-10,1.2,1.2,1.2,0.9494,1.2506
2025-01-17,1.2,1.2,1.2,0.9881,1.2119
2025-01-24,1.21,1.21,1.21,0.9753,1.2347
2025-02-07,1.22,1.22,1.22,0.9904,1.2296
2025-02-14,1.22,1.22,1.22,0.9818,1.2382
2025-02-21,1.21,1.21,1.21,0.9891,1.2209
2025-02-28,1.21,1.21,1.21,0.9723,1.2377
2025-03-07,1.2,1.2,1.2,0.9572,1.2428
2025-03-14,1.21,1.21,1.21,0.9701,1.2399
2025-03-21,1.0,1.2,1.2,0.9604,1.2396
2025-03-28,0.99,1.19,1.188,0.9723,1.2157
2025-04-03,0.99,1.19,1.188,0.9679,1.2201
2025-04-11,0.98,1.19,1.188,0.9185,1.2695
2025-04-18,0.97,1.18,1.1759,0.9222,1.2536
2025-04-25,0.9718,1.1789,1.1745,0.9342,1.2403
2025-04-30,0.9699,1.177,1.1722,0.9169,1.2553
2025-05-09,0.9701,1.1772,1.1725,0.9092,1.2633
2025-05-16,0.9675,1.1746,1.1693,0.9141,1.2552
2025-05-23,0.9636,1.1707,1.1646,0.9096,1.255
2025-05-30,0.9654,1.1725,1.1668,0.8949,1.2719
2025-06-06,0.9669,1.174,1.1686,0.9112,1.2575
2025-06-13,0.9692,1.1763,1.1714,0.9306,1.2408
2025-06-20,0.9669,1.174,1.1686,0.952,1.2167
2025-06-27,0.967,1.1741,1.1687,0.9329,1.2358
2025-07-04,0.9784,1.1741,1.1687,0.9403,1.2284
2025-07-11,0.9767,1.1838,1.1803,0.9498,1.2305
