date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2017-03-03,1.0,1.0,1.0,1.0,1.0
2017-03-10,1.0,1.0,1.0,0.9567,1.0433
2017-03-17,1.001,1.001,1.001,0.9837,1.0173
2017-03-24,1.002,1.002,1.002,0.9582,1.0438
2017-03-31,1.002,1.002,1.002,0.9475,1.0545
2017-04-07,0.999,0.999,0.999,0.9407,1.0583
2017-04-14,0.99,0.99,0.99,0.9149,1.0751
2017-04-21,0.989,0.989,0.989,0.9143,1.0747
2017-04-28,0.989,0.989,0.989,0.9203,1.0687
2017-05-05,0.991,0.991,0.991,0.8805,1.1105
2017-05-12,0.997,0.997,0.997,0.8823,1.1147
2017-05-19,1.002,1.002,1.002,0.9121,1.0899
2017-05-26,0.995,0.995,0.995,0.9011,1.0939
2017-06-02,0.99,0.99,0.99,0.8644,1.1256
2017-06-09,0.996,0.996,0.996,0.8711,1.1249
2017-06-16,0.997,0.997,0.997,0.8808,1.1162
2017-06-23,0.996,0.996,0.996,0.8891,1.1069
2017-06-30,1.008,1.008,1.008,0.9202,1.0878
2017-07-07,1.006,1.006,1.006,0.9267,1.0793
2017-07-14,1.002,1.002,1.002,0.9397,1.0623
2017-07-21,0.996,0.996,0.996,0.9672,1.0288
2017-07-28,1.006,1.006,1.006,0.9628,1.0432
2017-08-04,1.017,1.017,1.017,0.9874,1.0296
2017-08-11,1.023,1.023,1.023,0.9973,1.0257
2017-08-18,1.015,1.015,1.015,1.0247,0.9903
2017-08-25,1.014,1.014,1.014,1.0471,0.9669
2017-09-01,1.012,1.012,1.012,1.0473,0.9647
2017-09-08,1.015,1.015,1.015,1.0291,0.9859
2017-09-15,1.017,1.017,1.017,1.0031,1.0139
2017-09-22,1.039,1.039,1.039,0.9651,1.0739
2017-09-29,1.042,1.042,1.042,0.9584,1.0836
2017-10-13,1.054,1.054,1.054,0.9767,1.0773
2017-10-20,1.05,1.05,1.05,0.9784,1.0716
2017-10-27,1.04,1.04,1.04,0.9512,1.0888
2017-11-03,1.031,1.031,1.031,0.9645,1.0665
2017-11-10,1.041,1.041,1.041,0.9831,1.0579
2017-11-17,1.059,1.059,1.059,0.9742,1.0848
2017-11-24,1.077,1.077,1.077,1.0083,1.0687
2017-12-01,1.089,1.089,1.089,1.0107,1.0783
2017-12-08,1.109,1.109,1.109,0.9889,1.1201
2017-12-15,1.109,1.109,1.109,0.9875,1.1215
2017-12-22,1.121,1.121,1.121,1.0079,1.1131
2017-12-29,1.097,1.097,1.097,1.0006,1.0964
2018-01-05,1.095,1.095,1.095,1.0107,1.0843
2018-01-12,1.1,1.1,1.1,1.0102,1.0898
2018-01-19,1.102,1.102,1.102,1.0027,1.0993
2018-01-26,1.118,1.118,1.118,1.0071,1.1109
2018-02-02,1.151,1.151,1.151,0.9982,1.1528
2018-02-09,1.167,1.167,1.167,0.9869,1.1801
2018-02-14,1.166,1.166,1.166,1.0014,1.1646
2018-02-23,1.166,1.166,1.166,1.0168,1.1492
2018-03-02,1.173,1.173,1.173,1.02,1.153
2018-03-09,1.188,1.188,1.188,0.9764,1.2116
2018-03-16,1.189,1.189,1.189,0.9759,1.2131
2018-03-23,1.204,1.204,1.204,0.9348,1.2692
