date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2023-01-06,1.0001,1.0001,1.0001,1.0,1.0001
2023-01-13,1.0004,1.0004,1.0004,1.0219,0.9785
2023-01-20,1.0006,1.0006,1.0006,1.0453,0.9553
2023-02-03,1.0009,1.0009,1.0009,1.0216,0.9793
2023-02-10,0.9967,0.9967,0.9967,1.0145,0.9822
2023-02-17,0.9923,0.9923,0.9923,1.0232,0.9691
2023-02-24,0.9918,0.9918,0.9918,1.0352,0.9566
2023-03-03,0.9895,0.9895,0.9895,1.0395,0.95
2023-03-10,0.9916,0.9916,0.9916,1.0189,0.9727
2023-03-17,0.9874,0.9874,0.9874,0.9967,0.9907
2023-03-24,0.9778,0.9778,0.9778,0.9942,0.9836
2023-03-31,0.989,0.989,0.989,1.0078,0.9812
2023-04-07,0.9844,0.9844,0.9844,1.0147,0.9697
2023-04-14,0.98,0.98,0.98,1.0093,0.9707
2023-04-21,0.9695,0.9695,0.9695,0.9883,0.9812
2023-04-28,0.9598,0.9598,0.9598,0.9664,0.9934
2023-05-05,0.9521,0.9521,0.9521,0.956,0.9961
2023-05-12,0.9399,0.9399,0.9399,0.9376,1.0023
2023-05-19,0.9476,0.9476,0.9476,0.9525,0.9951
2023-05-26,0.9546,0.9546,0.9546,0.9305,1.0241
2023-06-02,0.9491,0.9491,0.9491,0.9447,1.0044
2023-06-09,0.9475,0.9475,0.9475,0.9645,0.983
2023-06-16,0.9511,0.9511,0.9511,0.9894,0.9617
2023-06-21,0.9556,0.9556,0.9556,0.9848,0.9708
2023-06-30,0.9696,0.9696,0.9696,0.9866,0.983
2023-07-07,0.985,0.985,0.985,0.9971,0.9879
2023-07-14,1.0052,1.0052,1.0052,1.0306,0.9746
2023-07-21,1.0067,1.0067,1.0067,1.0397,0.967
2023-07-28,1.0125,1.0125,1.0125,1.051,0.9615
2023-08-04,1.0145,1.0145,1.0145,1.0442,0.9703
2023-08-11,1.0278,1.0278,1.0278,1.045,0.9828
2023-08-18,1.0398,1.0398,1.0398,1.0557,0.9841
2023-08-25,1.0472,1.0472,1.0472,1.0851,0.9621
2023-09-01,1.0404,1.0404,1.0404,1.1112,0.9292
2023-09-08,1.0524,1.0524,1.0524,1.0975,0.9549
2023-09-15,1.0522,1.0522,1.0522,1.1275,0.9247
2023-09-22,1.0488,1.0488,1.0488,1.1135,0.9353
2023-09-28,1.0485,1.0485,1.0485,1.1097,0.9388
2023-10-13,1.0708,1.0708,1.0708,1.0767,0.9941
2023-10-20,1.0726,1.0726,1.0726,1.084,0.9886
2023-10-27,1.0996,1.0996,1.0996,1.0927,1.0069
2023-11-03,1.1209,1.1209,1.1209,1.1016,1.0193
2023-11-10,1.1165,1.1165,1.1165,1.0973,1.0192
2023-11-17,1.1204,1.1204,1.1204,1.0918,1.0286
2023-11-24,1.1206,1.1206,1.1206,1.0946,1.026
2023-12-01,1.1175,1.1175,1.1175,1.0901,1.0274
2023-12-08,1.1224,1.1224,1.1224,1.0937,1.0287
2023-12-15,1.1175,1.1175,1.1175,1.0797,1.0378
2023-12-22,1.0984,1.1238,1.1238,1.1008,1.023
2023-12-29,1.1059,1.1313,1.1315,1.0857,1.0457
2024-01-05,1.1262,1.1516,1.1522,1.0815,1.0708
2024-01-12,1.1338,1.1592,1.16,1.0756,1.0844
2024-01-19,1.1369,1.1623,1.1632,1.0802,1.083
2024-01-26,1.14,1.1654,1.1664,1.0984,1.068
2024-02-02,1.1658,1.1912,1.1928,1.0663,1.1265
2024-02-08,1.1565,1.1819,1.1832,1.0753,1.108
2024-02-23,1.1471,1.1725,1.1736,1.0813,1.0924
2024-03-01,1.1484,1.1738,1.175,1.0832,1.0917
2024-03-08,1.1455,1.1709,1.172,1.1003,1.0717
2024-03-15,1.1447,1.1701,1.1712,1.0949,1.0762
2024-03-22,1.1545,1.1799,1.1812,1.1044,1.0768
2024-03-29,1.1595,1.1849,1.1863,1.0883,1.098
2024-04-03,1.1616,1.187,1.1885,1.1043,1.0842
2024-04-12,1.1584,1.1838,1.1852,1.1455,1.0397
2024-04-19,1.1705,1.1959,1.1976,1.1503,1.0473
2024-04-26,1.1702,1.1956,1.1973,1.159,1.0383
2024-04-30,1.1529,1.1783,1.1796,1.1517,1.0278
2024-05-10,1.1505,1.1759,1.1771,1.1471,1.03
2024-05-17,1.1493,1.1747,1.1759,1.1702,1.0057
2024-05-24,1.161,1.1864,1.1878,1.177,1.0108
2024-05-31,1.1569,1.1823,1.1837,1.1711,1.0125
2024-06-07,1.1712,1.1966,1.1983,1.151,1.0473
2024-06-14,1.1824,1.2078,1.2097,1.1391,1.0706
2024-06-21,1.1935,1.2189,1.2211,1.1333,1.0878
