date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2020-09-11,1.0,1.0,1.0,1.0,1.0
2020-09-18,1.0,1.0,1.0,1.0154,0.9846
2020-09-25,1.0,1.0,1.0,0.9809,1.0191
2020-09-30,1.0,1.0,1.0,0.9777,1.0223
2020-10-09,1.0,1.0,1.0,1.0075,0.9925
2020-10-16,1.0,1.0,1.0,1.0116,0.9884
2020-10-23,0.999,0.999,0.999,1.0078,0.9912
2020-10-30,0.998,0.998,0.998,0.9755,1.0225
2020-11-06,1.012,1.012,1.012,0.991,1.021
2020-11-13,1.02,1.02,1.02,1.0156,1.0044
2020-11-20,1.056,1.056,1.056,1.0358,1.0202
2020-11-27,1.07,1.07,1.07,1.0621,1.0079
2020-12-04,1.087,1.087,1.087,1.0737,1.0133
2020-12-11,1.105,1.105,1.105,1.0947,1.0103
2020-12-18,1.113,1.113,1.113,1.1429,0.9701
2020-12-25,1.103,1.103,1.103,1.1427,0.9603
2020-12-31,1.108,1.108,1.108,1.1271,0.9809
2021-01-08,1.137,1.137,1.137,1.1813,0.9557
2021-01-15,1.133,1.133,1.133,1.156,0.977
2021-01-22,1.114,1.114,1.114,1.1423,0.9717
2021-01-29,1.104,1.104,1.104,1.1322,0.9718
2021-02-05,1.104,1.104,1.104,1.1551,0.9489
2021-02-10,1.113,1.113,1.113,1.1774,0.9356
2021-02-19,1.127,1.127,1.127,1.2256,0.9014
2021-02-26,1.177,1.177,1.177,1.2532,0.9238
2021-03-05,1.174,1.174,1.174,1.2329,0.9411
2021-03-12,1.173,1.173,1.173,1.2192,0.9538
2021-03-19,1.161,1.161,1.161,1.1789,0.9821
2021-03-26,1.159,1.159,1.159,1.1921,0.9669
2021-04-02,1.158,1.158,1.158,1.2262,0.9318
2021-04-09,1.153,1.153,1.153,1.2089,0.9441
2021-04-16,1.155,1.155,1.155,1.2488,0.9062
2021-04-23,1.168,1.168,1.168,1.2552,0.9128
2021-04-30,1.171,1.171,1.171,1.2754,0.8956
2021-05-07,1.192,1.192,1.192,1.3323,0.8597
2021-05-14,1.203,1.203,1.203,1.3003,0.9027
2021-05-21,1.193,1.193,1.193,1.259,0.934
2021-05-28,1.179,1.179,1.179,1.2781,0.9009
2021-06-04,1.167,1.167,1.167,1.3047,0.8623
2021-06-11,1.165,1.165,1.165,1.3299,0.8351
2021-06-18,1.156,1.156,1.156,1.2835,0.8725
2021-06-25,1.152,1.152,1.152,1.3179,0.8341
2021-07-02,1.141,1.141,1.141,1.3194,0.8216
2021-07-09,1.138,1.138,1.138,1.316,0.822
2021-07-16,1.149,1.149,1.149,1.339,0.81
2021-07-23,1.143,1.143,1.143,1.333,0.81
2021-07-30,1.147,1.147,1.147,1.3508,0.7962
2021-08-06,1.126,1.126,1.126,1.3237,0.8023
2021-08-13,1.123,1.123,1.123,1.3221,0.8009
2021-08-20,1.112,1.112,1.112,1.2771,0.8349
2021-08-27,1.112,1.112,1.112,1.3243,0.7877
2021-09-03,1.112,1.112,1.112,1.3377,0.7743
2021-09-10,1.121,1.121,1.121,1.3408,0.7802
2021-09-17,1.128,1.128,1.128,1.3187,0.8093
2021-09-24,1.141,1.141,1.141,1.3505,0.7905
2021-09-30,1.16,1.16,1.16,1.3856,0.7744
2021-10-08,1.167,1.167,1.167,1.4245,0.7425
2021-10-15,1.166,1.166,1.166,1.459,0.707
2021-10-22,1.15,1.15,1.15,1.4061,0.7439
2021-10-29,1.135,1.135,1.135,1.3585,0.7765
2021-11-05,1.136,1.136,1.136,1.3092,0.8268
2021-11-12,1.128,1.128,1.128,1.3195,0.8085
2021-11-19,1.123,1.123,1.123,1.3185,0.8045
2021-11-26,1.113,1.113,1.113,1.3239,0.7891
2021-12-03,1.118,1.118,1.118,1.3021,0.8159
2021-12-10,1.114,1.114,1.114,1.3144,0.7996
2021-12-17,1.111,1.111,1.111,1.3437,0.7673
2021-12-24,1.11,1.11,1.11,1.3691,0.7409
2021-12-31,1.114,1.114,1.114,1.3631,0.7509
2022-01-07,1.114,1.114,1.114,1.4002,0.7138
2022-01-14,1.125,1.125,1.125,1.4262,0.6988
2022-01-21,1.152,1.152,1.152,1.448,0.704
2022-01-28,1.166,1.166,1.166,1.464,0.702
2022-02-11,1.182,1.182,1.182,1.4823,0.6997
2022-02-18,1.164,1.164,1.164,1.4829,0.6811
2022-02-25,1.18,1.18,1.18,1.499,0.681
2022-03-04,1.199,1.199,1.199,1.6102,0.5888
2022-03-11,1.22,1.22,1.22,1.6488,0.5712
2022-03-18,1.198,1.198,1.198,1.6377,0.5603
2022-03-25,1.2,1.2,1.2,1.7043,0.4957
2022-04-01,1.193,1.193,1.193,1.6705,0.5225
2022-04-08,1.186,1.186,1.186,1.6685,0.5175
2022-04-15,1.199,1.199,1.199,1.7296,0.4694
2022-04-22,1.192,1.192,1.192,1.7068,0.4852
2022-04-29,1.192,1.192,1.192,1.7045,0.4875
2022-05-06,1.188,1.188,1.188,1.6724,0.5156
2022-05-13,1.188,1.188,1.188,1.6538,0.5342
