date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2021-04-16,1.0,1.0,1.0,1.0,1.0
2021-04-23,0.9999,0.9999,0.9999,1.0051,0.9948
2021-04-30,0.9997,0.9997,0.9997,1.0213,0.9784
2021-05-07,0.9955,0.9955,0.9955,1.0668,0.9287
2021-05-14,1.0239,1.0239,1.0239,1.0412,0.9827
2021-05-21,1.0342,1.0342,1.0342,1.0081,1.0261
2021-05-28,1.026,1.026,1.026,1.0234,1.0026
2021-06-04,1.056,1.056,1.056,1.0447,1.0113
2021-06-11,1.0602,1.0602,1.0602,1.0649,0.9953
2021-06-18,1.0561,1.0561,1.0561,1.0278,1.0283
2021-06-25,1.0761,1.0761,1.0761,1.0553,1.0208
2021-07-02,1.0864,1.0864,1.0864,1.0565,1.0299
2021-07-09,1.092,1.092,1.092,1.0538,1.0382
2021-07-16,1.1067,1.1067,1.1067,1.0722,1.0345
2021-07-23,1.0999,1.0999,1.0999,1.0674,1.0325
2021-07-30,1.0879,1.0879,1.0879,1.0816,1.0063
2021-08-06,1.0744,1.0744,1.0744,1.06,1.0144
2021-08-13,1.0634,1.0634,1.0634,1.0586,1.0048
2021-08-20,1.0627,1.0627,1.0627,1.0227,1.04
2021-08-27,1.1033,1.1033,1.1033,1.0604,1.0429
2021-09-03,1.1137,1.1137,1.1137,1.0712,1.0425
2021-09-10,1.113,1.113,1.113,1.0736,1.0394
2021-09-17,1.0818,1.0818,1.0818,1.056,1.0258
2021-09-24,1.0397,1.0397,1.0397,1.0814,0.9583
2021-09-30,0.9651,0.9651,0.9651,1.1095,0.8556
2021-10-08,0.9837,0.9837,0.9837,1.1406,0.8431
2021-10-15,1.036,1.036,1.036,1.1683,0.8677
2021-10-22,1.116,1.116,1.116,1.126,0.99
2021-10-29,1.1149,1.1149,1.1149,1.0878,1.0271
2021-11-05,1.1261,1.1261,1.1261,1.0483,1.0778
2021-11-12,1.1333,1.1333,1.1333,1.0566,1.0767
2021-11-19,1.1199,1.1199,1.1199,1.0558,1.0641
2021-11-26,1.0969,1.0969,1.0969,1.0601,1.0368
2021-12-03,1.0715,1.0715,1.0715,1.0426,1.0289
2021-12-10,1.1081,1.1081,1.1081,1.0525,1.0556
2021-12-17,1.1164,1.1164,1.1164,1.076,1.0404
2021-12-24,1.1196,1.1196,1.1196,1.0963,1.0233
2021-12-31,1.1294,1.1294,1.1294,1.0915,1.0379
2022-01-07,1.1232,1.1232,1.1232,1.1212,1.002
2022-01-14,1.1092,1.1092,1.1092,1.142,0.9672
2022-01-21,1.1051,1.1051,1.1051,1.1595,0.9456
2022-01-28,1.1134,1.1134,1.1134,1.1723,0.9411
2022-02-11,1.1412,1.1412,1.1412,1.187,0.9542
2022-02-18,1.1527,1.1527,1.1527,1.1874,0.9653
2022-02-25,1.1422,1.1422,1.1422,1.2003,0.9419
2022-03-04,1.1823,1.1823,1.1823,1.2894,0.8929
2022-03-11,1.1737,1.1737,1.1737,1.3203,0.8534
2022-03-18,1.1725,1.1725,1.1725,1.3114,0.8611
2022-03-25,1.1737,1.1737,1.1737,1.3647,0.809
2022-04-01,1.1721,1.1721,1.1721,1.3377,0.8344
2022-04-08,1.174,1.174,1.174,1.3361,0.8379
2022-04-15,1.1967,1.1967,1.1967,1.3849,0.8118
2022-04-22,1.2093,1.2093,1.2093,1.3667,0.8426
2022-04-29,1.2045,1.2045,1.2045,1.3649,0.8396
2022-05-06,1.2078,1.2078,1.2078,1.3392,0.8686
2022-05-13,1.2118,1.2118,1.2118,1.3242,0.8876
2022-05-20,1.232,1.232,1.232,1.3432,0.8888
2022-05-27,1.2273,1.2273,1.2273,1.3551,0.8722
2022-06-02,1.2141,1.2141,1.2141,1.382,0.8321
2022-06-10,1.2007,1.2007,1.2007,1.3946,0.8061
2022-06-17,1.1882,1.1882,1.1882,1.3202,0.868
2022-06-24,1.1793,1.1793,1.1793,1.2241,0.9552
2022-07-01,1.187,1.187,1.187,1.229,0.958
2022-07-08,1.1855,1.1855,1.1855,1.1827,1.0028
2022-07-15,1.2165,1.2165,1.2165,1.0778,1.1387
2022-07-22,1.2365,1.2365,1.2365,1.1372,1.0993
2022-07-29,1.2042,1.2042,1.2042,1.2042,1.0
2022-08-05,1.2291,1.2291,1.2291,1.19,1.0391
2022-08-12,1.205,1.205,1.205,1.2299,0.9751
2022-08-19,1.2196,1.2196,1.2196,1.1921,1.0275
2022-08-26,1.1995,1.1995,1.1995,1.245,0.9545
2022-09-02,1.2369,1.2369,1.2369,1.1815,1.0554
2022-09-09,1.2522,1.2522,1.2522,1.208,1.0442
2022-09-16,1.226,1.226,1.226,1.2154,1.0106
2022-09-23,1.2334,1.2334,1.2334,1.2232,1.0102
2022-09-30,1.0,1.2256,1.2256,1.2182,1.0074
2022-10-14,0.9987,1.2243,1.224,1.2456,0.9784
2022-10-21,0.9862,1.2118,1.2087,1.2122,0.9965
2022-10-28,1.0009,1.2265,1.2267,1.1946,1.0321
2022-11-04,1.0032,1.2288,1.2295,1.2345,0.9951
2022-11-11,1.0064,1.232,1.2334,1.2647,0.9687
2022-11-18,1.0132,1.2388,1.2418,1.2574,0.9844
2022-11-25,1.0236,1.2492,1.2545,1.2475,1.0071
2022-12-02,1.0245,1.2501,1.2556,1.2652,0.9905
2022-12-09,1.017,1.2426,1.2464,1.2679,0.9786
2022-12-16,1.0113,1.2369,1.2394,1.2789,0.9606
2022-12-23,1.0067,1.2323,1.2338,1.2676,0.9662
2022-12-30,1.0226,1.2482,1.2533,1.3061,0.9472
2023-01-06,1.042,1.2676,1.2771,1.2777,0.9994
2023-01-13,1.0282,1.2538,1.2602,1.3056,0.9546
2023-01-20,1.0396,1.2652,1.2741,1.3356,0.9386
2023-02-03,1.0432,1.2688,1.2785,1.3053,0.9732
2023-02-10,1.0475,1.2731,1.2838,1.2962,0.9876
2023-02-17,1.0465,1.2721,1.2826,1.3073,0.9753
2023-02-24,1.0452,1.2708,1.281,1.3226,0.9584
2023-03-03,1.0401,1.2657,1.2747,1.3281,0.9467
2023-03-10,1.0474,1.273,1.2837,1.3019,0.9818
2023-03-17,1.0452,1.2708,1.281,1.2734,1.0076
2023-03-24,1.0366,1.2622,1.2705,1.2702,1.0002
2023-03-31,1.0283,1.2539,1.2603,1.2876,0.9726
2023-04-07,1.0289,1.2545,1.261,1.2964,0.9646
2023-04-14,1.0355,1.2611,1.2691,1.2896,0.9795
2023-04-21,1.0606,1.2862,1.2999,1.2627,1.0372
2023-04-28,1.0769,1.3025,1.3198,1.2348,1.0851
2023-05-05,1.09,1.3156,1.3359,1.2215,1.1144
2023-05-12,1.094,1.3196,1.3408,1.198,1.1428
2023-05-19,1.0947,1.3203,1.3417,1.217,1.1246
2023-05-26,1.1104,1.336,1.3609,1.1889,1.172
2023-06-02,1.1255,1.3511,1.3794,1.207,1.1724
2023-06-09,1.1236,1.3492,1.3771,1.2323,1.1448
2023-06-16,1.1055,1.3311,1.3549,1.2641,1.0908
2023-06-21,1.1132,1.3388,1.3643,1.2582,1.1062
2023-06-30,1.1355,1.3611,1.3917,1.2606,1.1311
2023-07-07,1.1395,1.3651,1.3966,1.274,1.1226
2023-07-14,1.1515,1.3771,1.4113,1.3168,1.0945
2023-07-21,1.1519,1.3775,1.4118,1.3284,1.0834
2023-07-28,1.1358,1.3614,1.392,1.3429,1.0492
2023-08-04,1.1456,1.3712,1.404,1.3342,1.0699
2023-08-11,1.1565,1.3821,1.4174,1.3352,1.0822
2023-08-18,1.1573,1.3829,1.4184,1.3489,1.0695
2023-08-25,1.1529,1.3785,1.413,1.3864,1.0266
2023-09-01,1.1609,1.3865,1.4228,1.4197,1.0031
2023-09-08,1.1627,1.3883,1.425,1.4023,1.0227
2023-09-15,1.1844,1.41,1.4516,1.4405,1.0111
2023-09-22,1.1831,1.4087,1.45,1.4226,1.0274
2023-09-28,1.181,1.4066,1.4474,1.4179,1.0296
2023-10-13,1.182,1.4076,1.4487,1.3757,1.073
2023-10-20,1.1897,1.4153,1.4581,1.385,1.0731
2023-10-27,1.1885,1.4141,1.4566,1.396,1.0606
2023-11-03,1.1832,1.4088,1.4501,1.4075,1.0426
2023-11-10,1.1673,1.3929,1.4306,1.4019,1.0287
2023-11-17,1.1828,1.4084,1.4496,1.395,1.0546
2023-11-24,1.2106,1.4362,1.4837,1.3986,1.0851
2023-12-01,1.2068,1.4324,1.4791,1.3928,1.0863
2023-12-08,1.209,1.4346,1.4818,1.3974,1.0843
2023-12-15,1.2368,1.4624,1.5158,1.3795,1.1364
2023-12-22,1.2363,1.4619,1.5152,1.4064,1.1088
2023-12-29,1.2307,1.4563,1.5083,1.3872,1.1212
2024-01-05,1.2385,1.4641,1.5179,1.3817,1.1362
2024-01-12,0.9967,1.46,1.5129,1.3742,1.1387
2024-01-19,0.9865,1.4498,1.4974,1.3801,1.1173
2024-01-26,0.9844,1.4477,1.4942,1.4033,1.0909
2024-02-02,0.9983,1.4616,1.5153,1.3624,1.1529
2024-02-08,0.9968,1.4601,1.513,1.3738,1.1392
2024-02-23,1.0014,1.4647,1.52,1.3815,1.1385
2024-03-01,1.0011,1.4644,1.5196,1.384,1.1356
2024-03-08,1.014,1.4773,1.5391,1.4058,1.1334
2024-03-15,1.0185,1.4818,1.546,1.3989,1.147
2024-03-22,1.0202,1.4835,1.5486,1.411,1.1376
2024-03-29,1.0316,1.4949,1.5659,1.3905,1.1754
2024-04-03,1.03,1.4933,1.5634,1.4109,1.1525
2024-04-12,1.0306,1.4939,1.5643,1.4635,1.1008
2024-04-19,1.0481,1.5114,1.5909,1.4696,1.1213
2024-04-26,1.06,1.5233,1.609,1.4808,1.1282
2024-04-30,1.0611,1.5244,1.6106,1.4715,1.1391
2024-05-10,1.0553,1.5186,1.6018,1.4656,1.1362
2024-05-17,1.0643,1.5276,1.6155,1.4951,1.1203
2024-05-24,1.0635,1.5268,1.6143,1.5038,1.1105
2024-05-31,1.0618,1.5251,1.6117,1.4963,1.1154
2024-06-07,1.0602,1.5235,1.6093,1.4706,1.1387
2024-06-14,1.0515,1.5148,1.5961,1.4554,1.1406
2024-06-21,1.0486,1.5119,1.5917,1.448,1.1437
2024-06-28,1.0486,1.5119,1.5917,1.4529,1.1387
2024-07-05,1.0501,1.5134,1.5939,1.4705,1.1234
2024-07-12,1.0527,1.516,1.5979,1.4447,1.1532
2024-07-19,1.0514,1.5147,1.5959,1.4221,1.1738
2024-07-26,1.0516,1.5149,1.5962,1.3885,1.2077
2024-08-02,1.0532,1.5165,1.5986,1.3859,1.2127
2024-08-09,1.0568,1.5201,1.6041,1.3471,1.257
2024-08-16,1.0618,1.5251,1.6117,1.3239,1.2878
2024-08-23,1.0685,1.5318,1.6219,1.3258,1.2961
2024-08-30,1.0646,1.5279,1.6159,1.3568,1.2592
2024-09-06,1.0784,1.5417,1.6369,1.2918,1.3451
2024-09-13,1.0855,1.5488,1.6477,1.2987,1.3489
2024-09-20,1.089,1.5523,1.653,1.3162,1.3368
2024-09-27,1.081,1.5443,1.6408,1.3725,1.2683
2024-09-30,1.0816,1.5449,1.6417,1.4192,1.2226
2024-10-11,1.0947,1.558,1.6616,1.4101,1.2516
2024-10-18,1.1009,1.5642,1.671,1.3846,1.2864
2024-10-25,1.0951,1.5584,1.6622,1.3982,1.2641
2024-11-01,1.0974,1.5607,1.6657,1.3994,1.2663
2024-11-08,1.1066,1.5699,1.6797,1.4122,1.2675
2024-11-15,1.1072,1.5705,1.6806,1.36,1.3206
2024-11-22,1.1089,1.5722,1.6832,1.3773,1.3059
2024-11-29,1.1093,1.5726,1.6838,1.384,1.2998
2024-12-06,1.1128,1.5761,1.6891,1.3726,1.3165
2024-12-13,1.1115,1.5748,1.6871,1.3865,1.3006
2024-12-20,1.1133,1.5766,1.6899,1.3548,1.3351
