date,nav_adjusted,H11009.CSI,excess_nav
2019-01-31,1.0002,1.0,1.0002
2019-02-01,1.0001,1.0004,0.9997
2019-02-11,0.9997,1.0019,0.9978
2019-02-12,0.9997,1.0023,0.9974
2019-02-13,0.9996,1.0026,0.997
2019-02-14,0.9996,1.0027,0.9969
2019-02-15,0.9995,1.0029,0.9966
2019-02-18,0.9994,1.0028,0.9966
2019-02-19,0.9994,1.0025,0.9969
2019-02-20,0.9993,1.0027,0.9966
2019-02-21,0.9993,1.0027,0.9966
2019-02-22,0.9992,1.0026,0.9966
2019-02-25,0.9991,1.0023,0.9968
2019-02-26,0.9991,1.0013,0.9978
2019-02-27,0.999,1.0009,0.9981
2019-02-28,0.999,1.0011,0.9979
2019-03-01,0.9989,1.0007,0.9982
2019-03-04,0.9988,1.0004,0.9984
2019-03-05,0.9987,1.0001,0.9986
2019-03-06,0.9956,0.9999,0.9957
2019-03-07,0.9972,1.0004,0.9968
2019-03-08,0.9829,1.0015,0.9814
2019-03-11,0.9861,1.002,0.9841
2019-03-12,0.9862,1.0018,0.9844
2019-03-13,0.9838,1.0017,0.9821
2019-03-14,0.983,1.0016,0.9814
2019-03-15,0.9968,1.0014,0.9954
2019-03-18,1.0128,1.0016,1.0112
2019-03-19,1.0093,1.0015,1.0078
2019-03-20,1.0072,1.0016,1.0056
2019-03-21,1.0059,1.0019,1.004
2019-03-22,1.0068,1.0023,1.0045
2019-03-25,1.0003,1.0032,0.9971
2019-03-26,0.9962,1.0038,0.9924
2019-03-27,1.0034,1.0039,0.9995
2019-03-28,1.0097,1.0043,1.0054
2019-03-29,1.0344,1.0046,1.0298
2019-04-01,1.0461,1.0041,1.042
2019-04-02,1.0429,1.0036,1.0393
2019-04-03,1.0517,1.0025,1.0492
2019-04-04,1.0586,1.0016,1.057
2019-04-08,1.0548,1.0017,1.0531
2019-04-09,1.0635,1.0013,1.0622
2019-04-10,1.0609,1.0004,1.0605
2019-04-11,1.0508,1.0005,1.0503
2019-04-12,1.0508,1.0007,1.0501
2019-04-15,1.0448,0.9994,1.0454
2019-04-16,1.0575,0.998,1.0595
2019-04-17,1.0567,0.9976,1.0591
2019-04-18,1.0569,0.9979,1.059
