date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-09-27,1.0,1.0,1.0,1.0,1.0
2024-09-30,0.9999,0.9999,0.9999,1.034,0.9659
2024-10-11,0.9996,0.9996,0.9996,1.0273,0.9723
2024-10-18,0.9993,0.9993,0.9993,1.0088,0.9905
2024-10-25,0.9983,0.9983,0.9983,1.0187,0.9796
2024-11-01,0.9875,0.9875,0.9875,1.0196,0.9679
2024-11-08,0.9942,0.9942,0.9942,1.0289,0.9653
2024-11-15,1.0102,1.0102,1.0102,0.9909,1.0193
2024-11-22,1.036,1.036,1.036,1.0035,1.0325
2024-11-29,1.0332,1.0332,1.0332,1.0084,1.0248
2024-12-06,1.0262,1.0262,1.0262,1.0,1.0262
2024-12-13,1.0251,1.0251,1.0251,1.0102,1.0149
2024-12-20,1.0299,1.0299,1.0299,0.987,1.0429
2024-12-27,1.0221,1.0221,1.0221,0.9896,1.0325
2025-01-03,1.0376,1.0376,1.0376,0.9936,1.044
2025-01-10,1.0419,1.0419,1.0419,0.9965,1.0454
2025-01-17,1.0466,1.0466,1.0466,1.037,1.0096
2025-01-24,1.0354,1.0354,1.0354,1.0236,1.0118
2025-01-27,1.0336,1.0336,1.0336,1.0233,1.0103
2025-02-07,1.0336,1.0336,1.0336,1.0395,0.9941
2025-02-14,1.0275,1.0275,1.0275,1.0304,0.9971
2025-02-21,1.0352,1.0352,1.0352,1.0381,0.9971
2025-02-28,1.0336,1.0336,1.0336,1.0205,1.0131
2025-03-07,1.0276,1.0276,1.0276,1.0046,1.023
2025-03-14,1.0295,1.0295,1.0295,1.0182,1.0113
2025-03-21,1.03,1.03,1.03,1.0079,1.0221
2025-03-28,1.0263,1.0263,1.0263,1.0204,1.0059
2025-04-03,1.0268,1.0268,1.0268,1.0159,1.0109
2025-04-11,1.0007,1.0007,1.0007,0.964,1.0367
2025-04-18,0.9982,0.9982,0.9982,0.9679,1.0303
