date,nav_adjusted,NH0100.NHF,excess_nav
2022-08-26,1.0,1.0,1.0
2022-09-02,1.0,0.9491,1.0509
2022-09-09,1.0,0.9703,1.0297
2022-09-16,0.9709,0.9762,0.9947
2022-09-23,0.9789,0.9826,0.9963
2022-09-30,0.9559,0.9785,0.9774
2022-10-14,0.9708,1.0005,0.9703
2022-10-21,0.9829,0.9737,1.0092
2022-10-28,1.0332,0.9596,1.0736
2022-11-04,1.045,0.9916,1.0534
2022-11-11,1.0455,1.0159,1.0296
2022-11-18,1.057,1.01,1.047
2022-11-25,1.0784,1.002,1.0764
2022-12-02,1.0159,1.0162,0.9997
2022-12-09,1.0072,1.0184,0.9888
2022-12-16,0.9939,1.0272,0.9667
2022-12-23,1.0548,1.0182,1.0366
2022-12-30,1.0287,1.0491,0.9796
2023-01-06,1.0213,1.0263,0.995
2023-01-13,1.0507,1.0487,1.002
2023-01-20,1.0872,1.0728,1.0144
2023-02-03,1.1107,1.0485,1.0622
2023-02-10,1.0921,1.0412,1.0509
2023-02-17,1.0552,1.0501,1.0051
2023-02-24,1.0317,1.0624,0.9693
2023-03-03,1.0281,1.0668,0.9613
2023-03-10,0.9981,1.0457,0.9524
2023-03-17,0.9481,1.0229,0.9252
2023-03-24,0.9601,1.0203,0.9398
2023-03-31,0.952,1.0343,0.9177
2023-04-07,0.9878,1.0413,0.9465
2023-04-14,0.9818,1.0359,0.9459
2023-04-21,1.0205,1.0142,1.0063
2023-04-28,1.0712,0.9918,1.0794
2023-05-05,1.0712,0.9811,1.0901
2023-05-12,1.0528,0.9623,1.0905
2023-05-19,1.0552,0.9776,1.0776
2023-05-26,1.0352,0.955,1.0802
2023-06-02,1.036,0.9695,1.0665
2023-06-09,1.0468,0.9898,1.057
2023-06-16,1.0946,1.0154,1.0792
2023-06-21,1.0843,1.0106,1.0737
2023-06-30,1.0781,1.0125,1.0656
2023-07-07,1.0469,1.0233,1.0236
2023-07-14,1.0599,1.0577,1.0022
2023-07-21,1.0333,1.067,0.9663
2023-07-28,1.0623,1.0786,0.9837
2023-08-04,1.063,1.0717,0.9913
2023-08-11,1.0981,1.0725,1.0256
2023-08-18,1.1463,1.0834,1.0629
2023-08-25,1.2067,1.1136,1.0931
2023-09-01,1.1763,1.1404,1.0359
2023-09-08,1.1594,1.1264,1.033
2023-09-15,1.1384,1.1571,0.9813
2023-09-22,1.1696,1.1427,1.0269
2023-09-28,1.1519,1.1389,1.013
2023-10-13,1.1508,1.105,1.0458
2023-10-20,1.1955,1.1125,1.083
2023-10-27,1.1633,1.1214,1.0419
2023-11-03,1.1805,1.1305,1.05
2023-11-10,1.1911,1.1261,1.065
2023-11-17,1.177,1.1205,1.0565
2023-11-24,1.2043,1.1234,1.0809
2023-12-01,1.2039,1.1187,1.0852
2023-12-08,1.2397,1.1225,1.1172
2023-12-15,1.2461,1.108,1.1381
2023-12-22,1.2993,1.1297,1.1696
2023-12-29,1.3036,1.1142,1.1894
2024-01-05,1.3146,1.1099,1.2047
2024-01-12,1.3459,1.1038,1.2421
2024-01-19,1.3752,1.1086,1.2666
2024-01-26,1.3951,1.1272,1.2679
2024-02-02,1.4685,1.0943,1.3742
2024-02-08,1.6054,1.1035,1.5019
