date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2018-09-07,1.0,1.0,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0,1.0016,0.9984
2018-09-21,1.0,1.0,1.0,1.0138,0.9862
2018-09-28,1.0,1.0,1.0,1.0109,0.9891
2018-10-12,1.0,1.0,1.0,1.0437,0.9563
2018-10-19,1.002,1.002,1.002,1.0249,0.9771
2018-10-26,0.983,0.983,0.983,1.0275,0.9555
2018-11-02,0.995,0.995,0.995,0.9964,0.9986
2018-11-09,1.001,1.001,1.001,0.985,1.016
2018-11-16,1.015,1.015,1.015,0.9801,1.0349
2018-11-23,1.13,1.13,1.13,0.9356,1.1944
2018-11-30,1.11,1.11,1.11,0.9291,1.1809
2018-12-07,1.074,1.074,1.074,0.9542,1.1198
2018-12-14,1.062,1.062,1.062,0.9554,1.1066
2018-12-21,1.072,1.072,1.072,0.9483,1.1237
2018-12-28,1.154,1.154,1.154,0.9346,1.2194
2019-01-04,1.206,1.206,1.206,0.9532,1.2528
2019-01-11,1.156,1.156,1.156,0.9634,1.1926
2019-01-18,1.13,1.13,1.13,0.9794,1.1506
2019-01-25,1.108,1.108,1.108,0.9819,1.1261
2019-02-01,1.179,1.179,1.179,1.0073,1.1717
2019-02-15,1.329,1.329,1.329,0.9993,1.3297
2019-02-22,1.382,1.382,1.382,1.0242,1.3578
2019-03-01,1.587,1.587,1.587,1.0304,1.5566
2019-03-08,1.599,1.599,1.599,1.0057,1.5933
2019-03-15,1.666,1.666,1.666,1.0064,1.6596
2019-03-22,1.66,1.66,1.66,1.0065,1.6535
2019-03-29,1.687,1.687,1.687,0.9981,1.6889
2019-04-04,1.743,1.743,1.743,1.0234,1.7196
2019-04-12,1.697,1.697,1.697,1.0356,1.6614
2019-04-19,1.723,1.723,1.723,1.0224,1.7006
2019-04-26,1.657,1.657,1.657,1.0186,1.6384
2019-04-30,1.662,1.662,1.662,1.0262,1.6358
2019-05-10,1.62,1.62,1.62,1.0265,1.5935
2019-05-17,1.654,1.654,1.654,1.0403,1.6137
2019-05-24,1.694,1.694,1.694,1.0385,1.6555
2019-05-31,1.764,1.764,1.764,1.0258,1.7382
2019-06-06,1.864,1.864,1.864,1.008,1.856
2019-06-14,2.144,2.144,2.144,1.0241,2.1199
2019-06-21,2.304,2.304,2.304,1.0361,2.2679
2019-06-28,2.438,2.438,2.438,1.0478,2.3902
2019-07-05,2.446,2.446,2.446,1.0446,2.4014
2019-07-12,2.422,2.422,2.422,1.0522,2.3698
2019-07-19,2.452,2.452,2.452,1.0678,2.3842
2019-07-26,2.42,2.42,2.42,1.0516,2.3684
2019-08-02,2.433,2.433,2.433,1.0376,2.3954
2019-08-09,2.497,2.497,2.497,1.0232,2.4738
2019-08-16,2.505,2.505,2.505,1.0253,2.4797
2019-08-23,2.507,2.507,2.507,1.0248,2.4822
2019-08-30,2.522,2.522,2.522,1.0306,2.4914
2019-09-06,1.188,2.597,2.6486,1.039,2.6097
2019-09-12,1.2,2.609,2.6754,1.0576,2.6178
2019-09-20,1.162,2.571,2.5907,1.0435,2.5472
2019-09-27,1.159,2.568,2.584,1.0336,2.5503
2019-09-30,1.158,2.567,2.5818,1.0371,2.5447
2019-10-11,1.167,2.576,2.6018,1.039,2.5628
2019-10-18,1.168,2.577,2.604,1.0228,2.5812
2019-10-25,1.171,2.58,2.6107,1.0356,2.5751
2019-11-01,1.171,2.58,2.6107,1.0315,2.5792
2019-11-08,1.164,2.573,2.5951,1.0259,2.5692
2019-11-15,1.161,2.57,2.5884,1.0266,2.5618
2019-11-22,1.163,2.572,2.5929,1.0407,2.5522
2019-11-29,1.16,2.569,2.5862,1.0392,2.547
2019-12-06,1.153,2.562,2.5706,1.0496,2.521
2019-12-13,1.178,2.587,2.6263,1.0679,2.5585
2019-12-20,1.198,2.607,2.6709,1.0699,2.601
2019-12-27,1.201,2.61,2.6776,1.0792,2.5984
2020-01-03,1.211,2.62,2.6999,1.0804,2.6195
2020-01-10,1.211,2.62,2.6999,1.0793,2.6206
2020-01-17,1.205,2.614,2.6865,1.0745,2.612
2020-01-23,1.2,2.609,2.6754,1.0486,2.6268
2020-02-07,1.198,2.607,2.6709,1.0005,2.6704
