date,nav_unit,nav_accumulated,nav_adjusted,H11009.CSI,excess_nav
2017-05-12,1.0,1.0,1.0,1.0,1.0
2017-05-19,1.0,1.0,1.0,0.9998,1.0002
2017-05-26,1.0,1.0,1.0,1.0003,0.9997
2017-06-02,1.0,1.0,1.0,1.0017,0.9983
2017-06-09,1.0,1.0,1.0,1.0028,0.9972
2017-06-16,1.0,1.0,1.0,1.0068,0.9932
2017-06-23,1.001,1.001,1.001,1.0092,0.9918
2017-06-30,1.001,1.001,1.001,1.012,0.989
2017-07-07,0.998,0.998,0.998,1.0131,0.9849
2017-07-14,1.01,1.01,1.01,1.0146,0.9954
2017-07-21,1.017,1.017,1.017,1.0155,1.0015
2017-07-28,1.011,1.011,1.011,1.0152,0.9958
2017-08-04,1.017,1.017,1.017,1.0154,1.0016
2017-08-11,1.018,1.018,1.018,1.015,1.003
2017-08-18,1.017,1.017,1.017,1.0157,1.0013
2017-08-25,1.019,1.019,1.019,1.0144,1.0046
2017-09-01,1.012,1.012,1.012,1.014,0.998
2017-09-08,1.017,1.017,1.017,1.0154,1.0016
2017-09-15,1.021,1.021,1.021,1.0168,1.0042
2017-09-22,1.036,1.036,1.036,1.0172,1.0188
2017-09-29,1.046,1.046,1.046,1.0184,1.0276
2017-10-13,1.047,1.047,1.047,1.0193,1.0277
2017-10-20,1.045,1.045,1.045,1.0186,1.0264
2017-10-27,1.04,1.04,1.04,1.0176,1.0224
2017-11-03,1.032,1.032,1.032,1.0159,1.0161
2017-11-10,1.031,1.031,1.031,1.0154,1.0156
2017-11-17,1.022,1.022,1.022,1.0133,1.0087
2017-11-24,1.018,1.018,1.018,1.0107,1.0073
2017-12-01,1.027,1.027,1.027,1.0115,1.0155
2017-12-08,0.998,0.998,0.998,1.0132,0.9848
2017-12-15,1.01,1.01,1.01,1.013,0.997
2017-12-22,1.009,1.009,1.009,1.0136,0.9954
2017-12-29,1.01,1.01,1.01,1.0136,0.9964
2018-01-05,1.009,1.009,1.009,1.0148,0.9942
2018-01-12,1.007,1.007,1.007,1.0148,0.9922
2018-01-19,1.001,1.001,1.001,1.0144,0.9866
2018-01-26,1.006,1.006,1.006,1.0159,0.9901
2018-02-02,1.012,1.012,1.012,1.0176,0.9944
2018-02-09,1.014,1.014,1.014,1.0196,0.9944
2018-02-14,1.014,1.014,1.014,1.0211,0.9929
2018-02-23,1.008,1.008,1.008,1.0222,0.9858
2018-03-02,1.016,1.016,1.016,1.0254,0.9906
2018-03-09,1.014,1.014,1.014,1.0268,0.9872
2018-03-16,1.014,1.014,1.014,1.0277,0.9863
2018-03-23,1.036,1.036,1.036,1.0327,1.0033
