date,nav_adjusted,NH0100.NHF,excess_nav
2024-08-09,0.9999,1.0,0.9999
2024-08-16,0.9996,0.9828,1.0168
2024-08-23,0.9993,0.9842,1.0151
2024-08-30,0.9993,1.0072,0.9921
2024-09-06,0.9993,0.959,1.0403
2024-09-13,0.9996,0.9641,1.0355
2024-09-20,0.9999,0.9771,1.0228
2024-09-27,0.9941,1.0189,0.9752
2024-09-30,0.9949,1.0535,0.9414
2024-10-11,1.0168,1.0468,0.97
2024-10-18,1.0226,1.0279,0.9947
2024-10-25,1.0259,1.0379,0.988
2024-11-01,1.0144,1.0388,0.9756
2024-11-08,1.0337,1.0484,0.9853
2024-11-15,1.0227,1.0096,1.0131
2024-11-22,1.0237,1.0224,1.0013
2024-11-29,1.0165,1.0274,0.9891
2024-12-06,1.0206,1.019,1.0016
2024-12-13,1.0038,1.0293,0.9745
2024-12-20,1.0106,1.0057,1.0049
2024-12-27,1.0083,1.0083,1.0
2025-01-03,1.0363,1.0124,1.0239
2025-01-10,1.0441,1.0153,1.0288
2025-01-17,1.0406,1.0566,0.984
2025-01-24,1.0285,1.043,0.9855
2025-01-27,1.0248,1.0426,0.9822
2025-02-07,1.0333,1.0591,0.9742
2025-02-14,1.0324,1.0499,0.9825
2025-02-21,1.0479,1.0577,0.9902
2025-02-28,1.0371,1.0398,0.9973
2025-03-07,1.0434,1.0236,1.0198
2025-03-14,1.0473,1.0374,1.0099
2025-03-21,1.0472,1.027,1.0202
2025-03-28,1.0448,1.0397,1.0051
2025-04-03,1.0531,1.0351,1.018
2025-04-11,1.0449,0.9823,1.0626
2025-04-18,1.0465,0.9862,1.0603
2025-04-25,1.0508,0.999,1.0518
2025-04-30,1.0533,0.9805,1.0728
2025-05-09,1.053,0.9723,1.0807
2025-05-16,1.0485,0.9776,1.0709
2025-05-23,1.0419,0.9727,1.0692
2025-05-30,1.0406,0.957,1.0836
2025-06-06,1.0376,0.9744,1.0632
2025-06-13,1.04,0.9952,1.0448
2025-06-20,1.0424,1.018,1.0244
2025-06-27,1.0396,0.9976,1.042
2025-07-04,1.0417,1.0055,1.0362
2025-07-11,1.05,1.0157,1.0343
2025-07-18,1.0607,1.0293,1.0314
2025-07-25,1.0545,1.0574,0.9971
