date,nav_adjusted,NH0100.NHF,excess_nav
2022-10-28,1.0,1.0,1.0
2022-11-04,1.0,1.0333,0.9667
2022-11-11,1.0,1.0587,0.9413
2022-11-18,0.986,1.0525,0.9335
2022-11-25,0.988,1.0442,0.9438
2022-12-02,1.002,1.059,0.943
2022-12-09,0.993,1.0613,0.9317
2022-12-16,0.979,1.0705,0.9085
2022-12-23,0.962,1.061,0.901
2022-12-30,0.972,1.0933,0.8787
2023-01-06,0.992,1.0695,0.9225
2023-01-13,0.997,1.0929,0.9041
2023-01-20,1.017,1.118,0.899
2023-02-03,1.018,1.0926,0.9254
2023-02-10,1.017,1.085,0.932
2023-02-17,1.005,1.0943,0.9107
2023-02-24,1.01,1.1071,0.9029
2023-03-03,1.017,1.1117,0.9053
2023-03-10,1.004,1.0898,0.9142
2023-03-17,1.0,1.066,0.934
2023-03-24,1.01,1.0633,0.9467
2023-03-31,1.008,1.0779,0.9301
2023-04-07,1.017,1.0852,0.9318
2023-04-14,1.017,1.0795,0.9375
2023-04-21,1.002,1.057,0.945
2023-04-28,1.004,1.0336,0.9704
2023-05-05,0.998,1.0225,0.9755
2023-05-12,0.986,1.0028,0.9832
2023-05-19,0.991,1.0187,0.9723
2023-05-26,0.991,0.9952,0.9958
2023-06-02,0.988,1.0104,0.9776
2023-06-09,0.981,1.0315,0.9495
2023-06-16,0.984,1.0582,0.9258
2023-06-21,0.978,1.0532,0.9248
2023-06-30,0.979,1.0552,0.9238
2023-07-07,0.973,1.0664,0.9066
2023-07-14,0.984,1.1023,0.8817
2023-07-21,0.979,1.1119,0.8671
2023-07-28,1.005,1.1241,0.8809
2023-08-04,1.006,1.1168,0.8892
2023-08-11,0.992,1.1177,0.8743
2023-08-18,0.994,1.1291,0.8649
2023-08-25,0.986,1.1605,0.8255
2023-09-01,0.998,1.1884,0.8096
2023-09-08,0.995,1.1738,0.8212
2023-09-15,0.993,1.2058,0.7872
2023-09-22,0.994,1.1908,0.8032
2023-09-28,0.989,1.1869,0.8021
2023-10-13,0.987,1.1516,0.8354
2023-10-20,0.976,1.1593,0.8167
2023-10-27,1.002,1.1686,0.8334
2023-11-03,0.995,1.1782,0.8168
2023-11-10,0.999,1.1735,0.8255
2023-11-17,1.004,1.1677,0.8363
2023-11-24,0.994,1.1707,0.8233
2023-12-01,0.994,1.1658,0.8282
2023-12-08,0.998,1.1697,0.8283
2023-12-15,0.991,1.1547,0.8363
2023-12-22,0.986,1.1773,0.8087
2023-12-29,0.993,1.1612,0.8318
2024-01-05,0.997,1.1566,0.8404
2024-01-12,1.005,1.1503,0.8547
2024-01-19,1.007,1.1553,0.8517
2024-01-26,1.022,1.1747,0.8473
2024-02-02,1.004,1.1404,0.8636
2024-02-08,1.013,1.15,0.863
2024-02-23,1.026,1.1564,0.8696
2024-03-01,1.026,1.1585,0.8675
2024-03-08,1.021,1.1767,0.8443
2024-03-15,1.016,1.171,0.845
2024-03-22,1.019,1.1811,0.8379
2024-03-29,1.021,1.1639,0.8571
2024-04-03,1.033,1.181,0.852
2024-04-12,1.048,1.2251,0.8229
2024-04-19,1.047,1.2302,0.8168
2024-04-26,1.053,1.2395,0.8135
2024-04-30,1.056,1.2318,0.8242
2024-05-10,1.044,1.2268,0.8172
2024-05-17,1.052,1.2515,0.8005
2024-05-24,1.061,1.2588,0.8022
2024-05-31,1.048,1.2525,0.7955
2024-06-07,1.056,1.231,0.825
2024-06-14,1.069,1.2183,0.8507
2024-06-21,1.068,1.2121,0.8559
2024-06-28,1.065,1.2162,0.8488
2024-07-05,1.078,1.2309,0.8471
2024-07-12,1.07,1.2093,0.8607
2024-07-19,1.077,1.1904,0.8866
2024-07-26,1.111,1.1622,0.9488
2024-08-02,1.107,1.1601,0.9469
2024-08-09,1.103,1.1276,0.9754
2024-08-16,1.097,1.1082,0.9888
2024-08-23,1.101,1.1098,0.9912
2024-08-30,1.119,1.1357,0.9833
2024-09-06,1.108,1.0813,1.0267
2024-09-13,1.098,1.0871,1.0109
2024-09-20,1.082,1.1018,0.9802
2024-09-27,1.127,1.1489,0.9781
2024-09-30,1.143,1.1879,0.9551
2024-10-11,1.147,1.1803,0.9667
2024-10-18,1.141,1.1591,0.9819
2024-10-25,1.137,1.1704,0.9666
2024-11-01,1.134,1.1714,0.9626
2024-11-08,1.16,1.1821,0.9779
2024-11-15,1.164,1.1385,1.0255
2024-11-22,1.175,1.1529,1.0221
2024-11-29,1.174,1.1585,1.0155
2024-12-06,1.176,1.149,1.027
2024-12-13,1.186,1.1606,1.0254
2024-12-20,1.178,1.134,1.044
2024-12-27,1.179,1.137,1.042
2025-01-03,1.22,1.1416,1.0784
2025-01-10,1.201,1.1449,1.0561
2025-01-17,1.232,1.1914,1.0406
2025-01-24,1.217,1.1761,1.0409
2025-01-27,1.217,1.1757,1.0413
2025-02-07,1.227,1.1943,1.0327
2025-02-14,1.225,1.1838,1.0412
2025-02-21,1.236,1.1927,1.0433
2025-02-28,1.234,1.1724,1.0616
2025-03-07,1.217,1.1542,1.0628
2025-03-14,1.212,1.1698,1.0422
2025-03-21,1.225,1.158,1.067
2025-03-28,1.212,1.1724,1.0396
2025-04-03,1.202,1.1672,1.0348
2025-04-11,1.204,1.1076,1.0964
2025-04-18,1.194,1.1121,1.0819
2025-04-25,1.194,1.1265,1.0675
2025-04-30,1.193,1.1056,1.0874
2025-05-09,1.195,1.0963,1.0987
2025-05-16,1.194,1.1023,1.0917
2025-05-23,1.184,1.0968,1.0872
2025-05-30,1.168,1.0791,1.0889
2025-06-06,1.167,1.0987,1.0683
2025-06-13,1.164,1.1222,1.0418
2025-06-20,1.158,1.1479,1.0101
2025-06-27,1.173,1.1249,1.0481
2025-07-04,1.175,1.1338,1.0412
2025-07-11,1.174,1.1454,1.0286
2025-07-18,1.176,1.1606,1.0154
2025-07-25,1.185,1.1923,0.9927
