date,nav_unit,nav_accumulated,nav_adjusted,885007.WI,excess_nav
2023-09-15,1.0,1.0,1.0,1.0,1.0
2023-09-22,1.0,1.0,1.0,1.0003,0.9997
2023-10-13,1.0,1.0,1.0,0.9982,1.0018
2023-10-20,1.0,1.0,1.0,0.988,1.012
2023-10-27,1.0,1.0,1.0,0.9929,1.0071
2023-11-03,1.0,1.0,1.0,0.9941,1.0059
2023-11-10,1.0,1.0,1.0,0.9964,1.0036
2023-11-17,1.0,1.0,1.0,0.9979,1.0021
2023-11-24,1.0,1.0,1.0,0.9944,1.0056
2023-12-01,1.0,1.0,1.0,0.9943,1.0057
2023-12-08,1.0,1.0,1.0,0.9912,1.0088
2023-12-15,1.01,1.01,1.01,0.9907,1.0193
2023-12-22,1.01,1.01,1.01,0.9884,1.0216
2023-12-29,1.01,1.01,1.01,0.9958,1.0142
2024-01-05,1.02,1.02,1.02,0.9909,1.0291
2024-01-12,1.01,1.01,1.01,0.9893,1.0207
2024-01-19,1.0,1.0,1.0,0.9841,1.0159
2024-01-26,1.01,1.01,1.01,0.9855,1.0245
2024-02-02,1.01,1.01,1.01,0.9741,1.0359
2024-02-23,1.0,1.0,1.0,0.9952,1.0048
2024-03-01,1.01,1.01,1.01,0.9984,1.0116
2024-03-08,1.0,1.0,1.0,0.9996,1.0004
2024-03-15,1.0,1.0,1.0,1.0011,0.9989
2024-03-22,0.99,0.99,0.99,1.0028,0.9872
2024-03-29,0.99,0.99,0.99,1.0018,0.9882
2024-04-12,0.99,0.99,0.99,1.0053,0.9847
2024-04-19,0.99,0.99,0.99,1.0074,0.9826
2024-04-26,1.0,1.0,1.0,1.009,0.991
2024-05-10,1.05,1.05,1.05,1.0171,1.0329
2024-05-17,1.05,1.05,1.05,1.0177,1.0323
2024-05-24,1.05,1.05,1.05,1.0144,1.0356
2024-05-31,1.05,1.05,1.05,1.015,1.035
2024-06-07,1.05,1.05,1.05,1.0139,1.0361
2024-06-14,1.04,1.04,1.04,1.0143,1.0257
2024-06-21,1.04,1.04,1.04,1.0108,1.0292
2024-06-28,1.04,1.04,1.04,1.0103,1.0297
2024-07-05,1.05,1.05,1.05,1.0082,1.0418
2024-07-12,1.04,1.04,1.04,1.0095,1.0305
2024-07-19,1.04,1.04,1.04,1.0081,1.0319
2024-07-26,1.03,1.03,1.03,1.0036,1.0264
2024-08-02,1.03,1.03,1.03,1.0059,1.0241
2024-08-09,1.04,1.04,1.04,1.0024,1.0376
2024-08-16,1.05,1.05,1.05,0.9983,1.0517
2024-08-23,1.05,1.05,1.05,0.9957,1.0543
2024-08-30,1.06,1.06,1.06,0.9985,1.0615
2024-09-06,1.04,1.04,1.04,0.9966,1.0434
2024-09-13,1.04,1.04,1.04,0.9936,1.0464
2024-09-20,1.04,1.04,1.04,0.9956,1.0444
2024-09-27,1.05,1.05,1.05,1.0147,1.0353
2024-10-11,1.06,1.06,1.06,1.0192,1.0408
2024-10-18,1.09,1.09,1.09,1.0269,1.0631
2024-10-25,1.12,1.12,1.12,1.0283,1.0917
2024-11-01,1.14,1.14,1.14,1.0263,1.1137
2024-11-08,1.19,1.19,1.19,1.036,1.154
2024-11-15,1.16,1.16,1.16,1.0307,1.1293
2024-11-22,1.16,1.16,1.16,1.0288,1.1312
2024-11-29,1.16,1.16,1.16,1.0345,1.1255
2024-12-06,1.18,1.18,1.18,1.04,1.14
2024-12-13,1.18,1.18,1.18,1.0461,1.1339
2024-12-20,1.18,1.18,1.18,1.045,1.135
2024-12-27,1.19,1.19,1.19,1.0463,1.1437
2025-01-03,1.2,1.2,1.2,1.0405,1.1595
2025-01-10,1.2,1.2,1.2,1.039,1.161
2025-01-17,1.2,1.2,1.2,1.0439,1.1561
2025-01-24,1.21,1.21,1.21,1.0467,1.1633
2025-02-07,1.22,1.22,1.22,1.0526,1.1674
2025-02-14,1.22,1.22,1.22,1.0535,1.1665
2025-02-21,1.21,1.21,1.21,1.0553,1.1547
2025-02-28,1.21,1.21,1.21,1.0498,1.1602
2025-03-07,1.2,1.2,1.2,1.0541,1.1459
2025-03-14,1.21,1.21,1.21,1.0554,1.1546
2025-03-21,1.0,1.2,1.2,1.0514,1.1486
2025-03-28,0.99,1.19,1.188,1.0519,1.1361
2025-04-03,0.99,1.19,1.188,1.0521,1.1359
2025-04-11,0.98,1.19,1.188,1.0468,1.1412
2025-04-18,0.97,1.18,1.1759,1.0465,1.1294
2025-04-25,0.9718,1.1789,1.1745,1.0488,1.1257
2025-04-30,0.9699,1.177,1.1722,1.0497,1.1225
2025-05-09,0.9701,1.1772,1.1725,1.0538,1.1187
2025-05-16,0.9675,1.1746,1.1693,1.054,1.1153
2025-05-23,0.9636,1.1707,1.1646,1.0544,1.1102
2025-05-30,0.9654,1.1725,1.1668,1.054,1.1128
2025-06-06,0.9669,1.174,1.1686,1.058,1.1106
2025-06-13,0.9692,1.1763,1.1714,1.059,1.1124
2025-06-20,0.9669,1.174,1.1686,1.0583,1.1103
2025-06-27,0.967,1.1741,1.1687,1.0638,1.1049
2025-07-04,0.9784,1.1741,1.1687,1.0679,1.1008
2025-07-11,0.9767,1.1838,1.1803,1.0697,1.1106
2025-07-18,0.98,1.1871,1.1843,1.0734,1.1109
