date,nav_unit,nav_accumulated,nav_adjusted,885007.WI,excess_nav
2024-09-27,1.0,1.0,1.0,1.0,1.0
2024-09-30,0.9999,0.9999,0.9999,1.0118,0.9881
2024-10-11,0.9996,0.9996,0.9996,1.0044,0.9952
2024-10-18,0.9993,0.9993,0.9993,1.012,0.9873
2024-10-25,0.9983,0.9983,0.9983,1.0134,0.9849
2024-11-01,0.9875,0.9875,0.9875,1.0114,0.9761
2024-11-08,0.9942,0.9942,0.9942,1.021,0.9732
2024-11-15,1.0102,1.0102,1.0102,1.0158,0.9944
2024-11-22,1.036,1.036,1.036,1.0139,1.0221
2024-11-29,1.0332,1.0332,1.0332,1.0196,1.0136
2024-12-06,1.0262,1.0262,1.0262,1.0249,1.0013
2024-12-13,1.0251,1.0251,1.0251,1.031,0.9941
2024-12-20,1.0299,1.0299,1.0299,1.0298,1.0001
2024-12-27,1.0221,1.0221,1.0221,1.0312,0.9909
2025-01-03,1.0376,1.0376,1.0376,1.0255,1.0121
2025-01-10,1.0419,1.0419,1.0419,1.0239,1.018
2025-01-17,1.0466,1.0466,1.0466,1.0288,1.0178
2025-01-24,1.0354,1.0354,1.0354,1.0315,1.0039
2025-01-27,1.0336,1.0336,1.0336,1.0312,1.0024
2025-02-07,1.0336,1.0336,1.0336,1.0374,0.9962
2025-02-14,1.0275,1.0275,1.0275,1.0382,0.9893
2025-02-21,1.0352,1.0352,1.0352,1.0401,0.9951
2025-02-28,1.0336,1.0336,1.0336,1.0346,0.999
2025-03-07,1.0276,1.0276,1.0276,1.0388,0.9888
2025-03-14,1.0295,1.0295,1.0295,1.0401,0.9894
2025-03-21,1.03,1.03,1.03,1.0361,0.9939
2025-03-28,1.0263,1.0263,1.0263,1.0366,0.9897
2025-04-03,1.0268,1.0268,1.0268,1.0368,0.99
2025-04-11,1.0007,1.0007,1.0007,1.0317,0.969
2025-04-18,0.9982,0.9982,0.9982,1.0314,0.9668
2025-04-25,0.9967,0.9967,0.9967,1.0336,0.9631
2025-04-30,0.9912,0.9912,0.9912,1.0345,0.9567
2025-05-09,0.9926,0.9926,0.9926,1.0386,0.954
2025-05-16,0.995,0.995,0.995,1.0388,0.9562
2025-05-23,0.9954,0.9954,0.9954,1.0391,0.9563
2025-05-30,0.9888,0.9888,0.9888,1.0387,0.9501
2025-06-06,0.9831,0.9831,0.9831,1.0427,0.9404
2025-06-13,0.9815,0.9815,0.9815,1.0437,0.9378
2025-06-20,0.9917,0.9917,0.9917,1.043,0.9487
2025-06-27,0.9997,0.9997,0.9997,1.0484,0.9513
2025-07-04,0.9967,0.9967,0.9967,1.0524,0.9443
2025-07-11,0.9897,0.9897,0.9897,1.0542,0.9355
2025-07-18,0.9823,0.9823,0.9823,1.0579,0.9244
